backend,run,variant,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_file_f2_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_worst_component_f2_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_harmonic_component_f2_vs_full
terra,run1,Full,0.926364,0.909848,0.914535,0.910933,0.898428,0.885529,0.808974,0.760297,0.933523,0.923931,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run1,NoFullNameValid,0.835778,0.943970,0.885392,0.919284,0.899912,0.913068,0.723281,0.769766,0.904755,0.934208,-0.029143,+0.008351,-0.085693,+0.009469,-0.028769,+0.010277
terra,run1,NoPartialNameValid,0.863361,0.913146,0.876719,0.894599,0.860415,0.873502,0.635418,0.711412,0.845763,0.890163,-0.037816,-0.016334,-0.173557,-0.048885,-0.087761,-0.033768
terra,run1,NoCitation,0.788781,0.921234,0.847252,0.889273,0.834579,0.868921,0.704789,0.742369,0.859688,0.901998,-0.067283,-0.021660,-0.104185,-0.017928,-0.073835,-0.021933
terra,run1,NoValidator,0.707646,0.956801,0.804126,0.885382,0.803548,0.875969,0.543282,0.692245,0.769868,0.874759,-0.110409,-0.025551,-0.265693,-0.068052,-0.163656,-0.049171
terra,run2,Full,0.893777,0.915355,0.902978,0.909975,0.898129,0.890055,0.805434,0.785507,0.930737,0.929242,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run2,NoFullNameValid,0.815493,0.946897,0.873627,0.915308,0.893957,0.913367,0.729605,0.787834,0.898503,0.934840,-0.029352,+0.005333,-0.075828,+0.002326,-0.032233,+0.005599
terra,run2,NoPartialNameValid,0.835159,0.915775,0.864650,0.891437,0.860373,0.876159,0.635418,0.711412,0.844436,0.891317,-0.038328,-0.018538,-0.170016,-0.074095,-0.086301,-0.037924
terra,run2,NoCitation,0.788045,0.929482,0.849467,0.894572,0.839299,0.874712,0.715404,0.763054,0.868824,0.912688,-0.053511,-0.015403,-0.090029,-0.022454,-0.061912,-0.016554
terra,run2,NoValidator,0.696110,0.956850,0.794915,0.880237,0.800809,0.875501,0.543282,0.692245,0.767125,0.872815,-0.108063,-0.029738,-0.262152,-0.093262,-0.163612,-0.056426
terra,run3,Full,0.893225,0.911034,0.900683,0.906507,0.895140,0.887934,0.803177,0.760297,0.919337,0.922319,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run3,NoFullNameValid,0.818049,0.944439,0.873970,0.914050,0.893620,0.912817,0.717484,0.783888,0.890443,0.932298,-0.026712,+0.007543,-0.085693,+0.023591,-0.028894,+0.009978
terra,run3,NoPartialNameValid,0.836351,0.913911,0.864635,0.890444,0.861136,0.876122,0.635418,0.711412,0.843492,0.889360,-0.036048,-0.016063,-0.167759,-0.048885,-0.075846,-0.032959
terra,run3,NoCitation,0.772071,0.923037,0.837758,0.885912,0.826015,0.867087,0.678939,0.730925,0.842670,0.895019,-0.062925,-0.020595,-0.124238,-0.029372,-0.076667,-0.027300
terra,run3,NoValidator,0.689415,0.956900,0.790249,0.877815,0.799684,0.876187,0.543282,0.692245,0.765494,0.872123,-0.110434,-0.028692,-0.259895,-0.068052,-0.153844,-0.050196
luna,run1,Full,0.849141,0.942086,0.891882,0.920972,0.899441,0.908710,0.818674,0.819621,0.927157,0.946203,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run1,NoFullNameValid,0.807841,0.954757,0.872673,0.919337,0.889073,0.913442,0.744151,0.813155,0.904237,0.944904,-0.019208,-0.001635,-0.074523,-0.006466,-0.022920,-0.001299
luna,run1,NoPartialNameValid,0.797552,0.944179,0.857037,0.904469,0.859366,0.895246,0.613600,0.720817,0.835127,0.900662,-0.034844,-0.016504,-0.205074,-0.098805,-0.092030,-0.045541
luna,run1,NoCitation,0.629957,0.942284,0.747921,0.850817,0.780544,0.859843,0.597170,0.738950,0.784579,0.879958,-0.143960,-0.070155,-0.221504,-0.080671,-0.142579,-0.066246
