backend,run,variant,macro_f1,macro_f2
terra,run1,Full,0.936549,0.953579
terra,run1,NoFullNameValid,0.881674,0.933062
terra,run1,NoPartialNameValid,0.887498,0.938369
terra,run1,NoCitation,0.860849,0.928659
terra,run1,NoValidator,0.789780,0.895924
terra,run2,Full,0.940435,0.955023
terra,run2,NoFullNameValid,0.872713,0.930057
terra,run2,NoPartialNameValid,0.889368,0.937694
terra,run2,NoCitation,0.873707,0.938554
terra,run2,NoValidator,0.783988,0.892216
terra,run3,Full,0.938585,0.956552
terra,run3,NoFullNameValid,0.872046,0.929726
terra,run3,NoPartialNameValid,0.892168,0.940981
terra,run3,NoCitation,0.857871,0.929868
terra,run3,NoValidator,0.782346,0.891576
terra,average,Full,0.938523,0.955052
terra,average,NoFullNameValid,0.875478,0.930948
terra,average,NoPartialNameValid,0.889678,0.939015
terra,average,NoCitation,0.864143,0.932360
terra,average,NoValidator,0.785371,0.893239
luna,run1,Full,0.885644,0.938528
luna,run1,NoFullNameValid,0.861282,0.929283
luna,run1,NoPartialNameValid,0.841540,0.921157
luna,run1,NoCitation,0.763706,0.880739
luna,run1,NoValidator,0.718772,0.855250
luna,run2,Full,0.906934,0.950308
luna,run2,NoFullNameValid,0.883782,0.939024
luna,run2,NoPartialNameValid,0.857788,0.927364
luna,run2,NoCitation,0.782386,0.891519
luna,run2,NoValidator,0.742914,0.868485
luna,run3,Full,0.884419,0.934772
luna,run3,NoFullNameValid,0.865620,0.925275
luna,run3,NoPartialNameValid,0.842630,0.924243
luna,run3,NoCitation,0.756322,0.878007
luna,run3,NoValidator,0.712013,0.852814
luna,average,Full,0.892332,0.941203
luna,average,NoFullNameValid,0.870228,0.931194
luna,average,NoPartialNameValid,0.847319,0.924255
luna,average,NoCitation,0.767472,0.883422
luna,average,NoValidator,0.724566,0.858850
