backend,run,linker_set,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2
terra,run1,full_name_only,mediastore,0.903226,0.903226,0.903226,0.903226
terra,run1,full_name_only,teastore,1.000000,0.777778,0.875000,0.813953
terra,run1,full_name_only,teammates,0.754386,0.754386,0.754386,0.754386
terra,run1,full_name_only,bigbluebutton,0.902439,0.596774,0.718447,0.640138
terra,run1,full_name_only,jabref,1.000000,1.000000,1.000000,1.000000
terra,run1,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
terra,run1,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
terra,run1,partial_name_only,teammates,1.000000,0.052632,0.100000,0.064935
terra,run1,partial_name_only,bigbluebutton,0.782609,0.290323,0.423529,0.332103
terra,run1,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
terra,run1,coref_only,mediastore,1.000000,0.096774,0.176471,0.118110
terra,run1,coref_only,teastore,1.000000,0.296296,0.457143,0.344828
terra,run1,coref_only,teammates,0.947368,0.315789,0.473684,0.364372
terra,run1,coref_only,bigbluebutton,1.000000,0.193548,0.324324,0.230769
terra,run1,coref_only,jabref,1.000000,0.055556,0.105263,0.068493
terra,run1,full,mediastore,0.911765,1.000000,0.953846,0.981013
terra,run1,full,teastore,1.000000,0.962963,0.981132,0.970149
terra,run1,full,teammates,0.782609,0.947368,0.857143,0.909091
terra,run1,full,bigbluebutton,0.863636,0.919355,0.890625,0.907643
terra,run1,full,jabref,1.000000,1.000000,1.000000,1.000000
terra,run2,full_name_only,mediastore,0.903226,0.903226,0.903226,0.903226
terra,run2,full_name_only,teastore,1.000000,0.777778,0.875000,0.813953
terra,run2,full_name_only,teammates,0.833333,0.789474,0.810811,0.797872
terra,run2,full_name_only,bigbluebutton,0.909091,0.645161,0.754717,0.684932
terra,run2,full_name_only,jabref,1.000000,1.000000,1.000000,1.000000
terra,run2,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
terra,run2,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
terra,run2,partial_name_only,teammates,0.000000,0.000000,0.000000,0.000000
terra,run2,partial_name_only,bigbluebutton,0.772727,0.274194,0.404762,0.314815
terra,run2,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
terra,run2,coref_only,mediastore,1.000000,0.096774,0.176471,0.118110
terra,run2,coref_only,teastore,1.000000,0.296296,0.457143,0.344828
terra,run2,coref_only,teammates,0.882353,0.263158,0.405405,0.306122
terra,run2,coref_only,bigbluebutton,1.000000,0.129032,0.228571,0.156250
terra,run2,coref_only,jabref,1.000000,0.055556,0.105263,0.068493
terra,run2,full,mediastore,0.911765,1.000000,0.953846,0.981013
terra,run2,full,teastore,1.000000,0.962963,0.981132,0.970149
terra,run2,full,teammates,0.812500,0.912281,0.859504,0.890411
terra,run2,full,bigbluebutton,0.867647,0.951613,0.907692,0.933544
terra,run2,full,jabref,1.000000,1.000000,1.000000,1.000000
terra,run3,full_name_only,mediastore,0.903226,0.903226,0.903226,0.903226
terra,run3,full_name_only,teastore,1.000000,0.777778,0.875000,0.813953
terra,run3,full_name_only,teammates,0.851852,0.807018,0.828829,0.815603
terra,run3,full_name_only,bigbluebutton,0.902439,0.596774,0.718447,0.640138
terra,run3,full_name_only,jabref,1.000000,1.000000,1.000000,1.000000
terra,run3,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
terra,run3,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
terra,run3,partial_name_only,teammates,0.750000,0.052632,0.098361,0.064655
terra,run3,partial_name_only,bigbluebutton,0.666667,0.290323,0.404494,0.327273
terra,run3,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
terra,run3,coref_only,mediastore,1.000000,0.096774,0.176471,0.118110
terra,run3,coref_only,teastore,1.000000,0.296296,0.457143,0.344828
terra,run3,coref_only,teammates,0.904762,0.333333,0.487179,0.381526
terra,run3,coref_only,bigbluebutton,1.000000,0.145161,0.253521,0.175097
terra,run3,coref_only,jabref,1.000000,0.055556,0.105263,0.068493
terra,run3,full,mediastore,0.911765,1.000000,0.953846,0.981013
terra,run3,full,teastore,1.000000,0.962963,0.981132,0.970149
terra,run3,full,teammates,0.833333,0.964912,0.894309,0.935374
terra,run3,full,bigbluebutton,0.814286,0.919355,0.863636,0.896226
terra,run3,full,jabref,1.000000,1.000000,1.000000,1.000000
terra,average,full_name_only,mediastore,0.903226,0.903226,0.903226,0.903226
terra,average,full_name_only,teastore,1.000000,0.777778,0.875000,0.813953
terra,average,full_name_only,teammates,0.813190,0.783626,0.798009,0.789287
terra,average,full_name_only,bigbluebutton,0.904656,0.612903,0.730537,0.655069
terra,average,full_name_only,jabref,1.000000,1.000000,1.000000,1.000000
terra,average,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
terra,average,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
terra,average,partial_name_only,teammates,0.583333,0.035088,0.066120,0.043197
