backend,run,linker_set,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_file_f2_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_worst_component_f2_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_harmonic_component_f2_vs_full
terra,run1,Full,0.953079,0.719966,0.795389,0.744816,0.834891,0.783030,0.457484,0.413258,0.537813,0.525021,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run1,FullNameOnly,0.968001,0.629543,0.727628,0.662016,0.744680,0.662707,0.389595,0.353836,0.481371,0.445763,-0.067762,-0.082800,-0.067888,-0.059422,-0.056443,-0.079257
terra,run1,PartialNameOnly,0.116195,0.029562,0.047132,0.034743,0.095575,0.077143,0.000000,0.000000,0.000000,0.000000,-0.748257,-0.710074,-0.457484,-0.413258,-0.537813,-0.525021
terra,run1,CorefOnly,0.963991,0.129909,0.228066,0.156908,0.221416,0.153644,0.000000,0.000000,0.000000,0.000000,-0.567324,-0.587908,-0.457484,-0.413258,-0.537813,-0.525021
terra,run2,Full,0.946307,0.722131,0.794095,0.745789,0.828278,0.783728,0.383851,0.405195,0.510402,0.516064,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run2,FullNameOnly,0.968001,0.629543,0.727628,0.662016,0.744680,0.662707,0.389595,0.353836,0.481371,0.445763,-0.066467,-0.083773,+0.005745,-0.051359,-0.029032,-0.070301
terra,run2,PartialNameOnly,0.116195,0.029562,0.047132,0.034743,0.095575,0.077143,0.000000,0.000000,0.000000,0.000000,-0.746962,-0.711046,-0.383851,-0.405195,-0.510402,-0.516064
terra,run2,CorefOnly,0.947041,0.123371,0.216139,0.148907,0.222855,0.155564,0.035063,0.023456,0.061691,0.043820,-0.577956,-0.596882,-0.348788,-0.381738,-0.448711,-0.472244
terra,run3,Full,0.946416,0.703787,0.784101,0.730648,0.822786,0.771338,0.442099,0.406807,0.524911,0.509694,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run3,FullNameOnly,0.965766,0.615547,0.718178,0.649596,0.738508,0.655447,0.389595,0.353836,0.476327,0.440453,-0.065922,-0.081052,-0.052504,-0.052971,-0.048584,-0.069241
terra,run3,PartialNameOnly,0.112500,0.021190,0.035663,0.025297,0.072381,0.055556,0.000000,0.000000,0.000000,0.000000,-0.748437,-0.705351,-0.442099,-0.406807,-0.524911,-0.509694
terra,run3,CorefOnly,0.905724,0.114491,0.202104,0.138488,0.208638,0.145627,0.000000,0.000000,0.000000,0.000000,-0.581997,-0.592160,-0.442099,-0.406807,-0.524911,-0.509694
terra,average,CorefOnly,0.938919,0.122590,0.215436,0.148101,0.217636,0.151612,0.011688,0.007819,0.020564,0.014607,-0.575759,-0.592317,-0.416124,-0.400601,-0.503812,-0.502320
terra,average,Full,0.948601,0.715295,0.791195,0.740418,0.828652,0.779365,0.427811,0.408420,0.524375,0.516926,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,average,FullNameOnly,0.967256,0.624878,0.724478,0.657876,0.742623,0.660287,0.389595,0.353836,0.479690,0.443993,-0.066717,-0.082542,-0.038216,-0.054584,-0.044686,-0.072933
terra,average,PartialNameOnly,0.114963,0.026771,0.043309,0.031594,0.087844,0.069947,0.000000,0.000000,0.000000,0.000000,-0.747885,-0.708824,-0.427811,-0.408420,-0.524375,-0.516926
