run,project,tp,fp,fn,f1,f2,canonical
run1,mediastore,31,3,0,0.953846,0.981013,yes
run1,teastore,26,2,1,0.945455,0.955882,yes
run1,teammates,56,46,1,0.704403,0.848485,yes
run1,bigbluebutton,60,35,2,0.764331,0.874636,yes
run1,jabref,18,1,0,0.972973,0.989011,yes
run1,MACRO,,,,0.868201,0.929805,yes
run2,mediastore,31,3,0,0.953846,0.981013,
run2,teastore,27,2,0,0.964286,0.985401,
run2,teammates,55,44,2,0.705128,0.840979,
run2,bigbluebutton,54,27,8,0.755245,0.820669,
run2,jabref,18,2,0,0.947368,0.978261,
run2,MACRO,,,,0.865175,0.921264,
run3,mediastore,30,3,1,0.937500,0.955414,
run3,teastore,27,1,0,0.981818,0.992647,
run3,teammates,57,21,0,0.844444,0.931373,
run3,bigbluebutton,58,23,4,0.811189,0.881459,
run3,jabref,18,2,0,0.947368,0.978261,
run3,MACRO,,,,0.904464,0.947831,
