backend,run,linker_set,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_file_f2_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_sentence_coverage_vs_full,delta_doc_to_code_noise_rate_vs_full
terra,run1,Full,0.952308,0.745841,0.818816,0.770530,0.825675,0.373333,0.611343,0.805961,0.077067,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run1,FullNameOnly,0.967567,0.629543,0.727411,0.661929,0.740236,0.293333,0.440359,0.650271,0.037258,-0.091405,-0.108601,-0.080000,-0.170984,-0.155691,-0.039810
terra,run1,PartialNameOnly,0.115601,0.029562,0.047083,0.034732,0.085470,0.000000,0.000000,0.062222,0.110145,-0.771732,-0.735799,-0.373333,-0.611343,-0.743739,+0.033077
terra,run1,CorefOnly,0.977245,0.185623,0.304972,0.219893,0.265483,0.015385,0.043177,0.192792,0.053304,-0.513844,-0.550637,-0.357949,-0.568166,-0.613169,-0.023764
terra,run2,Full,0.941315,0.752953,0.817128,0.774135,0.824184,0.373333,0.597855,0.808135,0.113200,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run2,FullNameOnly,0.967801,0.633259,0.729792,0.665183,0.744051,0.293333,0.443397,0.652444,0.036873,-0.087335,-0.108951,-0.080000,-0.154458,-0.155691,-0.076327
terra,run2,PartialNameOnly,0.109771,0.034532,0.052537,0.040018,0.095238,0.000000,0.000000,0.071111,0.310244,-0.764590,-0.734116,-0.373333,-0.597855,-0.737024,+0.197044
terra,run2,CorefOnly,0.779744,0.170625,0.275129,0.201090,0.251984,0.000000,0.000000,0.170715,0.029179,-0.541998,-0.573045,-0.373333,-0.597855,-0.637420,-0.084021
terra,run3,Full,0.947562,0.729792,0.802627,0.753844,0.814633,0.373333,0.601992,0.782048,0.079280,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run3,FullNameOnly,0.967546,0.626540,0.725272,0.659177,0.736621,0.293333,0.439239,0.645923,0.037959,-0.077355,-0.094667,-0.080000,-0.162753,-0.136126,-0.041320
terra,run3,PartialNameOnly,0.110251,0.031655,0.049187,0.036918,0.089256,0.000000,0.000000,0.066667,0.312000,-0.753440,-0.716925,-0.373333,-0.601992,-0.715382,+0.232720
terra,run3,CorefOnly,0.980720,0.187636,0.306548,0.221847,0.256044,0.000000,0.000000,0.177382,0.028339,-0.496079,-0.531997,-0.373333,-0.601992,-0.604667,-0.050941
terra,average,CorefOnly,0.912570,0.181295,0.295550,0.214277,0.257837,0.005128,0.014392,0.180296,0.036941,-0.517307,-0.551893,-0.368205,-0.589338,-0.618419,-0.052909
terra,average,Full,0.947062,0.742862,0.812857,0.766170,0.821497,0.373333,0.603730,0.798715,0.089849,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,average,FullNameOnly,0.967638,0.629781,0.727492,0.662096,0.740303,0.293333,0.440998,0.649546,0.037363,-0.085365,-0.104073,-0.080000,-0.162732,-0.149169,-0.052486
terra,average,PartialNameOnly,0.111874,0.031916,0.049602,0.037223,0.089988,0.000000,0.000000,0.066667,0.244130,-0.763254,-0.728947,-0.373333,-0.603730,-0.732048,+0.154280
