backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
terra,run1,Full,mediastore,1.000000,0.525424,0.688889,0.580524,0.833333,0.757576,0.000000,0.000000,0.000000,0.000000
terra,run1,FullNameOnly,mediastore,1.000000,0.423729,0.595238,0.478927,0.755556,0.658915,0.000000,0.000000,0.000000,0.000000
terra,run1,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.123967,0.193548,0.130435,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,teastore,0.994911,0.553041,0.710909,0.606954,0.857143,0.807692,0.333333,0.238095,0.727273,0.625000
terra,run1,FullNameOnly,teastore,1.000000,0.261669,0.414798,0.307003,0.682927,0.573770,0.000000,0.000000,0.000000,0.000000
terra,run1,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,teastore,0.990610,0.298444,0.458696,0.346925,0.444444,0.341880,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,teammates,0.966447,0.761270,0.851675,0.795027,0.613497,0.504032,0.715990,0.611746,0.835872,0.790052
terra,run1,FullNameOnly,teammates,0.972172,0.729159,0.833310,0.767531,0.560510,0.448980,0.712683,0.607889,0.777707,0.709927
terra,run1,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,teammates,0.978324,0.250834,0.399292,0.294655,0.265625,0.184382,0.200669,0.135624,0.361041,0.262041
terra,run1,Full,bigbluebutton,0.802834,0.889470,0.843934,0.870679,0.846626,0.862500,0.400000,0.588235,0.746601,0.793566
terra,run1,FullNameOnly,bigbluebutton,0.868319,0.733159,0.795035,0.756717,0.724409,0.631868,0.235294,0.161290,0.629146,0.518889
terra,run1,PartialNameOnly,bigbluebutton,0.578005,0.147809,0.235417,0.173659,0.427350,0.353107,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,bigbluebutton,0.917293,0.159581,0.271866,0.191163,0.336842,0.240964,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.990991,0.800000,0.909091,0.960000,0.983607
terra,run1,FullNameOnly,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.990991,0.800000,0.909091,0.960000,0.983607
terra,run1,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,jabref,1.000000,0.117562,0.210390,0.142756,0.086957,0.056180,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,mediastore,1.000000,0.525424,0.688889,0.580524,0.833333,0.757576,0.000000,0.000000,0.000000,0.000000
terra,run2,FullNameOnly,mediastore,1.000000,0.423729,0.595238,0.478927,0.755556,0.658915,0.000000,0.000000,0.000000,0.000000
terra,run2,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.123967,0.193548,0.130435,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,teastore,1.000000,0.553041,0.712204,0.607331,0.875000,0.813953,0.333333,0.238095,0.727273,0.625000
terra,run2,FullNameOnly,teastore,1.000000,0.261669,0.414798,0.307003,0.682927,0.573770,0.000000,0.000000,0.000000,0.000000
terra,run2,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,teastore,1.000000,0.298444,0.459695,0.347154,0.457143,0.344828,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,teammates,0.925718,0.772632,0.842275,0.799060,0.581006,0.507812,0.347826,0.571429,0.694206,0.739494
terra,run2,FullNameOnly,teammates,0.972493,0.737928,0.839126,0.775330,0.569620,0.458248,0.712683,0.607889,0.783046,0.716945
terra,run2,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,teammates,0.949116,0.218846,0.355680,0.258648,0.238095,0.163399,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,bigbluebutton,0.783511,0.913669,0.843599,0.884289,0.853801,0.894608,0.400000,0.588235,0.753431,0.826832
