backend,run,validator,rejected_tp,unique_rejected_tp,rejected_fp,kept_tp,kept_fp
terra,run1,full_name,7,7,34,126,5
terra,run1,partial_name,11,10,69,17,13
terra,run1,coref,58,13,61,41,2
terra,run1,all_combined,72,26,155,162,20
terra,run2,full_name,5,5,34,128,5
terra,run2,partial_name,8,7,46,20,36
terra,run2,coref,69,12,56,39,2
terra,run2,all_combined,76,18,131,167,43
terra,run3,full_name,9,9,34,124,5
terra,run3,partial_name,10,10,59,18,23
terra,run3,coref,78,19,62,39,3
terra,run3,all_combined,89,30,151,158,31
terra,average,full_name,7,7,34,126,5
terra,average,partial_name,9.67,9,58,18.33,24
terra,average,coref,68.33,14.67,59.67,39.67,2.33
terra,average,all_combined,79,24.67,145.67,162.33,31.33
