backend,run,linker_set,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_file_f2_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_sentence_coverage_vs_full,delta_doc_to_code_noise_rate_vs_full
luna,run1,Full,0.891606,0.776840,0.805250,0.783775,0.836690,0.451705,0.652609,0.841729,0.138629,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run1,FullNameOnly,0.920785,0.657515,0.727164,0.679188,0.764396,0.304086,0.453895,0.687324,0.085531,-0.078087,-0.104587,-0.147619,-0.198714,-0.154406,-0.053098
luna,run1,PartialNameOnly,0.112972,0.044997,0.064359,0.051152,0.116031,0.000000,0.000000,0.093333,0.099302,-0.740891,-0.732623,-0.451705,-0.652609,-0.748396,-0.039328
luna,run1,CorefOnly,0.904888,0.224766,0.356121,0.263487,0.386988,0.080952,0.132076,0.292995,0.104582,-0.449129,-0.520289,-0.370753,-0.520533,-0.548734,-0.034047
luna,run2,Full,0.890190,0.800703,0.822677,0.805577,0.839452,0.451705,0.658400,0.860696,0.156963,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run2,FullNameOnly,0.929562,0.656774,0.730856,0.680149,0.763590,0.304086,0.454096,0.685150,0.081141,-0.091821,-0.125428,-0.147619,-0.204304,-0.175546,-0.075822
luna,run2,PartialNameOnly,0.114460,0.049182,0.068801,0.055515,0.124444,0.000000,0.000000,0.102222,0.094426,-0.753876,-0.750062,-0.451705,-0.658400,-0.758473,-0.062538
luna,run2,CorefOnly,0.914406,0.286198,0.419426,0.327143,0.426407,0.000000,0.000000,0.357652,0.133409,-0.403251,-0.478434,-0.451705,-0.658400,-0.503043,-0.023554
luna,run3,Full,0.898683,0.817125,0.840179,0.822867,0.850484,0.451705,0.652881,0.865826,0.138764,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run3,FullNameOnly,0.932176,0.653267,0.730055,0.677650,0.761169,0.304086,0.454019,0.682976,0.078749,-0.110124,-0.145216,-0.147619,-0.198861,-0.182850,-0.060015
luna,run3,PartialNameOnly,0.117647,0.047090,0.067258,0.053508,0.122137,0.000000,0.000000,0.097778,0.294857,-0.772921,-0.769359,-0.451705,-0.652881,-0.768048,+0.156093
luna,run3,CorefOnly,0.898775,0.299288,0.439214,0.342548,0.447265,0.080952,0.149337,0.363720,0.124232,-0.400965,-0.480319,-0.370753,-0.503543,-0.502106,-0.014533
luna,average,CorefOnly,0.906023,0.270084,0.404920,0.311059,0.420220,0.053968,0.093804,0.338122,0.120741,-0.417782,-0.493014,-0.397737,-0.560825,-0.517961,-0.024045
luna,average,Full,0.893493,0.798223,0.822702,0.804073,0.842209,0.451705,0.654630,0.856084,0.144785,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,average,FullNameOnly,0.927508,0.655852,0.729358,0.678996,0.763052,0.304086,0.454003,0.685150,0.081807,-0.093344,-0.125077,-0.147619,-0.200626,-0.170934,-0.062978
luna,average,PartialNameOnly,0.115026,0.047090,0.066806,0.053392,0.120871,0.000000,0.000000,0.097778,0.162862,-0.755896,-0.750681,-0.451705,-0.654630,-0.758306,+0.018076
