backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
luna,run1,Full,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
luna,run1,FullNameOnly,mediastore,1.000000,0.423729,0.595238,0.478927,0.755556,0.658915,0.000000,0.000000,0.000000,0.000000
luna,run1,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run1,CorefOnly,mediastore,1.000000,0.237288,0.383562,0.280000,0.526316,0.409836,0.000000,0.000000,0.000000,0.000000
luna,run1,Full,teastore,0.991285,0.643564,0.780446,0.692120,0.862745,0.833333,0.571429,0.454545,0.857143,0.789474
luna,run1,FullNameOnly,teastore,1.000000,0.304102,0.466377,0.353270,0.714286,0.609756,0.000000,0.000000,0.000000,0.000000
luna,run1,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run1,CorefOnly,teastore,0.984733,0.364922,0.532508,0.417476,0.473684,0.378151,0.333333,0.238095,0.489796,0.375000
luna,run1,Full,teammates,0.838694,0.837347,0.838020,0.837616,0.685083,0.603113,0.699187,0.682325,0.807232,0.837110
luna,run1,FullNameOnly,teammates,0.841251,0.806966,0.823752,0.813597,0.651429,0.561024,0.584071,0.681818,0.750498,0.758845
luna,run1,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run1,CorefOnly,teammates,0.895050,0.167469,0.282147,0.199982,0.263566,0.183983,0.143144,0.096745,0.288669,0.205373
luna,run1,Full,bigbluebutton,0.735370,0.928712,0.820809,0.882316,0.870588,0.909091,0.500000,0.694444,0.793293,0.855452
luna,run1,FullNameOnly,bigbluebutton,0.869992,0.752780,0.807153,0.773625,0.744186,0.655738,0.235294,0.161290,0.645387,0.536713
luna,run1,PartialNameOnly,bigbluebutton,0.564860,0.224984,0.321796,0.255762,0.580153,0.516304,0.000000,0.000000,0.000000,0.000000
luna,run1,CorefOnly,bigbluebutton,0.645251,0.151079,0.244833,0.178406,0.431373,0.324484,0.000000,0.000000,0.000000,0.000000
luna,run1,Full,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,run1,FullNameOnly,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,run1,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run1,CorefOnly,jabref,0.999405,0.203072,0.337555,0.241569,0.240000,0.164835,0.000000,0.000000,0.000000,0.000000
luna,run2,Full,mediastore,1.000000,0.525424,0.688889,0.580524,0.833333,0.757576,0.000000,0.000000,0.000000,0.000000
luna,run2,FullNameOnly,mediastore,1.000000,0.423729,0.595238,0.478927,0.755556,0.658915,0.000000,0.000000,0.000000,0.000000
luna,run2,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run2,CorefOnly,mediastore,1.000000,0.338983,0.506329,0.390625,0.666667,0.555556,0.000000,0.000000,0.000000,0.000000
luna,run2,Full,teastore,0.950980,0.685997,0.797042,0.726483,0.851852,0.851852,0.571429,0.454545,0.865385,0.811542
luna,run2,FullNameOnly,teastore,1.000000,0.304102,0.466377,0.353270,0.714286,0.609756,0.000000,0.000000,0.000000,0.000000
luna,run2,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run2,CorefOnly,teastore,0.934555,0.504950,0.655647,0.556075,0.558140,0.483871,0.000000,0.000000,0.000000,0.000000
luna,run2,Full,teammates,0.877654,0.837224,0.856962,0.845009,0.688889,0.604288,0.699187,0.682325,0.813229,0.841521
luna,run2,FullNameOnly,teammates,0.885139,0.803260,0.842214,0.818401,0.647399,0.553360,0.584071,0.681818,0.755162,0.759281
luna,run2,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run2,CorefOnly,teammates,0.923720,0.218352,0.353211,0.257711,0.303030,0.215054,0.000000,0.000000,0.000000,0.000000
luna,run2,Full,bigbluebutton,0.729635,0.954872,0.827195,0.899347,0.866667,0.935252,0.500000,0.694444,0.808327,0.872945
luna,run2,FullNameOnly,bigbluebutton,0.869992,0.752780,0.807153,0.773625,0.744186,0.655738,0.235294,0.161290,0.645387,0.536713
luna,run2,PartialNameOnly,bigbluebutton,0.572298,0.245912,0.344007,0.277573,0.622222,0.564516,0.000000,0.000000,0.000000,0.000000
luna,run2,CorefOnly,bigbluebutton,0.713755,0.251145,0.371553,0.288548,0.517241,0.424929,0.000000,0.000000,0.000000,0.000000
luna,run2,Full,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,run2,FullNameOnly,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,run2,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run2,CorefOnly,jabref,1.000000,0.117562,0.210390,0.142756,0.086957,0.056180,0.000000,0.000000,0.000000,0.000000
luna,run3,Full,mediastore,1.000000,0.677966,0.808081,0.724638,0.901961,0.851852,0.000000,0.000000,0.000000,0.000000
luna,run3,FullNameOnly,mediastore,1.000000,0.423729,0.595238,0.478927,0.755556,0.658915,0.000000,0.000000,0.000000,0.000000
luna,run3,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run3,CorefOnly,mediastore,1.000000,0.457627,0.627907,0.513308,0.697674,0.590551,0.000000,0.000000,0.000000,0.000000
luna,run3,Full,teastore,0.995624,0.643564,0.781787,0.692542,0.880000,0.839695,0.571429,0.454545,0.857143,0.789474
luna,run3,FullNameOnly,teastore,1.000000,0.304102,0.466377,0.353270,0.714286,0.609756,0.000000,0.000000,0.000000,0.000000
luna,run3,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run3,CorefOnly,teastore,0.993421,0.427157,0.597428,0.482120,0.564103,0.458333,0.333333,0.238095,0.545455,0.428571
luna,run3,Full,teammates,0.887774,0.819686,0.852373,0.832455,0.674157,0.587084,0.699187,0.682325,0.801706,0.827973
luna,run3,FullNameOnly,teammates,0.898207,0.785723,0.838208,0.805908,0.635294,0.536779,0.584071,0.681818,0.754699,0.751035
luna,run3,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run3,CorefOnly,teammates,0.886486,0.182290,0.302397,0.216721,0.276923,0.194384,0.175315,0.117282,0.339749,0.247071
luna,run3,Full,bigbluebutton,0.717337,0.944408,0.815359,0.888178,0.839779,0.909091,0.500000,0.694444,0.797136,0.862954
luna,run3,FullNameOnly,bigbluebutton,0.869992,0.752780,0.807153,0.773625,0.744186,0.655738,0.235294,0.161290,0.645387,0.536713
luna,run3,PartialNameOnly,bigbluebutton,0.588235,0.235448,0.336291,0.267539,0.610687,0.543478,0.000000,0.000000,0.000000,0.000000
luna,run3,CorefOnly,bigbluebutton,0.614565,0.226292,0.330784,0.259021,0.457627,0.380282,0.000000,0.000000,0.000000,0.000000
luna,run3,Full,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,run3,FullNameOnly,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,run3,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run3,CorefOnly,jabref,0.999405,0.203072,0.337555,0.241569,0.240000,0.164835,0.000000,0.000000,0.000000,0.000000
luna,average,CorefOnly,bigbluebutton,0.657857,0.209505,0.315723,0.241992,0.468747,0.376565,0.000000,0.000000,0.000000,0.000000
luna,average,CorefOnly,jabref,0.999603,0.174569,0.295167,0.208631,0.188986,0.128617,0.000000,0.000000,0.000000,0.000000
luna,average,CorefOnly,mediastore,1.000000,0.344633,0.505933,0.394644,0.630219,0.518648,0.000000,0.000000,0.000000,0.000000
luna,average,CorefOnly,teammates,0.901752,0.189370,0.312585,0.224805,0.281173,0.197807,0.106153,0.071342,0.209473,0.150815
luna,average,CorefOnly,teastore,0.970903,0.432343,0.595194,0.485224,0.531976,0.440118,0.222222,0.158730,0.345084,0.267857
luna,average,Full,bigbluebutton,0.727447,0.942664,0.821121,0.889947,0.859011,0.917811,0.500000,0.694444,0.799585,0.863784
luna,average,Full,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,average,Full,mediastore,1.000000,0.559322,0.713549,0.611822,0.847935,0.778206,0.000000,0.000000,0.000000,0.000000
luna,average,Full,teammates,0.868041,0.831419,0.849118,0.838360,0.682710,0.598162,0.699187,0.682325,0.807389,0.835535
luna,average,Full,teastore,0.979296,0.657708,0.786425,0.703715,0.864866,0.841627,0.571429,0.454545,0.859890,0.796830
luna,average,FullNameOnly,bigbluebutton,0.869992,0.752780,0.807153,0.773625,0.744186,0.655738,0.235294,0.161290,0.645387,0.536713
luna,average,FullNameOnly,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,average,FullNameOnly,mediastore,1.000000,0.423729,0.595238,0.478927,0.755556,0.658915,0.000000,0.000000,0.000000,0.000000
luna,average,FullNameOnly,teammates,0.874866,0.798650,0.834725,0.812635,0.644707,0.550388,0.584071,0.681818,0.753453,0.756387
luna,average,FullNameOnly,teastore,1.000000,0.304102,0.466377,0.353270,0.714286,0.609756,0.000000,0.000000,0.000000,0.000000
luna,average,PartialNameOnly,bigbluebutton,0.575131,0.235448,0.334031,0.266958,0.604354,0.541433,0.000000,0.000000,0.000000,0.000000
luna,average,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,average,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,average,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,average,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
