backend,run,variant,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_file_f2_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_worst_component_f2_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_harmonic_component_f2_vs_full
luna,run1,Full,0.891606,0.776840,0.805250,0.783775,0.836690,0.810574,0.514123,0.548081,0.679769,0.691529,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run1,NoFullNameValid,0.869712,0.797094,0.801802,0.793781,0.849673,0.830665,0.503609,0.575738,0.678679,0.703475,-0.003448,+0.010005,-0.010514,+0.027657,-0.001090,+0.011946
luna,run1,NoPartialNameValid,0.843413,0.781810,0.774463,0.770921,0.804875,0.804762,0.383058,0.463838,0.602386,0.655417,-0.030787,-0.012854,-0.131065,-0.084243,-0.077383,-0.036112
luna,run1,NoCitation,0.627628,0.817380,0.678385,0.745457,0.747699,0.805770,0.446894,0.523035,0.693746,0.762341,-0.126865,-0.038319,-0.067229,-0.025046,+0.013977,+0.070812
luna,run1,NoValidator,0.602231,0.829637,0.658217,0.737532,0.729329,0.806016,0.369020,0.464020,0.642939,0.733954,-0.147033,-0.046243,-0.145103,-0.084061,-0.036830,+0.042425
luna,run2,Full,0.890190,0.800703,0.822677,0.805577,0.839452,0.826222,0.514123,0.548081,0.685623,0.700324,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run2,NoFullNameValid,0.860504,0.820983,0.815440,0.814103,0.851675,0.846077,0.503609,0.575738,0.683335,0.711387,-0.007237,+0.008527,-0.010514,+0.027657,-0.002289,+0.011064
luna,run2,NoPartialNameValid,0.839695,0.801488,0.788558,0.788690,0.803437,0.812660,0.383058,0.463838,0.603450,0.659833,-0.034119,-0.016887,-0.131065,-0.084243,-0.082173,-0.040490
luna,run2,NoCitation,0.608290,0.817705,0.665929,0.741014,0.734511,0.796727,0.454943,0.523087,0.704496,0.783144,-0.156748,-0.064563,-0.059180,-0.024994,+0.018873,+0.082820
luna,run2,NoValidator,0.585697,0.836571,0.649452,0.738156,0.719282,0.799231,0.369836,0.471588,0.659322,0.761942,-0.173225,-0.067420,-0.144287,-0.076493,-0.026302,+0.061618
luna,run3,Full,0.898683,0.817125,0.840179,0.822867,0.850484,0.833973,0.514123,0.548081,0.679432,0.691202,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run3,NoFullNameValid,0.866736,0.840912,0.833710,0.833834,0.864906,0.857005,0.503609,0.575738,0.677184,0.703834,-0.006469,+0.010967,-0.010514,+0.027657,-0.002248,+0.012632
luna,run3,NoPartialNameValid,0.847863,0.820003,0.806300,0.806974,0.816124,0.823583,0.383058,0.463838,0.600603,0.653412,-0.033879,-0.015893,-0.131065,-0.084243,-0.078830,-0.037790
luna,run3,NoCitation,0.652872,0.833077,0.717796,0.778764,0.741418,0.803585,0.485241,0.563246,0.721262,0.808417,-0.122384,-0.044103,-0.028882,+0.015165,+0.041830,+0.117215
luna,run3,NoValidator,0.618802,0.855789,0.694711,0.774958,0.727255,0.810691,0.408772,0.523898,0.670245,0.786645,-0.145468,-0.047908,-0.105351,-0.024183,-0.009187,+0.095443
luna,average,Full,0.893493,0.798223,0.822702,0.804073,0.842209,0.823590,0.514123,0.548081,0.681608,0.694352,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,average,NoCitation,0.629597,0.822721,0.687370,0.755078,0.741209,0.802027,0.462359,0.536456,0.706501,0.784634,-0.135332,-0.048995,-0.051764,-0.011625,+0.024893,+0.090282
luna,average,NoFullNameValid,0.865651,0.819663,0.816984,0.813906,0.855418,0.844582,0.503609,0.575738,0.679733,0.706232,-0.005718,+0.009833,-0.010514,+0.027657,-0.001876,+0.011881
luna,average,NoPartialNameValid,0.843657,0.801100,0.789774,0.788862,0.808145,0.813668,0.383058,0.463838,0.602146,0.656221,-0.032928,-0.015211,-0.131065,-0.084243,-0.079462,-0.038131
luna,average,NoValidator,0.602243,0.840666,0.667460,0.750215,0.725289,0.805313,0.382543,0.486502,0.657502,0.760847,-0.155242,-0.053857,-0.131580,-0.061579,-0.024106,+0.066495
