system,metric,label,mean_delta,n_runs,sign_agree,verdict,per_run
approach (GPT-5.6-terra),doc_to_model_link_f1,dm F1,2.4933,3,3,BETTER,2.8900 1.9900 2.6000
approach (GPT-5.6-terra),doc_to_model_link_f2,dm F2,2.4033,3,3,BETTER,2.3700 2.2500 2.5900
approach (GPT-5.6-terra),doc_to_code_file_f1,dc F1,-0.2900,3,2,INSIDE NOISE,0.3100 0.2800 -1.4600
approach (GPT-5.6-terra),doc_to_code_file_f2,dc F2,-0.2767,3,2,INSIDE NOISE,-0.1600 0.1800 -0.8500
approach (GPT-5.6-terra),doc_to_model_component_miss_rate,dm CMR%,1.9355,3,3,BETTER,1.9355 1.9355 1.9355
approach (GPT-5.6-terra),doc_to_code_worst_component_f1,dc worst F1,7.9033,3,3,BETTER,10.9900 4.3100 8.4100
approach (GPT-5.6-terra),doc_to_code_harmonic_component_f1,dc harm F1,2.9600,3,3,BETTER,4.4800 2.4700 1.9300
approach (GPT-5.6-luna),doc_to_model_link_f1,dm F1,1.3000,3,2,INSIDE NOISE,1.7400 4.1700 -2.0100
approach (GPT-5.6-luna),doc_to_model_link_f2,dm F2,0.8233,3,2,INSIDE NOISE,0.8700 2.9000 -1.3000
approach (GPT-5.6-luna),doc_to_code_file_f1,dc F1,0.8000,3,3,BETTER,0.8200 0.8100 0.7700
approach (GPT-5.6-luna),doc_to_code_file_f2,dc F2,0.7033,3,2,INSIDE NOISE,0.6100 -0.0300 1.5300
approach (GPT-5.6-luna),doc_to_model_component_miss_rate,dm CMR%,0.0000,3,0,NO CHANGE,-0.0000 -0.0000 -0.0000
approach (GPT-5.6-luna),doc_to_code_worst_component_f1,dc worst F1,4.9833,3,3,WEAK,11.8700 0.0800 3.0000
approach (GPT-5.6-luna),doc_to_code_harmonic_component_f1,dc harm F1,3.1033,3,3,BETTER,4.7300 2.3600 2.2200
