system,metric,label,mean_delta,n_runs,sign_agree,verdict,per_run
approach (GPT-5.6-terra),doc_to_model_link_f1,dm F1,2.2500,3,3,BETTER,1.6100 2.2300 2.9100
approach (GPT-5.6-terra),doc_to_model_link_f2,dm F2,1.9633,3,3,BETTER,1.5900 1.3200 2.9800
approach (GPT-5.6-terra),doc_to_code_file_f1,dc F1,2.2067,3,3,BETTER,2.0500 1.7000 2.8700
approach (GPT-5.6-terra),doc_to_code_file_f2,dc F2,1.1167,3,3,BETTER,1.2000 0.8000 1.3500
approach (GPT-5.6-terra),doc_to_model_component_miss_rate,dm CMR%,0.0000,3,0,NO CHANGE,-0.0000 -0.0000 -0.0000
approach (GPT-5.6-terra),doc_to_code_worst_component_f1,dc worst F1,4.4600,3,3,BETTER,0.6900 7.2400 5.4500
approach (GPT-5.6-terra),doc_to_code_harmonic_component_f1,dc harm F1,2.7700,3,3,BETTER,1.8800 3.0800 3.3500
approach (GPT-5.6-luna),doc_to_model_link_f1,dm F1,1.2667,3,2,INSIDE NOISE,3.6300 -0.4000 0.5700
approach (GPT-5.6-luna),doc_to_model_link_f2,dm F2,0.7300,3,2,INSIDE NOISE,1.4200 -0.6600 1.4300
approach (GPT-5.6-luna),doc_to_code_file_f1,dc F1,0.8833,3,3,BETTER,1.8100 0.1900 0.6500
approach (GPT-5.6-luna),doc_to_code_file_f2,dc F2,0.6567,3,3,BETTER,0.5800 0.6400 0.7500
approach (GPT-5.6-luna),doc_to_model_component_miss_rate,dm CMR%,0.0000,3,0,NO CHANGE,-0.0000 -0.0000 -0.0000
approach (GPT-5.6-luna),doc_to_code_worst_component_f1,dc worst F1,0.6400,3,2,INSIDE NOISE,3.0100 -5.2100 4.1200
approach (GPT-5.6-luna),doc_to_code_harmonic_component_f1,dc harm F1,0.3233,3,2,INSIDE NOISE,2.1300 -1.4600 0.3000
