system,metric,label,mean_delta,n_runs,sign_agree,verdict,per_run
approach (GPT-5.6-terra),doc_to_model_link_f1,dm F1,-1.3767,3,2,INSIDE NOISE,-1.1600 0.1700 -3.1400
approach (GPT-5.6-terra),doc_to_model_link_f2,dm F2,-0.6667,3,2,INSIDE NOISE,-0.6200 0.8700 -2.2500
approach (GPT-5.6-terra),doc_to_code_file_f1,dc F1,-1.6667,3,3,WORSE,-1.2200 -0.5900 -3.1900
approach (GPT-5.6-terra),doc_to_code_file_f2,dc F2,-0.5200,3,2,INSIDE NOISE,-0.4500 0.3200 -1.4300
approach (GPT-5.6-terra),doc_to_model_component_miss_rate,dm CMR%,0.0000,3,0,NO CHANGE,-0.0000 -0.0000 -0.0000
approach (GPT-5.6-terra),doc_to_code_worst_component_f1,dc worst F1,-2.3333,3,3,WORSE,-1.9000 -2.2200 -2.8800
approach (GPT-5.6-terra),doc_to_code_harmonic_component_f1,dc harm F1,-0.5033,3,3,WEAK,-0.2700 -0.0300 -1.2100
approach (GPT-5.6-luna),doc_to_model_link_f1,dm F1,0.2700,3,2,INSIDE NOISE,0.6200 1.0000 -0.8100
approach (GPT-5.6-luna),doc_to_model_link_f2,dm F2,0.7067,3,3,BETTER,0.8100 0.7600 0.5500
approach (GPT-5.6-luna),doc_to_code_file_f1,dc F1,-0.6733,3,2,INSIDE NOISE,0.1000 -0.3500 -1.7700
approach (GPT-5.6-luna),doc_to_code_file_f2,dc F2,-0.1100,3,2,INSIDE NOISE,-0.1500 0.0700 -0.2500
approach (GPT-5.6-luna),doc_to_model_component_miss_rate,dm CMR%,0.0000,3,0,NO CHANGE,-0.0000 -0.0000 -0.0000
approach (GPT-5.6-luna),doc_to_code_worst_component_f1,dc worst F1,-0.6433,3,2,INSIDE NOISE,-2.4900 1.8600 -1.3000
approach (GPT-5.6-luna),doc_to_code_harmonic_component_f1,dc harm F1,-0.6500,3,2,INSIDE NOISE,0.5100 -0.5800 -1.8800
