system,backend,run,doc_to_model_projects,doc_to_code_projects,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2,doc_to_model_component_miss_rate,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
approach (GPT-5.6-terra),gpt-5.6-terra,run1,5,5,0.9112,0.9495,0.9295,0.9413,0.0000,0.8963,0.9085,0.8973,0.9027,0.8861,0.8747,0.7545,0.7473,0.9161,0.9134
approach (GPT-5.6-terra),gpt-5.6-terra,run2,5,5,0.9031,0.9566,0.9288,0.9452,0.0000,0.8936,0.9186,0.9010,0.9102,0.8942,0.8866,0.7726,0.7749,0.9189,0.9192
approach (GPT-5.6-terra),gpt-5.6-terra,run3,5,5,0.9227,0.9563,0.9386,0.9490,0.0000,0.9018,0.9100,0.9009,0.9050,0.8921,0.8783,0.7698,0.7538,0.9202,0.9164
approach (GPT-5.6-terra),gpt-5.6-terra,average,5,5,0.9123,0.9541,0.9323,0.9452,0.0000,0.8972,0.9124,0.8998,0.9060,0.8908,0.8799,0.7656,0.7587,0.9184,0.9163
approach (GPT-5.6-luna),gpt-5.6-luna,run1,5,5,0.8863,0.9554,0.9178,0.9395,0.0000,0.8532,0.9042,0.8716,0.8888,0.8842,0.8781,0.7490,0.7679,0.9011,0.9057
approach (GPT-5.6-luna),gpt-5.6-luna,run2,5,5,0.8607,0.9302,0.8907,0.9129,0.0000,0.8459,0.8926,0.8662,0.8812,0.8723,0.8639,0.7498,0.7405,0.8990,0.9036
approach (GPT-5.6-luna),gpt-5.6-luna,run3,5,5,0.8347,0.9739,0.8937,0.9384,0.0000,0.8417,0.9290,0.8782,0.9064,0.8843,0.8964,0.7052,0.7636,0.8855,0.9158
approach (GPT-5.6-luna),gpt-5.6-luna,average,5,5,0.8606,0.9532,0.9007,0.9303,0.0000,0.8469,0.9086,0.8720,0.8921,0.8803,0.8795,0.7347,0.7573,0.8952,0.9084
Artemis (GPT-5.6-terra),gpt-5.6-terra,run1,5,5,0.8230,0.8325,0.8089,0.8178,3.9766,0.7972,0.8698,0.8064,0.8374,0.7666,0.7710,0.4057,0.4494,0.6016,0.6173
Artemis (GPT-5.6-terra),gpt-5.6-terra,run2,5,5,0.7928,0.8384,0.7956,0.8155,3.5088,0.8023,0.8699,0.8113,0.8397,0.7713,0.7844,0.4457,0.5345,0.6434,0.6882
Artemis (GPT-5.6-terra),gpt-5.6-terra,run3,5,5,0.7998,0.8781,0.8235,0.8514,2.3995,0.7862,0.8828,0.8206,0.8533,0.8008,0.8145,0.5537,0.5891,0.6590,0.6873
Artemis (GPT-5.6-terra),gpt-5.6-terra,average,5,5,0.8052,0.8496,0.8093,0.8282,3.2950,0.7953,0.8742,0.8127,0.8435,0.7796,0.7900,0.4684,0.5243,0.6347,0.6642
Artemis (GPT-5.4),gpt-5.4,single,5,5,0.9297,0.7631,0.8355,0.7900,4.6218,0.9412,0.7779,0.8488,0.8043,0.8090,0.7475,0.4110,0.3489,0.5062,0.4718
TransArC,deterministic,single,5,5,0.8695,0.7717,0.7990,0.7783,7.0968,0.8855,0.7753,0.8026,0.7823,0.8189,0.7741,0.5149,0.5148,0.6756,0.6727
Delta (approach (GPT-5.6-terra) - Artemis (GPT-5.6-terra)),,delta,,,0.1071,0.1045,0.1230,0.1169,-3.2950,0.1020,0.0382,0.0870,0.0625,0.1112,0.0899,0.2973,0.2343,0.2837,0.2521
Delta (approach (GPT-5.6-luna) - Artemis (GPT-5.6-terra)),,delta,,,0.0554,0.1035,0.0914,0.1020,-3.2950,0.0517,0.0344,0.0593,0.0487,0.1007,0.0895,0.2663,0.2330,0.2605,0.2441
