system,backend,run,doc_to_model_projects,doc_to_code_projects,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2,doc_to_model_component_miss_rate,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
approach (GPT-5.6-terra),gpt-5.6-terra,run1,5,5,0.8824,0.9366,0.9066,0.9238,1.9355,0.8384,0.8946,0.8619,0.8802,0.8674,0.8641,0.7746,0.7413,0.9015,0.9042
approach (GPT-5.6-terra),gpt-5.6-terra,run2,5,5,0.9453,0.9490,0.9468,0.9480,0.0000,0.9213,0.8880,0.9001,0.8918,0.8968,0.8739,0.8149,0.7443,0.9229,0.9111
approach (GPT-5.6-terra),gpt-5.6-terra,run3,5,5,0.9187,0.9205,0.9190,0.9198,1.9355,0.8895,0.8910,0.8880,0.8893,0.8855,0.8691,0.8032,0.7538,0.9164,0.9067
approach (GPT-5.6-terra),gpt-5.6-terra,average,5,5,0.9155,0.9354,0.9241,0.9305,1.2903,0.8831,0.8912,0.8833,0.8871,0.8832,0.8690,0.7976,0.7465,0.9136,0.9073
approach (GPT-5.6-luna),gpt-5.6-luna,run1,5,5,0.8363,0.9546,0.8832,0.9216,0.0000,0.8397,0.9212,0.8744,0.9006,0.8783,0.8834,0.6505,0.7459,0.8631,0.8969
approach (GPT-5.6-luna),gpt-5.6-luna,run2,5,5,0.8444,0.9443,0.8855,0.9178,0.0000,0.8590,0.9206,0.8866,0.9061,0.8812,0.8833,0.7290,0.7880,0.8872,0.9096
approach (GPT-5.6-luna),gpt-5.6-luna,run3,5,5,0.8642,0.9398,0.8957,0.9201,0.0000,0.8554,0.8959,0.8724,0.8856,0.8778,0.8703,0.7002,0.7900,0.8872,0.9037
approach (GPT-5.6-luna),gpt-5.6-luna,average,5,5,0.8483,0.9462,0.8881,0.9199,0.0000,0.8513,0.9126,0.8778,0.8974,0.8791,0.8790,0.6932,0.7747,0.8791,0.9034
Artemis (GPT-5.6-terra),gpt-5.6-terra,run1,5,5,0.8230,0.8325,0.8089,0.8178,3.9766,0.7972,0.8698,0.8064,0.8374,0.7666,0.7710,0.4057,0.4494,0.6016,0.6173
Artemis (GPT-5.6-terra),gpt-5.6-terra,run2,5,5,0.7928,0.8384,0.7956,0.8155,3.5088,0.8023,0.8699,0.8113,0.8397,0.7713,0.7844,0.4457,0.5345,0.6434,0.6882
Artemis (GPT-5.6-terra),gpt-5.6-terra,run3,5,5,0.7998,0.8781,0.8235,0.8514,2.3995,0.7862,0.8828,0.8206,0.8533,0.8008,0.8145,0.5537,0.5891,0.6590,0.6873
Artemis (GPT-5.6-terra),gpt-5.6-terra,average,5,5,0.8052,0.8496,0.8093,0.8282,3.2950,0.7953,0.8742,0.8127,0.8435,0.7796,0.7900,0.4684,0.5243,0.6347,0.6642
Artemis (GPT-5.4),gpt-5.4,single,5,5,0.9297,0.7631,0.8355,0.7900,4.6218,0.9412,0.7779,0.8488,0.8043,0.8090,0.7475,0.4110,0.3489,0.5062,0.4718
TransArC,deterministic,single,5,5,0.8695,0.7717,0.7990,0.7783,7.0968,0.8855,0.7753,0.8026,0.7823,0.8189,0.7741,0.5149,0.5148,0.6756,0.6727
Delta (approach (GPT-5.6-terra) - Artemis (GPT-5.6-terra)),,delta,,,0.1103,0.0857,0.1148,0.1023,-2.0047,0.0878,0.0171,0.0706,0.0436,0.1037,0.0790,0.3292,0.2221,0.2789,0.2431
Delta (approach (GPT-5.6-luna) - Artemis (GPT-5.6-terra)),,delta,,,0.0431,0.0966,0.0788,0.0916,-3.2950,0.0561,0.0384,0.0651,0.0539,0.0995,0.0890,0.2249,0.2503,0.2445,0.2392
