system,run,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_sentence_coverage,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,note
TransArC,single,0.8026,0.7823,0.7511,0.5445,0.6734,
Artemis (GPT-5.4),single,0.8488,0.8043,0.7091,0.3455,0.4656,
approach (GPT-5.6-terra),run1,0.9114,0.9125,0.8802,0.7057,0.8642,
approach (GPT-5.6-terra),run2,0.9002,0.9082,0.8801,0.7057,0.8780,
approach (GPT-5.6-terra),run3,0.9153,0.9150,0.8823,0.7057,0.8697,
approach (GPT-5.6-terra),average,0.9090,0.9119,0.8809,0.7057,0.8706,
approach (GPT-5.6-luna),run1,0.8837,0.9149,0.9173,0.6865,0.8746,
approach (GPT-5.6-luna),run2,0.8796,0.9152,0.9172,0.7390,0.8854,
approach (GPT-5.6-luna),run3,0.8817,0.9058,0.8875,0.6914,0.8616,
approach (GPT-5.6-luna),average,0.8817,0.9120,0.9073,0.7056,0.8739,
approach (GPT-5.4),run1,0.9101,0.8787,0.8436,0.7331,0.8792,
approach (GPT-5.4),run2,0.9039,0.8763,0.8401,0.7596,0.8887,
approach (GPT-5.4),run3,0.9048,0.8760,0.8414,0.7664,0.8836,
approach (GPT-5.4),average,0.9063,0.8770,0.8417,0.7530,0.8838,
approach (Claude),run1,0.9195,0.8950,0.8523,0.5418,0.6988,
approach (Claude),run2,0.9148,0.8852,0.8436,0.5863,0.7055,
approach (Claude),run3,0.8909,0.8540,0.8323,0.6000,0.7069,
approach (Claude),average,0.9084,0.8781,0.8427,0.5760,0.7038,
approach s20union (GPT-5.4),run1,0.8742,0.8573,0.8122,0.5539,0.6879,
approach s20union (GPT-5.4),run2,0.8769,0.8540,0.8123,0.6059,0.8231,
approach s20union (GPT-5.4),run3,0.8727,0.8516,0.8079,0.6127,0.8232,
approach s20union (GPT-5.4),average,0.8746,0.8543,0.8108,0.5908,0.7780,
approach s20union (Claude),run1,0.9101,0.8910,0.8557,0.7333,0.8783,
approach s20union (Claude),run2,0.8973,0.8643,0.8287,0.6979,0.8698,
approach s20union (Claude),run3,0.9108,0.8868,0.8579,0.6533,0.7229,
approach s20union (Claude),average,0.9061,0.8807,0.8475,0.6949,0.8237,
Delta (approach (GPT-5.6-terra) - Artemis),run1,0.0626,0.1082,0.1711,0.3602,0.3986,
Delta (approach (GPT-5.6-terra) - Artemis),run2,0.0514,0.1039,0.1711,0.3602,0.4124,
Delta (approach (GPT-5.6-terra) - Artemis),run3,0.0664,0.1107,0.1732,0.3602,0.4041,
Delta (approach (GPT-5.6-terra) - Artemis),average,0.0601,0.1076,0.1718,0.3602,0.4050,
Delta (approach (GPT-5.6-luna) - Artemis),run1,0.0349,0.1107,0.2082,0.3411,0.4090,
Delta (approach (GPT-5.6-luna) - Artemis),run2,0.0307,0.1110,0.2081,0.3935,0.4198,
Delta (approach (GPT-5.6-luna) - Artemis),run3,0.0329,0.1016,0.1784,0.3459,0.3960,
Delta (approach (GPT-5.6-luna) - Artemis),average,0.0328,0.1077,0.1982,0.3602,0.4082,
Delta (approach (GPT-5.4) - Artemis),run1,0.0613,0.0744,0.1345,0.3876,0.4136,
Delta (approach (GPT-5.4) - Artemis),run2,0.0550,0.0720,0.1310,0.4141,0.4231,
Delta (approach (GPT-5.4) - Artemis),run3,0.0560,0.0717,0.1323,0.4210,0.4180,
Delta (approach (GPT-5.4) - Artemis),average,0.0574,0.0727,0.1326,0.4076,0.4182,
Delta (approach (Claude) - Artemis),run1,0.0707,0.0907,0.1432,0.1964,0.2332,
Delta (approach (Claude) - Artemis),run2,0.0660,0.0810,0.1345,0.2408,0.2399,
Delta (approach (Claude) - Artemis),run3,0.0421,0.0498,0.1232,0.2545,0.2413,
Delta (approach (Claude) - Artemis),average,0.0596,0.0738,0.1336,0.2306,0.2381,
Delta (approach s20union (GPT-5.4) - Artemis),run1,0.0254,0.0531,0.1031,0.2085,0.2223,
Delta (approach s20union (GPT-5.4) - Artemis),run2,0.0280,0.0498,0.1032,0.2604,0.3574,
Delta (approach s20union (GPT-5.4) - Artemis),run3,0.0239,0.0473,0.0988,0.2672,0.3575,
Delta (approach s20union (GPT-5.4) - Artemis),average,0.0258,0.0501,0.1017,0.2454,0.3124,
Delta (approach s20union (Claude) - Artemis),run1,0.0613,0.0868,0.1467,0.3879,0.4127,
Delta (approach s20union (Claude) - Artemis),run2,0.0485,0.0600,0.1196,0.3525,0.4042,
Delta (approach s20union (Claude) - Artemis),run3,0.0619,0.0826,0.1488,0.3079,0.2572,
Delta (approach s20union (Claude) - Artemis),average,0.0572,0.0765,0.1384,0.3494,0.3580,
paper approach (GPT-5.4),paper,0.8700,,0.8000,0.6200,0.7100,OUTDATED: gpt reasoning=medium (deleted v2.6.5_s20union_gpt_re_medium); live rows = no-reasoning v2.6.6
