backend,run,linker_set,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2
terra,run1,full_name_only,mediastore,1.000000,0.548387,0.708333,0.602837
terra,run1,full_name_only,teastore,1.000000,0.518519,0.682927,0.573770
terra,run1,full_name_only,teammates,0.937500,0.789474,0.857143,0.815217
terra,run1,full_name_only,bigbluebutton,0.969697,0.516129,0.673684,0.569395
terra,run1,full_name_only,jabref,1.000000,1.000000,1.000000,1.000000
terra,run1,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
terra,run1,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
terra,run1,partial_name_only,teammates,0.250000,0.035088,0.061538,0.042373
terra,run1,partial_name_only,bigbluebutton,0.791667,0.306452,0.441860,0.349265
terra,run1,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
terra,run1,coref_only,mediastore,1.000000,0.096774,0.176471,0.118110
terra,run1,coref_only,teastore,1.000000,0.222222,0.363636,0.263158
terra,run1,coref_only,teammates,0.818182,0.157895,0.264706,0.188285
terra,run1,coref_only,bigbluebutton,1.000000,0.209677,0.346667,0.249042
terra,run1,coref_only,jabref,1.000000,0.055556,0.105263,0.068493
terra,run1,full,mediastore,1.000000,0.645161,0.784314,0.694444
terra,run1,full,teastore,1.000000,0.703704,0.826087,0.748031
terra,run1,full,teammates,0.825397,0.912281,0.866667,0.893471
terra,run1,full,bigbluebutton,0.901639,0.887097,0.894309,0.889968
terra,run1,full,jabref,1.000000,1.000000,1.000000,1.000000
terra,run2,full_name_only,mediastore,1.000000,0.548387,0.708333,0.602837
terra,run2,full_name_only,teastore,1.000000,0.518519,0.682927,0.573770
terra,run2,full_name_only,teammates,0.937500,0.789474,0.857143,0.815217
terra,run2,full_name_only,bigbluebutton,0.969697,0.516129,0.673684,0.569395
terra,run2,full_name_only,jabref,1.000000,1.000000,1.000000,1.000000
terra,run2,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
terra,run2,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
terra,run2,partial_name_only,teammates,0.000000,0.000000,0.000000,0.000000
terra,run2,partial_name_only,bigbluebutton,0.791667,0.306452,0.441860,0.349265
terra,run2,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
terra,run2,coref_only,mediastore,1.000000,0.096774,0.176471,0.118110
terra,run2,coref_only,teastore,1.000000,0.259259,0.411765,0.304348
terra,run2,coref_only,teammates,0.866667,0.228070,0.361111,0.267490
terra,run2,coref_only,bigbluebutton,1.000000,0.112903,0.202899,0.137255
terra,run2,coref_only,jabref,1.000000,0.055556,0.105263,0.068493
terra,run2,full,mediastore,1.000000,0.645161,0.784314,0.694444
terra,run2,full,teastore,1.000000,0.703704,0.826087,0.748031
terra,run2,full,teammates,0.732394,0.912281,0.812500,0.869565
terra,run2,full,bigbluebutton,0.900000,0.870968,0.885246,0.876623
terra,run2,full,jabref,1.000000,1.000000,1.000000,1.000000
terra,run3,full_name_only,mediastore,1.000000,0.548387,0.708333,0.602837
terra,run3,full_name_only,teastore,1.000000,0.518519,0.682927,0.573770
terra,run3,full_name_only,teammates,0.937500,0.789474,0.857143,0.815217
terra,run3,full_name_only,bigbluebutton,0.967742,0.483871,0.645161,0.537634
terra,run3,full_name_only,jabref,1.000000,1.000000,1.000000,1.000000
terra,run3,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
terra,run3,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
