backend,run,variant,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
luna,run1,Full,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
luna,run1,NoFullNameValid,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
luna,run1,NoPartialNameValid,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
luna,run1,NoCitation,mediastore,0.644444,0.491525,0.557692,0.516014,0.689655,0.704225,0.000000,0.000000,0.000000,0.000000
luna,run1,NoValidator,mediastore,0.644444,0.491525,0.557692,0.516014,0.689655,0.704225,0.000000,0.000000,0.000000,0.000000
luna,run1,Full,teastore,0.958944,0.462518,0.624046,0.515936,0.833333,0.775194,0.000000,0.000000,0.000000,0.000000
luna,run1,NoFullNameValid,teastore,0.958944,0.462518,0.624046,0.515936,0.833333,0.775194,0.000000,0.000000,0.000000,0.000000
luna,run1,NoPartialNameValid,teastore,0.958944,0.462518,0.624046,0.515936,0.833333,0.775194,0.000000,0.000000,0.000000,0.000000
luna,run1,NoCitation,teastore,0.739130,0.504950,0.600000,0.539112,0.724138,0.755396,0.000000,0.000000,0.000000,0.000000
luna,run1,NoValidator,teastore,0.739130,0.504950,0.600000,0.539112,0.724138,0.755396,0.000000,0.000000,0.000000,0.000000
luna,run1,Full,teammates,0.859316,0.837347,0.848189,0.841651,0.692737,0.605469,0.699187,0.682325,0.817861,0.841647
luna,run1,NoFullNameValid,teammates,0.734229,0.938619,0.823938,0.889118,0.753769,0.704887,0.646617,0.820611,0.804427,0.898159
luna,run1,NoPartialNameValid,teammates,0.808780,0.837347,0.822816,0.831473,0.596154,0.573013,0.210526,0.400000,0.574528,0.716697
luna,run1,NoCitation,teammates,0.511904,0.852414,0.639666,0.752327,0.647887,0.631868,0.520789,0.585266,0.688291,0.792035
luna,run1,NoValidator,teammates,0.471420,0.939113,0.627729,0.783627,0.607004,0.661017,0.210526,0.400000,0.510736,0.714758
luna,run1,Full,bigbluebutton,0.818641,0.953564,0.880967,0.923135,0.929412,0.970516,0.727273,0.694444,0.887422,0.924082
luna,run1,NoFullNameValid,bigbluebutton,0.777186,0.953564,0.856388,0.912162,0.918605,0.965770,0.727273,0.694444,0.877611,0.919799
luna,run1,NoPartialNameValid,bigbluebutton,0.576285,0.953564,0.718404,0.843164,0.840426,0.929412,0.333333,0.555556,0.707034,0.835313
luna,run1,NoCitation,bigbluebutton,0.621977,0.958797,0.754503,0.865101,0.840426,0.929412,0.571429,0.657895,0.777476,0.873223
luna,run1,NoValidator,bigbluebutton,0.505866,0.958797,0.662300,0.813179,0.778325,0.897727,0.333333,0.555556,0.666935,0.812707
luna,run1,Full,jabref,0.999516,1.000000,0.999758,0.999903,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
luna,run1,NoFullNameValid,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,run1,NoPartialNameValid,jabref,0.999516,1.000000,0.999758,0.999903,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
luna,run1,NoCitation,jabref,0.870499,1.000000,0.930767,0.971106,0.897959,0.956522,0.800000,0.909091,0.900000,0.957447
luna,run1,NoValidator,jabref,0.789685,1.000000,0.882485,0.949428,0.880000,0.948276,0.800000,0.909091,0.883436,0.949868
luna,run2,Full,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
luna,run2,NoFullNameValid,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
luna,run2,NoPartialNameValid,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
luna,run2,NoCitation,mediastore,0.787234,0.627119,0.698113,0.653710,0.745763,0.769231,0.000000,0.000000,0.000000,0.000000
luna,run2,NoValidator,mediastore,0.787234,0.627119,0.698113,0.653710,0.745763,0.769231,0.000000,0.000000,0.000000,0.000000
luna,run2,Full,teastore,1.000000,0.568600,0.724977,0.622291,0.875000,0.813953,0.333333,0.238095,0.731707,0.630252
luna,run2,NoFullNameValid,teastore,1.000000,0.568600,0.724977,0.622291,0.875000,0.813953,0.333333,0.238095,0.731707,0.630252
luna,run2,NoPartialNameValid,teastore,1.000000,0.568600,0.724977,0.622291,0.875000,0.813953,0.333333,0.238095,0.731707,0.630252
luna,run2,NoCitation,teastore,0.497048,0.595474,0.541828,0.572789,0.656716,0.743243,0.181818,0.192308,0.501393,0.550122
luna,run2,NoValidator,teastore,0.497048,0.595474,0.541828,0.572789,0.656716,0.743243,0.181818,0.192308,0.501393,0.550122
luna,run2,Full,teammates,0.849002,0.840929,0.844946,0.842531,0.696133,0.612840,0.699187,0.682325,0.815663,0.844157
luna,run2,NoFullNameValid,teammates,0.729227,0.938619,0.820779,0.887643,0.750000,0.703565,0.646617,0.820611,0.801785,0.896839
luna,run2,NoPartialNameValid,teammates,0.799836,0.840929,0.819868,0.832376,0.600000,0.580110,0.210526,0.400000,0.573443,0.718516
luna,run2,NoCitation,teammates,0.450496,0.903051,0.601118,0.751969,0.643777,0.662544,0.524136,0.686953,0.669586,0.809376
luna,run2,NoValidator,teammates,0.419627,0.939484,0.580133,0.752930,0.580882,0.652893,0.210526,0.400000,0.489783,0.698063
luna,run2,Full,bigbluebutton,0.783871,0.953564,0.860431,0.913992,0.929412,0.970516,0.740741,0.694444,0.897298,0.928337
luna,run2,NoFullNameValid,bigbluebutton,0.783871,0.953564,0.860431,0.913992,0.929412,0.970516,0.740741,0.694444,0.897298,0.928337
