backend,run,linker_set,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_file_f2_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_worst_component_f2_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_harmonic_component_f2_vs_full
terra,run1,Full,0.915111,0.913700,0.911465,0.912042,0.905321,0.892867,0.810092,0.777785,0.935949,0.932906,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run1,FullNameOnly,0.935806,0.813998,0.866718,0.833548,0.841605,0.789574,0.765725,0.682262,0.877471,0.834089,-0.044747,-0.078494,-0.044367,-0.095523,-0.058478,-0.098817
terra,run1,PartialNameOnly,0.104762,0.028777,0.045151,0.033660,0.098246,0.079772,0.000000,0.000000,0.000000,0.000000,-0.866314,-0.878382,-0.810092,-0.777785,-0.935949,-0.932906
terra,run1,CorefOnly,0.947205,0.177501,0.292477,0.210466,0.269689,0.193614,0.000000,0.000000,0.000000,0.000000,-0.618989,-0.701576,-0.810092,-0.777785,-0.935949,-0.932906
terra,run2,Full,0.924723,0.910822,0.915642,0.912222,0.909622,0.893156,0.835575,0.770305,0.941433,0.931215,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run2,FullNameOnly,0.934760,0.808243,0.863289,0.828715,0.838258,0.785086,0.716602,0.633651,0.867208,0.818410,-0.052353,-0.083507,-0.118973,-0.136654,-0.074226,-0.112805
terra,run2,PartialNameOnly,0.315134,0.025796,0.042424,0.030588,0.088757,0.068914,0.000000,0.000000,0.000000,0.000000,-0.873217,-0.881634,-0.835575,-0.770305,-0.941433,-0.931215
terra,run2,CorefOnly,0.985953,0.215245,0.348013,0.253874,0.292711,0.212102,0.000000,0.000000,0.000000,0.000000,-0.567628,-0.658348,-0.835575,-0.770305,-0.941433,-0.931215
terra,run3,Full,0.951044,0.915009,0.927660,0.918811,0.910038,0.893239,0.817657,0.780863,0.945214,0.937471,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run3,FullNameOnly,0.969407,0.809552,0.878166,0.834876,0.839376,0.784014,0.717264,0.634422,0.873449,0.822134,-0.049494,-0.083935,-0.100393,-0.146441,-0.071765,-0.115337
terra,run3,PartialNameOnly,0.306667,0.034952,0.053012,0.040458,0.106136,0.086993,0.000000,0.000000,0.000000,0.000000,-0.874648,-0.878353,-0.817657,-0.780863,-0.945214,-0.937471
terra,run3,CorefOnly,0.960913,0.182542,0.291837,0.214295,0.291581,0.210359,0.000000,0.000000,0.000000,0.000000,-0.635823,-0.704516,-0.817657,-0.780863,-0.945214,-0.937471
luna,run1,Full,0.902426,0.932441,0.915268,0.924966,0.905019,0.902933,0.770935,0.795565,0.927777,0.937689,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run1,FullNameOnly,0.917740,0.830962,0.869880,0.845671,0.849934,0.805687,0.710346,0.665343,0.880624,0.847621,-0.045388,-0.079295,-0.060588,-0.130222,-0.047154,-0.090068
luna,run1,PartialNameOnly,0.139548,0.029197,0.045478,0.034070,0.100840,0.081773,0.000000,0.000000,0.000000,0.000000,-0.869790,-0.890896,-0.770935,-0.795565,-0.927777,-0.937689
luna,run1,CorefOnly,0.949230,0.196957,0.316069,0.231645,0.339887,0.250720,0.000000,0.000000,0.000000,0.000000,-0.599199,-0.693321,-0.770935,-0.795565,-0.927777,-0.937689
luna,run2,Full,0.872969,0.939467,0.902282,0.923469,0.895796,0.907500,0.693773,0.735405,0.893022,0.930052,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run2,FullNameOnly,0.899922,0.843393,0.866982,0.851908,0.856971,0.817058,0.696208,0.660496,0.873230,0.851238,-0.035300,-0.071562,+0.002435,-0.074909,-0.019792,-0.078815
luna,run2,PartialNameOnly,0.116519,0.029197,0.045894,0.034165,0.100541,0.081719,0.000000,0.000000,0.000000,0.000000,-0.856388,-0.889304,-0.693773,-0.735405,-0.893022,-0.930052
luna,run2,CorefOnly,0.690132,0.227998,0.340614,0.262642,0.333141,0.255339,0.000000,0.000000,0.000000,0.000000,-0.561668,-0.660828,-0.693773,-0.735405,-0.893022,-0.930052
luna,run3,Full,0.858300,0.944905,0.896276,0.923881,0.894214,0.907447,0.716040,0.767002,0.885477,0.926447,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run3,FullNameOnly,0.874295,0.843735,0.853950,0.846793,0.852361,0.815175,0.747576,0.700304,0.874707,0.853683,-0.042326,-0.077088,+0.031536,-0.066698,-0.010770,-0.072764
luna,run3,PartialNameOnly,0.108122,0.031290,0.047952,0.036336,0.104658,0.086644,0.000000,0.000000,0.000000,0.000000,-0.848324,-0.887545,-0.716040,-0.767002,-0.885477,-0.926447
luna,run3,CorefOnly,0.936171,0.161829,0.271390,0.192848,0.276664,0.197329,0.000000,0.000000,0.000000,0.000000,-0.624887,-0.731033,-0.716040,-0.767002,-0.885477,-0.926447
luna,average,CorefOnly,0.858511,0.195595,0.309358,0.229045,0.316564,0.234463,0.000000,0.000000,0.000000,0.000000,-0.595251,-0.695061,-0.726916,-0.765991,-0.902092,-0.931396
luna,average,Full,0.877898,0.938938,0.904609,0.924105,0.898343,0.905960,0.726916,0.765991,0.902092,0.931396,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,average,FullNameOnly,0.897319,0.839363,0.863604,0.848124,0.853089,0.812640,0.718043,0.675381,0.876187,0.850847,-0.041005,-0.075982,-0.008872,-0.090610,-0.025905,-0.080549
luna,average,PartialNameOnly,0.121396,0.029895,0.046441,0.034857,0.102013,0.083379,0.000000,0.000000,0.000000,0.000000,-0.858167,-0.889248,-0.726916,-0.765991,-0.902092,-0.931396
terra,average,CorefOnly,0.964690,0.191763,0.310776,0.226212,0.284660,0.205358,0.000000,0.000000,0.000000,0.000000,-0.607480,-0.688147,-0.821108,-0.776318,-0.940865,-0.933864
terra,average,Full,0.930293,0.913177,0.918256,0.914358,0.908327,0.893087,0.821108,0.776318,0.940865,0.933864,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,average,FullNameOnly,0.946658,0.810598,0.869391,0.832380,0.839746,0.786225,0.733197,0.650112,0.872709,0.824878,-0.048865,-0.081979,-0.087911,-0.126206,-0.068156,-0.108986
terra,average,PartialNameOnly,0.242188,0.029842,0.046862,0.034902,0.097713,0.078560,0.000000,0.000000,0.000000,0.000000,-0.871393,-0.879456,-0.821108,-0.776318,-0.940865,-0.933864
