backend,run,variant,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
terra,run1,Full,mediastore,1.000000,0.881356,0.936937,0.902778,1.000000,1.000000,0.857143,0.789474,0.981818,0.971223
terra,run1,NoNameValid,mediastore,0.852459,0.881356,0.866667,0.875421,0.949153,0.979021,0.724138,0.739437,0.959391,0.962322
terra,run1,NoCitation,mediastore,0.912281,0.881356,0.896552,0.887372,0.949153,0.979021,0.666667,0.772059,0.908654,0.941235
terra,run1,NoValidator,mediastore,0.787879,0.881356,0.832000,0.860927,0.903226,0.958904,0.666667,0.724138,0.889412,0.932873
terra,run1,Full,teastore,1.000000,0.957567,0.978324,0.965763,0.981132,0.970149,0.909091,0.862069,0.983607,0.974026
terra,run1,NoNameValid,teastore,1.000000,0.957567,0.978324,0.965763,0.981132,0.970149,0.909091,0.862069,0.983607,0.974026
terra,run1,NoCitation,teastore,0.967168,1.000000,0.983310,0.993257,0.947368,0.978261,0.833333,0.925926,0.942408,0.976139
terra,run1,NoValidator,teastore,0.967168,1.000000,0.983310,0.993257,0.947368,0.978261,0.833333,0.925926,0.942408,0.976139
terra,run1,Full,teammates,0.826404,0.770779,0.797623,0.781297,0.627219,0.527888,0.715990,0.611746,0.817925,0.790413
terra,run1,NoNameValid,teammates,0.628213,0.938866,0.752748,0.854368,0.649573,0.670194,0.210526,0.400000,0.556779,0.749345
terra,run1,NoCitation,teammates,0.620639,0.777695,0.690347,0.740231,0.595745,0.537428,0.589391,0.569909,0.718198,0.756650
terra,run1,NoValidator,teammates,0.523373,0.938866,0.672089,0.810223,0.608000,0.651801,0.205128,0.392157,0.519634,0.721577
terra,run1,Full,bigbluebutton,0.778959,0.958797,0.859572,0.916479,0.940476,0.975309,0.645161,0.657895,0.910092,0.934393
