backend,run,linker_set,macro_f1,macro_f2
terra,run1,full_name_only,0.885838,0.852092
terra,run1,partial_name_only,0.074419,0.058824
terra,run1,coref_only,0.291225,0.210044
terra,run1,full,0.947324,0.961444
terra,run2,full_name_only,0.878508,0.847586
terra,run2,partial_name_only,0.084945,0.064068
terra,run2,coref_only,0.329897,0.241584
terra,run2,full,0.953086,0.962417
terra,run3,full_name_only,0.877653,0.849268
terra,run3,partial_name_only,0.096784,0.077094
terra,run3,coref_only,0.311958,0.226681
terra,run3,full,0.954533,0.972361
terra,average,full_name_only,0.880666,0.849649
terra,average,partial_name_only,0.085383,0.066662
terra,average,coref_only,0.311027,0.226103
terra,average,full,0.951648,0.965407
luna,run1,full_name_only,0.865420,0.846120
luna,run1,partial_name_only,0.080015,0.062900
luna,run1,coref_only,0.335303,0.243922
luna,run1,full,0.920394,0.949626
luna,run2,full_name_only,0.852676,0.842079
luna,run2,partial_name_only,0.079043,0.062706
luna,run2,coref_only,0.341730,0.261393
luna,run2,full,0.891100,0.934362
luna,run3,full_name_only,0.848319,0.846433
luna,run3,partial_name_only,0.084938,0.069186
luna,run3,coref_only,0.292280,0.210842
luna,run3,full,0.889547,0.942312
luna,average,full_name_only,0.855472,0.844877
luna,average,partial_name_only,0.081332,0.064931
luna,average,coref_only,0.323104,0.238719
luna,average,full,0.900347,0.942100
