run,project,tp,fp,fn,f1,f2,canonical
run1,mediastore,31,0,0,1.000000,1.000000,
run1,teastore,26,0,1,0.981132,0.970149,
run1,teammates,51,11,6,0.857143,0.879310,
run1,bigbluebutton,62,10,0,0.925373,0.968750,
run1,jabref,18,1,0,0.972973,0.989011,
run1,MACRO,,,,0.947324,0.961444,
run2,mediastore,31,0,0,1.000000,1.000000,yes
run2,teastore,26,0,1,0.981132,0.970149,yes
run2,teammates,54,12,3,0.878049,0.918367,yes
run2,bigbluebutton,58,8,4,0.906250,0.923567,yes
run2,jabref,18,0,0,1.000000,1.000000,yes
run2,MACRO,,,,0.953086,0.962417,yes
run3,mediastore,31,0,0,1.000000,1.000000,
run3,teastore,26,0,1,0.981132,0.970149,
run3,teammates,55,14,2,0.873016,0.925926,
run3,bigbluebutton,62,11,0,0.918519,0.965732,
run3,jabref,18,0,0,1.000000,1.000000,
run3,MACRO,,,,0.954533,0.972361,
