backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
terra,run1,Full,mediastore,1.000000,0.525424,0.688889,0.580524,0.833333,0.757576,0.000000,0.000000,0.000000,0.000000
terra,run1,FullNameOnly,mediastore,1.000000,0.423729,0.595238,0.478927,0.755556,0.658915,0.000000,0.000000,0.000000,0.000000
terra,run1,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.123967,0.193548,0.130435,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,teastore,1.000000,0.462518,0.632495,0.518225,0.851064,0.781250,0.000000,0.000000,0.000000,0.000000
terra,run1,FullNameOnly,teastore,1.000000,0.304102,0.466377,0.353270,0.714286,0.609756,0.000000,0.000000,0.000000,0.000000
terra,run1,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,teastore,1.000000,0.172560,0.294331,0.206780,0.411765,0.304348,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,teammates,0.987946,0.749043,0.852065,0.787110,0.603774,0.487805,0.715990,0.611746,0.831675,0.761549
terra,run1,FullNameOnly,teammates,0.995112,0.729159,0.841625,0.770335,0.567742,0.450820,0.712683,0.607889,0.801451,0.717691
terra,run1,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,teammates,0.948630,0.102631,0.185222,0.124910,0.150000,0.099338,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,bigbluebutton,0.778959,0.958797,0.859572,0.916479,0.940476,0.975309,0.606061,0.641026,0.901884,0.930914
terra,run1,FullNameOnly,bigbluebutton,0.869992,0.752780,0.807153,0.773625,0.744186,0.655738,0.235294,0.161290,0.645387,0.536713
terra,run1,PartialNameOnly,bigbluebutton,0.552102,0.197515,0.290944,0.226625,0.550000,0.462185,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,bigbluebutton,0.853403,0.213211,0.341183,0.250846,0.495238,0.380117,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,jabref,0.999516,1.000000,0.999758,0.999903,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,run1,FullNameOnly,jabref,0.999516,1.000000,0.999758,0.999903,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,run1,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,jabref,1.000000,0.030237,0.058699,0.037513,0.086957,0.056180,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,mediastore,1.000000,0.525424,0.688889,0.580524,0.833333,0.757576,0.000000,0.000000,0.000000,0.000000
terra,run2,FullNameOnly,mediastore,1.000000,0.423729,0.595238,0.478927,0.755556,0.658915,0.000000,0.000000,0.000000,0.000000
terra,run2,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.123967,0.193548,0.130435,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,teastore,1.000000,0.435644,0.606897,0.491071,0.826087,0.748031,0.000000,0.000000,0.000000,0.000000
terra,run2,FullNameOnly,teastore,1.000000,0.304102,0.466377,0.353270,0.714286,0.609756,0.000000,0.000000,0.000000,0.000000
terra,run2,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,teastore,1.000000,0.145686,0.254321,0.175708,0.363636,0.263158,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,teammates,0.988306,0.772385,0.867106,0.807676,0.629630,0.515152,0.715990,0.611746,0.853094,0.789538
terra,run2,FullNameOnly,teammates,0.995217,0.745214,0.852260,0.784635,0.585987,0.469388,0.715990,0.611746,0.817768,0.738680
terra,run2,PartialNameOnly,teammates,1.000000,0.002100,0.004190,0.002623,0.017857,0.011236,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,teammates,0.975517,0.221440,0.360946,0.261935,0.251969,0.173913,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,bigbluebutton,0.807269,0.958797,0.876532,0.924105,0.957576,0.982587,0.740741,0.694444,0.926965,0.941430
