backend,run,variant,macro_f1,macro_f2
terra,run1,Full,0.889973,0.859023
terra,run1,NoNameValid,0.793990,0.825922
terra,run1,NoCitation,0.846454,0.856493
terra,run1,NoValidator,0.768240,0.820279
terra,run2,Full,0.895227,0.863028
terra,run2,NoNameValid,0.790488,0.821625
terra,run2,NoCitation,0.835153,0.851284
terra,run2,NoValidator,0.766007,0.818554
terra,run3,Full,0.885470,0.857577
terra,run3,NoNameValid,0.792693,0.825002
terra,run3,NoCitation,0.835053,0.851965
terra,run3,NoValidator,0.763454,0.818547
terra,average,Full,0.890224,0.859876
terra,average,NoNameValid,0.792390,0.824183
terra,average,NoCitation,0.838887,0.853247
terra,average,NoValidator,0.765900,0.819127
