backend,run,linker_set,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_file_f2_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_worst_component_f2_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_harmonic_component_f2_vs_full
luna,run1,Full,0.923785,0.747172,0.799561,0.762954,0.841792,0.809870,0.435498,0.450554,0.522254,0.540436,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run1,FullNameOnly,0.957350,0.650253,0.741222,0.680365,0.764961,0.686882,0.363873,0.354607,0.479567,0.454803,-0.058339,-0.082589,-0.071625,-0.095947,-0.042687,-0.085632
luna,run1,PartialNameOnly,0.132675,0.039923,0.057357,0.045437,0.107356,0.092882,0.000000,0.000000,0.000000,0.000000,-0.742204,-0.717517,-0.435498,-0.450554,-0.522254,-0.540436
luna,run1,CorefOnly,0.935021,0.169185,0.281373,0.201167,0.308765,0.230236,0.000000,0.000000,0.000000,0.000000,-0.518187,-0.561788,-0.435498,-0.450554,-0.522254,-0.540436
luna,run2,Full,0.910567,0.730646,0.780331,0.744609,0.824560,0.788834,0.397363,0.432372,0.514208,0.530857,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run2,FullNameOnly,0.966186,0.647141,0.742827,0.678908,0.757616,0.680246,0.350257,0.336425,0.480169,0.451372,-0.037504,-0.065701,-0.047106,-0.095947,-0.034039,-0.079484
luna,run2,PartialNameOnly,0.109795,0.031551,0.043889,0.035534,0.089655,0.073049,0.000000,0.000000,0.000000,0.000000,-0.736443,-0.709075,-0.397363,-0.432372,-0.514208,-0.530857
luna,run2,CorefOnly,0.882001,0.182928,0.301249,0.216977,0.345212,0.258552,0.000000,0.000000,0.000000,0.000000,-0.479082,-0.527632,-0.397363,-0.432372,-0.514208,-0.530857
luna,run3,Full,0.912925,0.753737,0.807898,0.771426,0.837196,0.798650,0.523405,0.497348,0.694183,0.691760,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run3,FullNameOnly,0.958500,0.643168,0.738013,0.674783,0.759366,0.677944,0.345691,0.327021,0.478794,0.450010,-0.069885,-0.096644,-0.177713,-0.170327,-0.215389,-0.241750
luna,run3,PartialNameOnly,0.135402,0.029458,0.046043,0.034411,0.086302,0.068314,0.000000,0.000000,0.000000,0.000000,-0.761855,-0.737015,-0.523405,-0.497348,-0.694183,-0.691760
luna,run3,CorefOnly,0.636633,0.163132,0.258979,0.191448,0.284102,0.211288,0.000000,0.000000,0.000000,0.000000,-0.548919,-0.579979,-0.523405,-0.497348,-0.694183,-0.691760
luna,average,CorefOnly,0.817885,0.171748,0.280534,0.203197,0.312693,0.233359,0.000000,0.000000,0.000000,0.000000,-0.515396,-0.556466,-0.452089,-0.460091,-0.576882,-0.587684
luna,average,Full,0.915759,0.743852,0.795930,0.759663,0.834516,0.799118,0.452089,0.460091,0.576882,0.587684,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,average,FullNameOnly,0.960679,0.646854,0.740687,0.678019,0.760648,0.681691,0.353274,0.339351,0.479510,0.452062,-0.055243,-0.081645,-0.098815,-0.120740,-0.097372,-0.135622
luna,average,PartialNameOnly,0.125957,0.033644,0.049096,0.038461,0.094438,0.078082,0.000000,0.000000,0.000000,0.000000,-0.746834,-0.721202,-0.452089,-0.460091,-0.576882,-0.587684
