backend,run,variant,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_file_f2_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_worst_component_f2_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_harmonic_component_f2_vs_full
luna,run1,Full,0.923785,0.747172,0.799561,0.762954,0.841792,0.809870,0.435498,0.450554,0.522254,0.540436,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run1,NoNameValid,0.822244,0.774342,0.750756,0.755558,0.822330,0.821707,0.268772,0.372929,0.441967,0.512939,-0.048805,-0.007397,-0.166726,-0.077625,-0.080287,-0.027497
luna,run1,NoCitation,0.655571,0.756523,0.679875,0.717990,0.738251,0.784963,0.350555,0.399525,0.454739,0.511736,-0.119686,-0.044964,-0.084943,-0.051029,-0.067515,-0.028700
luna,run1,NoValidator,0.605822,0.779001,0.647048,0.709645,0.721684,0.788520,0.268772,0.365985,0.400452,0.488642,-0.152513,-0.053309,-0.166726,-0.084569,-0.121801,-0.051794
luna,run2,Full,0.910567,0.730646,0.780331,0.744609,0.824560,0.788834,0.397363,0.432372,0.514208,0.530857,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run2,NoNameValid,0.813789,0.764398,0.739104,0.744712,0.812315,0.811922,0.268772,0.372929,0.439028,0.510673,-0.041227,+0.000103,-0.128591,-0.059443,-0.075180,-0.020183
luna,run2,NoCitation,0.645213,0.749704,0.672363,0.710797,0.733585,0.772620,0.349056,0.416709,0.460737,0.509736,-0.107968,-0.033811,-0.048307,-0.015663,-0.053471,-0.021120
luna,run2,NoValidator,0.608017,0.779998,0.652398,0.713474,0.725001,0.789585,0.263644,0.367081,0.410532,0.493903,-0.127933,-0.031135,-0.133719,-0.065291,-0.103676,-0.036954
luna,run3,Full,0.912925,0.753737,0.807898,0.771426,0.837196,0.798650,0.523405,0.497348,0.694183,0.691760,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run3,NoNameValid,0.811120,0.796364,0.766036,0.775851,0.828464,0.833155,0.366069,0.447309,0.615869,0.674261,-0.041862,+0.004424,-0.157335,-0.050039,-0.078314,-0.017500
luna,run3,NoCitation,0.661901,0.779160,0.698736,0.739827,0.748042,0.791190,0.478676,0.491089,0.615189,0.666781,-0.109162,-0.031599,-0.044728,-0.006259,-0.078993,-0.024980
luna,run3,NoValidator,0.615195,0.806119,0.670658,0.736773,0.732097,0.800864,0.360941,0.441462,0.558312,0.645267,-0.137240,-0.034653,-0.162464,-0.055887,-0.135871,-0.046494
luna,average,Full,0.915759,0.743852,0.795930,0.759663,0.834516,0.799118,0.452089,0.460091,0.576882,0.587684,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,average,NoCitation,0.654228,0.761796,0.683658,0.722871,0.739959,0.782924,0.392762,0.435774,0.510222,0.562751,-0.112272,-0.036791,-0.059326,-0.024317,-0.066660,-0.024933
luna,average,NoNameValid,0.815718,0.778368,0.751965,0.758707,0.821036,0.822261,0.301204,0.397722,0.498955,0.565958,-0.043965,-0.000957,-0.150884,-0.062369,-0.077927,-0.021727
luna,average,NoValidator,0.609678,0.788373,0.656701,0.719964,0.726261,0.792990,0.297786,0.391509,0.456432,0.542604,-0.139229,-0.039699,-0.154303,-0.068582,-0.120449,-0.045081
