backend,run,validator,rejected_tp,unique_rejected_tp,rejected_fp,kept_tp,kept_fp
luna,run1,name,5,5,79,156,30
luna,run1,coref,35,2,93,38,2
luna,run1,all_combined,39,6,163,171,32
luna,run2,name,9,7,86,152,23
luna,run2,coref,42,6,86,45,4
luna,run2,all_combined,49,11,163,166,27
luna,run3,name,12,11,85,149,24
luna,run3,coref,42,10,93,39,5
luna,run3,all_combined,48,15,165,166,29
luna,average,name,8.67,7.67,83.33,152.33,25.67
luna,average,coref,39.67,6,90.67,40.67,3.67
luna,average,all_combined,45.33,10.67,163.67,167.67,29.33
