run,project,tp,fp,fn,f1,f2,canonical
run1,mediastore,29,3,2,0.920635,0.929487,
run1,teastore,26,2,1,0.945455,0.955882,
run1,teammates,54,33,3,0.750000,0.857143,
run1,bigbluebutton,50,13,12,0.800000,0.803859,
run1,jabref,18,1,0,0.972973,0.989011,
run1,MACRO,,,,0.877812,0.907076,
run2,mediastore,29,3,2,0.920635,0.929487,
run2,teastore,26,1,1,0.962963,0.962963,
run2,teammates,52,20,5,0.806202,0.866667,
run2,bigbluebutton,51,5,11,0.864407,0.838816,
run2,jabref,18,0,0,1.000000,1.000000,
run2,MACRO,,,,0.910841,0.919587,
run3,mediastore,30,3,1,0.937500,0.955414,yes
run3,teastore,27,2,0,0.964286,0.985401,yes
run3,teammates,52,30,5,0.748201,0.838710,yes
run3,bigbluebutton,56,8,6,0.888889,0.897436,yes
run3,jabref,18,2,0,0.947368,0.978261,yes
run3,MACRO,,,,0.897249,0.931044,yes
