backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
terra,run1,Full,mediastore,0.847458,0.847458,0.847458,0.847458,0.931034,0.950704,0.724138,0.739437,0.946775,0.942173
terra,run1,FullNameOnly,mediastore,0.830189,0.745763,0.785714,0.761246,0.872727,0.863309,0.654545,0.647482,0.897507,0.870032
terra,run1,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.123967,0.193548,0.130435,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,teastore,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,run1,FullNameOnly,teastore,1.000000,0.735502,0.847596,0.776583,0.875000,0.813953,0.666667,0.555556,0.860215,0.793651
terra,run1,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,teastore,1.000000,0.264498,0.418345,0.310116,0.363636,0.263158,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,teammates,0.795368,0.746449,0.770133,0.755746,0.635838,0.543478,0.715990,0.611746,0.807031,0.791724
terra,run1,FullNameOnly,teammates,0.797868,0.711745,0.752350,0.727449,0.578313,0.480962,0.715990,0.611746,0.755496,0.717534
terra,run1,PartialNameOnly,teammates,1.000000,0.002100,0.004190,0.002623,0.017857,0.011236,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,teammates,0.963685,0.311350,0.470643,0.360102,0.318182,0.225806,0.200669,0.135624,0.418751,0.313811
terra,run1,Full,bigbluebutton,0.682342,0.930020,0.787157,0.867073,0.901235,0.914787,0.444444,0.555556,0.812706,0.835971
terra,run1,FullNameOnly,bigbluebutton,0.853472,0.803793,0.827888,0.813261,0.802920,0.735294,0.421053,0.312500,0.773331,0.688173
terra,run1,PartialNameOnly,bigbluebutton,0.293750,0.122956,0.173352,0.139136,0.377358,0.291545,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,bigbluebutton,0.927835,0.058862,0.110701,0.072429,0.141176,0.093168,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,jabref,0.970195,1.000000,0.984872,0.993893,0.977778,0.990991,0.923077,0.967742,0.986301,0.994475
terra,run1,FullNameOnly,jabref,0.999516,1.000000,0.999758,0.999903,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,run1,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,jabref,0.792219,0.115747,0.201984,0.139586,0.230769,0.163043,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,mediastore,1.000000,0.881356,0.936937,0.902778,1.000000,1.000000,0.857143,0.789474,0.981818,0.971223
terra,run2,FullNameOnly,mediastore,1.000000,0.779661,0.876190,0.815603,0.943396,0.912409,0.782609,0.692308,0.940493,0.908072
terra,run2,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.123967,0.193548,0.130435,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,teastore,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,run2,FullNameOnly,teastore,1.000000,0.735502,0.847596,0.776583,0.875000,0.813953,0.666667,0.555556,0.860215,0.793651
terra,run2,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,teastore,1.000000,0.291372,0.451260,0.339486,0.411765,0.304348,0.000000,0.000000,0.000000,0.000000
