backend,run,validator,rejected_tp,unique_rejected_tp,rejected_fp,kept_tp,kept_fp
terra,run1,name,9,9,99,171,23
terra,run1,coref,83,1,53,36,3
terra,run1,all_combined,91,9,143,186,26
terra,run1,none,0,0,0,195,164
terra,run2,name,9,9,99,171,23
terra,run2,coref,76,1,55,31,2
terra,run2,all_combined,84,9,147,186,25
terra,run2,none,0,0,0,195,169
terra,run3,name,11,11,99,169,23
terra,run3,coref,89,2,51,36,1
terra,run3,all_combined,98,11,143,184,24
terra,run3,none,0,0,0,195,165
terra,average,name,9.67,9.67,99,170.33,23
terra,average,coref,82.67,1.33,53,34.33,2
terra,average,all_combined,91,9.67,144.33,185.33,25
terra,average,none,0,0,0,195,166
luna,run1,name,17,16,73,163,49
luna,run1,coref,49,5,135,55,5
luna,run1,all_combined,62,17,192,177,52
luna,run1,none,0,0,0,194,233
luna,run2,name,18,18,95,162,27
luna,run2,coref,50,10,119,45,2
luna,run2,all_combined,59,19,198,176,29
luna,run2,none,0,0,0,195,222
luna,run3,name,15,12,81,165,42
luna,run3,coref,35,2,129,50,4
luna,run3,all_combined,48,12,196,183,45
luna,run3,none,0,0,0,195,231
luna,average,name,16.67,15.33,83,163.33,39.33
luna,average,coref,44.67,5.67,127.67,50,3.67
luna,average,all_combined,56.33,16,195.33,178.67,42
luna,average,none,0,0,0,194.67,228.67
