backend,run,variant,macro_precision,macro_recall,macro_f1,macro_f2,component_miss_rate
terra,run1,Full,0.903297,0.944312,0.922222,0.935046,1.935484
terra,run1,NoNameValid,0.741833,0.974194,0.824646,0.900362,1.935484
terra,run1,NoCitation,0.764309,0.967176,0.851172,0.916194,0.000000
terra,run1,NoValidator,0.674030,0.993548,0.787035,0.890754,0.000000
terra,run2,Full,0.918636,0.970119,0.942861,0.958813,0.000000
terra,run2,NoNameValid,0.744186,1.000000,0.838367,0.921240,0.000000
terra,run2,NoCitation,0.766294,0.973628,0.853768,0.920468,0.000000
terra,run2,NoValidator,0.658670,1.000000,0.778431,0.889267,0.000000
terra,run3,Full,0.917562,0.963384,0.939127,0.953324,0.000000
terra,run3,NoNameValid,0.752758,1.000000,0.843225,0.923344,0.000000
terra,run3,NoCitation,0.769931,0.970402,0.856189,0.920369,0.000000
terra,run3,NoValidator,0.671119,1.000000,0.787403,0.894266,0.000000
terra,average,Full,0.913165,0.959272,0.934737,0.949061,0.645161
terra,average,NoNameValid,0.746259,0.991398,0.835413,0.914982,0.645161
terra,average,NoCitation,0.766844,0.970402,0.853710,0.919011,0.000000
terra,average,NoValidator,0.667940,0.997849,0.784290,0.891429,0.000000
luna,run1,Full,0.839306,0.930453,0.877812,0.907076,0.000000
luna,run1,NoNameValid,0.738520,0.989084,0.830952,0.912280,0.000000
luna,run1,NoCitation,0.624361,0.951047,0.739281,0.844997,0.000000
luna,run1,NoValidator,0.587569,0.996491,0.721192,0.852910,0.000000
luna,run2,Full,0.900430,0.926662,0.910841,0.919587,0.000000
luna,run2,NoNameValid,0.746306,0.992593,0.836328,0.916149,0.000000
luna,run2,NoCitation,0.672404,0.967459,0.781158,0.876810,0.000000
luna,run2,NoValidator,0.606137,1.000000,0.736483,0.863229,0.000000
luna,run3,Full,0.849854,0.956650,0.897249,0.931044,0.000000
luna,run3,NoNameValid,0.742200,1.000000,0.837018,0.920588,0.000000
luna,run3,NoCitation,0.647178,0.963667,0.760700,0.863011,0.000000
luna,run3,NoValidator,0.606722,1.000000,0.734744,0.860751,0.000000
luna,average,Full,0.863197,0.937922,0.895301,0.919236,0.000000
luna,average,NoNameValid,0.742342,0.993892,0.834766,0.916339,0.000000
luna,average,NoCitation,0.647981,0.960724,0.760380,0.861606,0.000000
luna,average,NoValidator,0.600143,0.998830,0.730806,0.858963,0.000000
