backend,run,linker_set,macro_precision,macro_recall,macro_f1,macro_f2,component_miss_rate
terra,run1,name_only,0.916129,0.885833,0.897906,0.890043,0.000000
terra,run1,coref_only,0.914286,0.172043,0.278847,0.202848,36.473621
terra,run1,full,0.905650,0.970119,0.935942,0.955924,0.000000
terra,run2,name_only,0.908247,0.885833,0.893925,0.888442,0.000000
terra,run2,coref_only,0.780000,0.141495,0.236243,0.168461,45.258756
terra,run2,full,0.900989,0.970119,0.933630,0.955015,0.000000
terra,run3,name_only,0.915071,0.879098,0.894105,0.884507,0.000000
terra,run3,coref_only,0.980000,0.189643,0.311033,0.224514,27.289820
terra,run3,full,0.917562,0.963384,0.939127,0.953324,0.000000
terra,average,name_only,0.913149,0.883588,0.895312,0.887664,0.000000
terra,average,coref_only,0.891429,0.167727,0.275374,0.198607,36.340732
terra,average,full,0.908067,0.967874,0.936233,0.954754,0.000000
luna,run1,name_only,0.841028,0.849676,0.837455,0.842632,0.000000
luna,run1,coref_only,0.944279,0.266384,0.396424,0.306145,32.017229
luna,run1,full,0.839306,0.930453,0.877812,0.907076,0.000000
luna,run2,name_only,0.897155,0.849783,0.869825,0.856990,0.000000
luna,run2,coref_only,0.769231,0.230114,0.344994,0.264993,38.974407
luna,run2,full,0.900430,0.926662,0.910841,0.919587,0.000000
luna,run3,name_only,0.850106,0.862686,0.850907,0.856534,0.000000
luna,run3,coref_only,0.742564,0.258429,0.373680,0.294178,37.238257
luna,run3,full,0.849854,0.956650,0.897249,0.931044,0.000000
luna,average,name_only,0.862763,0.854049,0.852729,0.852052,0.000000
luna,average,coref_only,0.818691,0.251642,0.371699,0.288439,36.076631
luna,average,full,0.863197,0.937922,0.895301,0.919236,0.000000
