backend,run,linker_set,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2
terra,run1,full_name_only,mediastore,0.888889,0.774194,0.827586,0.794702
terra,run1,full_name_only,teastore,1.000000,0.777778,0.875000,0.813953
terra,run1,full_name_only,teammates,0.803279,0.859649,0.830508,0.847751
terra,run1,full_name_only,bigbluebutton,0.952381,0.645161,0.769231,0.689655
terra,run1,full_name_only,jabref,1.000000,1.000000,1.000000,1.000000
terra,run1,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
terra,run1,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
terra,run1,partial_name_only,teammates,1.000000,0.017544,0.034483,0.021834
terra,run1,partial_name_only,bigbluebutton,0.700000,0.225806,0.341463,0.261194
terra,run1,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
terra,run1,coref_only,mediastore,1.000000,0.096774,0.176471,0.118110
terra,run1,coref_only,teastore,1.000000,0.222222,0.363636,0.263158
terra,run1,coref_only,teammates,0.904762,0.333333,0.487179,0.381526
terra,run1,coref_only,bigbluebutton,1.000000,0.096774,0.176471,0.118110
terra,run1,coref_only,jabref,0.666667,0.111111,0.190476,0.133333
terra,run1,full,mediastore,0.900000,0.870968,0.885246,0.876623
terra,run1,full,teastore,1.000000,1.000000,1.000000,1.000000
terra,run1,full,teammates,0.794118,0.947368,0.864000,0.912162
terra,run1,full,bigbluebutton,0.875000,0.903226,0.888889,0.897436
terra,run1,full,jabref,0.947368,1.000000,0.972973,0.989011
terra,run2,full_name_only,mediastore,1.000000,0.903226,0.949153,0.921053
terra,run2,full_name_only,teastore,1.000000,0.777778,0.875000,0.813953
terra,run2,full_name_only,teammates,0.816667,0.859649,0.837607,0.850694
terra,run2,full_name_only,bigbluebutton,0.975610,0.645161,0.776699,0.692042
terra,run2,full_name_only,jabref,0.947368,1.000000,0.972973,0.989011
terra,run2,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
terra,run2,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
terra,run2,partial_name_only,teammates,1.000000,0.017544,0.034483,0.021834
terra,run2,partial_name_only,bigbluebutton,0.666667,0.225806,0.337349,0.260223
terra,run2,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
terra,run2,coref_only,mediastore,1.000000,0.096774,0.176471,0.118110
terra,run2,coref_only,teastore,1.000000,0.259259,0.411765,0.304348
terra,run2,coref_only,teammates,0.900000,0.157895,0.268657,0.189076
terra,run2,coref_only,bigbluebutton,1.000000,0.193548,0.324324,0.230769
terra,run2,coref_only,jabref,0.000000,0.000000,0.000000,0.000000
terra,run2,full,mediastore,1.000000,1.000000,1.000000,1.000000
terra,run2,full,teastore,1.000000,1.000000,1.000000,1.000000
terra,run2,full,teammates,0.818182,0.947368,0.878049,0.918367
terra,run2,full,bigbluebutton,0.875000,0.903226,0.888889,0.897436
terra,run2,full,jabref,0.900000,1.000000,0.947368,0.978261
terra,run3,full_name_only,mediastore,0.903226,0.903226,0.903226,0.903226
terra,run3,full_name_only,teastore,1.000000,0.777778,0.875000,0.813953
terra,run3,full_name_only,teammates,0.803279,0.859649,0.830508,0.847751
terra,run3,full_name_only,bigbluebutton,0.952381,0.645161,0.769231,0.689655
