backend,run,linker_set,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_file_f2_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_worst_component_f2_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_harmonic_component_f2_vs_full
terra,run1,Full,0.921203,0.708785,0.772623,0.728474,0.818790,0.767119,0.435262,0.403734,0.518882,0.505980,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run1,NameOnly,0.926817,0.655856,0.724845,0.676440,0.774615,0.709970,0.434600,0.402963,0.512729,0.494244,-0.047779,-0.052034,-0.000661,-0.000771,-0.006154,-0.011736
terra,run1,CorefOnly,0.765796,0.074223,0.131121,0.089763,0.159720,0.111689,0.000000,0.000000,0.000000,0.000000,-0.641502,-0.638710,-0.435262,-0.403734,-0.518882,-0.505980
terra,run2,Full,0.930977,0.701647,0.773371,0.724473,0.824209,0.769333,0.435262,0.403734,0.524527,0.507665,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run2,NameOnly,0.931899,0.647261,0.721679,0.669849,0.773911,0.708541,0.434600,0.402963,0.514534,0.493403,-0.051693,-0.054624,-0.000661,-0.000771,-0.009993,-0.014262
terra,run2,CorefOnly,0.780518,0.077654,0.135531,0.093618,0.127225,0.086973,0.000000,0.000000,0.000000,0.000000,-0.637841,-0.630855,-0.435262,-0.403734,-0.524527,-0.507665
terra,run3,Full,0.921342,0.710007,0.774206,0.729795,0.826996,0.776662,0.454309,0.423936,0.523112,0.511164,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run3,NameOnly,0.923721,0.650138,0.718372,0.670071,0.771937,0.709353,0.453648,0.423165,0.514534,0.498151,-0.055834,-0.059723,-0.000661,-0.000771,-0.008578,-0.013013
terra,run3,CorefOnly,0.972285,0.128989,0.221737,0.154781,0.214967,0.153263,0.000000,0.000000,0.000000,0.000000,-0.552470,-0.575014,-0.454309,-0.423936,-0.523112,-0.511164
terra,average,CorefOnly,0.839533,0.093622,0.162796,0.112721,0.167304,0.117308,0.000000,0.000000,0.000000,0.000000,-0.610604,-0.614860,-0.441611,-0.410468,-0.522174,-0.508270
terra,average,Full,0.924507,0.706813,0.773400,0.727581,0.823332,0.771038,0.441611,0.410468,0.522174,0.508270,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,average,NameOnly,0.927479,0.651085,0.721632,0.672120,0.773488,0.709288,0.440949,0.409697,0.513932,0.495266,-0.051769,-0.055460,-0.000661,-0.000771,-0.008242,-0.013004
