backend,run,variant,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
terra,run1,Full,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
terra,run1,NoNameValid,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
terra,run1,NoCitation,mediastore,0.930233,0.677966,0.784314,0.716846,0.851852,0.833333,0.000000,0.000000,0.000000,0.000000
terra,run1,NoValidator,mediastore,0.930233,0.677966,0.784314,0.716846,0.851852,0.833333,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,teastore,1.000000,0.478076,0.646890,0.533797,0.851064,0.781250,0.000000,0.000000,0.000000,0.000000
terra,run1,NoNameValid,teastore,1.000000,0.478076,0.646890,0.533797,0.851064,0.781250,0.000000,0.000000,0.000000,0.000000
terra,run1,NoCitation,teastore,0.981159,0.957567,0.969220,0.962194,0.896552,0.935252,0.909091,0.862069,0.967742,0.967742
terra,run1,NoValidator,teastore,0.981159,0.957567,0.969220,0.962194,0.896552,0.935252,0.909091,0.862069,0.967742,0.967742
terra,run1,Full,teammates,0.964410,0.716191,0.821970,0.755058,0.596273,0.485830,0.715990,0.611746,0.808772,0.756008
terra,run1,NoNameValid,teammates,0.700848,0.938619,0.802492,0.878979,0.657895,0.668449,0.210526,0.400000,0.567866,0.757271
terra,run1,NoCitation,teammates,0.468303,0.756330,0.578445,0.673485,0.629442,0.584906,0.474761,0.630714,0.681165,0.741748
terra,run1,NoValidator,teammates,0.441989,0.956033,0.604506,0.775620,0.645914,0.703390,0.210526,0.400000,0.510928,0.716808
terra,run1,Full,bigbluebutton,0.770737,0.875082,0.819602,0.852012,0.881579,0.861183,0.571429,0.454545,0.819198,0.787591
terra,run1,NoNameValid,bigbluebutton,0.551671,0.939176,0.695063,0.823489,0.825397,0.915493,0.333333,0.500000,0.684600,0.807628
terra,run1,NoCitation,bigbluebutton,0.636121,0.935252,0.757215,0.854854,0.784946,0.862884,0.666667,0.555556,0.791173,0.827190
terra,run1,NoValidator,bigbluebutton,0.483596,0.964029,0.644090,0.804234,0.724771,0.868132,0.333333,0.555556,0.654164,0.805498
terra,run1,Full,jabref,0.870866,1.000000,0.930976,0.971198,0.956522,0.982143,0.888889,0.952381,0.966443,0.986301
terra,run1,NoNameValid,jabref,0.869218,1.000000,0.930034,0.970787,0.936170,0.973451,0.800000,0.909091,0.929032,0.970350
terra,run1,NoCitation,jabref,0.869218,1.000000,0.930034,0.970787,0.936170,0.973451,0.800000,0.909091,0.929032,0.970350
terra,run1,NoValidator,jabref,0.869218,1.000000,0.930034,0.970787,0.936170,0.973451,0.800000,0.909091,0.929032,0.970350
terra,run2,Full,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
terra,run2,NoNameValid,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
terra,run2,NoCitation,mediastore,0.952381,0.677966,0.792079,0.719424,0.867925,0.839416,0.000000,0.000000,0.000000,0.000000
terra,run2,NoValidator,mediastore,0.952381,0.677966,0.792079,0.719424,0.867925,0.839416,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,teastore,1.000000,0.478076,0.646890,0.533797,0.851064,0.781250,0.000000,0.000000,0.000000,0.000000
terra,run2,NoNameValid,teastore,1.000000,0.478076,0.646890,0.533797,0.851064,0.781250,0.000000,0.000000,0.000000,0.000000
terra,run2,NoCitation,teastore,0.979233,0.867044,0.919730,0.887377,0.877193,0.905797,0.888889,0.833333,0.948617,0.937500
terra,run2,NoValidator,teastore,0.979233,0.867044,0.919730,0.887377,0.877193,0.905797,0.888889,0.833333,0.948617,0.937500
terra,run2,Full,teammates,0.962614,0.680499,0.797337,0.722869,0.596273,0.485830,0.715990,0.611746,0.806717,0.752748
terra,run2,NoNameValid,teammates,0.700848,0.938619,0.802492,0.878979,0.657895,0.668449,0.210526,0.400000,0.567866,0.757271
terra,run2,NoCitation,teammates,0.590187,0.771026,0.668594,0.726505,0.638298,0.575816,0.589116,0.666407,0.729538,0.775237
terra,run2,NoValidator,teammates,0.521986,0.954428,0.674876,0.818765,0.639344,0.675910,0.210526,0.400000,0.537605,0.737150
terra,run2,Full,bigbluebutton,0.797853,0.875082,0.834685,0.858463,0.887417,0.863402,0.571429,0.454545,0.836325,0.793843
terra,run2,NoNameValid,bigbluebutton,0.551671,0.939176,0.695063,0.823489,0.825397,0.915493,0.333333,0.500000,0.684600,0.807628
terra,run2,NoCitation,bigbluebutton,0.646182,0.935252,0.764297,0.858446,0.793478,0.866983,0.606061,0.555556,0.795017,0.828866
terra,run2,NoValidator,bigbluebutton,0.479818,0.964029,0.640730,0.802133,0.728111,0.870044,0.333333,0.555556,0.645716,0.800341
terra,run2,Full,jabref,0.894418,1.000000,0.944267,0.976935,0.977778,0.990991,0.888889,0.952381,0.979592,0.991736
terra,run2,NoNameValid,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
terra,run2,NoCitation,jabref,0.809002,1.000000,0.894418,0.954911,0.897959,0.956522,0.800000,0.909091,0.894410,0.954907
terra,run2,NoValidator,jabref,0.809002,1.000000,0.894418,0.954911,0.897959,0.956522,0.800000,0.909091,0.894410,0.954907
terra,run3,Full,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
terra,run3,NoNameValid,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
terra,run3,NoCitation,mediastore,0.977273,0.728814,0.834951,0.767857,0.905660,0.875912,0.000000,0.000000,0.000000,0.000000
terra,run3,NoValidator,mediastore,0.977273,0.728814,0.834951,0.767857,0.905660,0.875912,0.000000,0.000000,0.000000,0.000000
