backend,run,linker,tps_caught,unique_tps,fps,delta_f1_if_removed
terra,run1,Name,141,132,8,+0.673302
terra,run1,Coref,22,13,2,+0.043547
terra,run1,overlap:only_name,132,,,
terra,run1,overlap:only_coref,13,,,
terra,run1,overlap:shared,9,,,
terra,run2,Name,144,140,8,+0.718267
terra,run2,Coref,18,14,1,+0.050381
terra,run2,overlap:only_name,140,,,
terra,run2,overlap:only_coref,14,,,
terra,run2,overlap:shared,4,,,
terra,run3,Name,145,132,10,+0.634838
terra,run3,Coref,28,15,2,+0.053391
terra,run3,overlap:only_name,132,,,
terra,run3,overlap:only_coref,15,,,
terra,run3,overlap:shared,13,,,
terra,average,Name,143.33,134.67,8.67,+0.675469
terra,average,Coref,22.67,14,1.67,+0.049107
terra,average,overlap:only_name,134.67,,,
terra,average,overlap:only_coref,14,,,
terra,average,overlap:shared,8.67,,,
