backend,run,linker_set,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2,doc_to_model_component_miss_rate
terra,run1,name_only,mediastore,1.000000,0.548387,0.708333,0.602837,35.483871
terra,run1,name_only,teastore,1.000000,0.555556,0.714286,0.609756,18.518519
terra,run1,name_only,teammates,0.936170,0.771930,0.846154,0.800000,0.000000
terra,run1,name_only,bigbluebutton,0.921569,0.758065,0.831858,0.785953,0.000000
terra,run1,name_only,jabref,0.947368,1.000000,0.972973,0.989011,0.000000
terra,run1,coref_only,mediastore,1.000000,0.064516,0.121212,0.079365,70.967742
terra,run1,coref_only,teastore,1.000000,0.259259,0.411765,0.304348,25.925926
terra,run1,coref_only,teammates,0.875000,0.122807,0.215385,0.148305,24.561404
terra,run1,coref_only,bigbluebutton,1.000000,0.096774,0.176471,0.118110,50.000000
terra,run1,coref_only,jabref,0.000000,0.000000,0.000000,0.000000,100.000000
terra,run1,full,mediastore,1.000000,0.612903,0.760000,0.664336,35.483871
terra,run1,full,teastore,1.000000,0.740741,0.851064,0.781250,18.518519
terra,run1,full,teammates,0.923077,0.842105,0.880734,0.857143,0.000000
terra,run1,full,bigbluebutton,0.924528,0.790323,0.852174,0.813953,0.000000
terra,run1,full,jabref,0.900000,1.000000,0.947368,0.978261,0.000000
terra,run2,name_only,mediastore,1.000000,0.548387,0.708333,0.602837,35.483871
terra,run2,name_only,teastore,1.000000,0.555556,0.714286,0.609756,18.518519
terra,run2,name_only,teammates,0.918367,0.789474,0.849057,0.812274,0.000000
terra,run2,name_only,bigbluebutton,0.942308,0.790323,0.859649,0.816667,0.000000
terra,run2,name_only,jabref,0.947368,1.000000,0.972973,0.989011,0.000000
terra,run2,coref_only,mediastore,1.000000,0.064516,0.121212,0.079365,70.967742
terra,run2,coref_only,teastore,1.000000,0.185185,0.312500,0.221239,44.444444
terra,run2,coref_only,teammates,0.900000,0.157895,0.268657,0.189076,24.561404
terra,run2,coref_only,bigbluebutton,1.000000,0.032258,0.062500,0.040000,85.483871
terra,run2,coref_only,jabref,0.000000,0.000000,0.000000,0.000000,100.000000
terra,run2,full,mediastore,1.000000,0.612903,0.760000,0.664336,35.483871
terra,run2,full,teastore,1.000000,0.740741,0.851064,0.781250,18.518519
terra,run2,full,teammates,0.909091,0.877193,0.892857,0.883392,0.000000
terra,run2,full,bigbluebutton,0.944444,0.822581,0.879310,0.844371,0.000000
terra,run2,full,jabref,0.947368,1.000000,0.972973,0.989011,0.000000
terra,run3,name_only,mediastore,1.000000,0.548387,0.708333,0.602837,35.483871
terra,run3,name_only,teastore,1.000000,0.555556,0.714286,0.609756,18.518519
terra,run3,name_only,teammates,0.918367,0.789474,0.849057,0.812274,0.000000
terra,run3,name_only,bigbluebutton,0.909091,0.806452,0.854701,0.825083,0.000000
terra,run3,name_only,jabref,0.947368,1.000000,0.972973,0.989011,0.000000
terra,run3,coref_only,mediastore,1.000000,0.064516,0.121212,0.079365,70.967742
terra,run3,coref_only,teastore,1.000000,0.333333,0.500000,0.384615,25.925926
terra,run3,coref_only,teammates,0.777778,0.122807,0.212121,0.147679,24.561404
terra,run3,coref_only,bigbluebutton,1.000000,0.145161,0.253521,0.175097,38.709677
terra,run3,coref_only,jabref,1.000000,0.055556,0.105263,0.068493,77.777778
terra,run3,full,mediastore,1.000000,0.612903,0.760000,0.664336,35.483871
terra,run3,full,teastore,1.000000,0.777778,0.875000,0.813953,18.518519
terra,run3,full,teammates,0.890909,0.859649,0.875000,0.865724,0.000000
terra,run3,full,bigbluebutton,0.913793,0.854839,0.883333,0.866013,0.000000
terra,run3,full,jabref,0.947368,1.000000,0.972973,0.989011,0.000000
terra,average,name_only,mediastore,1.000000,0.548387,0.708333,0.602837,35.483871
terra,average,name_only,teastore,1.000000,0.555556,0.714286,0.609756,18.518519
terra,average,name_only,teammates,0.924302,0.783626,0.848089,0.808183,0.000000
terra,average,name_only,bigbluebutton,0.924322,0.784946,0.848736,0.809234,0.000000
terra,average,name_only,jabref,0.947368,1.000000,0.972973,0.989011,0.000000
terra,average,coref_only,mediastore,1.000000,0.064516,0.121212,0.079365,70.967742
terra,average,coref_only,teastore,1.000000,0.259259,0.408088,0.303401,32.098765
terra,average,coref_only,teammates,0.850926,0.134503,0.232054,0.161687,24.561404
terra,average,coref_only,bigbluebutton,1.000000,0.091398,0.164164,0.111069,58.064516
terra,average,coref_only,jabref,0.333333,0.018519,0.035088,0.022831,92.592593
terra,average,full,mediastore,1.000000,0.612903,0.760000,0.664336,35.483871
terra,average,full,teastore,1.000000,0.753086,0.859043,0.792151,18.518519
terra,average,full,teammates,0.907692,0.859649,0.882864,0.868753,0.000000
terra,average,full,bigbluebutton,0.927589,0.822581,0.871606,0.841446,0.000000
terra,average,full,jabref,0.931579,1.000000,0.964438,0.985428,0.000000
