run,project,tp,fp,fn,f1,f2,canonical
run1,mediastore,19,0,12,0.760000,0.664336,
run1,teastore,20,0,7,0.851064,0.781250,
run1,teammates,48,4,9,0.880734,0.857143,
run1,bigbluebutton,49,4,13,0.852174,0.813953,
run1,jabref,18,2,0,0.947368,0.978261,
run1,MACRO,,,,0.858268,0.818989,
run2,mediastore,19,0,12,0.760000,0.664336,yes
run2,teastore,20,0,7,0.851064,0.781250,yes
run2,teammates,50,5,7,0.892857,0.883392,yes
run2,bigbluebutton,51,3,11,0.879310,0.844371,yes
run2,jabref,18,1,0,0.972973,0.989011,yes
run2,MACRO,,,,0.871241,0.832472,yes
run3,mediastore,19,0,12,0.760000,0.664336,
run3,teastore,21,0,6,0.875000,0.813953,
run3,teammates,49,6,8,0.875000,0.865724,
run3,bigbluebutton,53,5,9,0.883333,0.866013,
run3,jabref,18,1,0,0.972973,0.989011,
run3,MACRO,,,,0.873261,0.839808,
