backend,run,linker_set,macro_precision,macro_recall,macro_f1,macro_f2,component_miss_rate
luna,run1,name_only,0.929576,0.734547,0.800929,0.756488,10.800478
luna,run1,coref_only,0.785714,0.124587,0.210686,0.148859,54.141986
luna,run1,full,0.929071,0.773464,0.828665,0.791736,10.800478
luna,run2,name_only,0.916667,0.738729,0.793358,0.754694,10.800478
luna,run2,coref_only,0.777778,0.143124,0.234483,0.169320,46.680501
luna,run2,full,0.918452,0.808873,0.841877,0.817426,10.800478
luna,run3,name_only,0.937154,0.727812,0.799661,0.751648,10.800478
luna,run3,coref_only,1.000000,0.172169,0.278383,0.202814,47.216249
luna,run3,full,0.940816,0.802421,0.852542,0.819089,10.800478
luna,average,name_only,0.927799,0.733696,0.797983,0.754277,10.800478
luna,average,coref_only,0.854497,0.146626,0.241184,0.173664,49.346245
luna,average,full,0.929446,0.794919,0.841028,0.809417,10.800478
