backend,run,linker_set,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2
terra,run1,full_name_only,mediastore,0.892857,0.806452,0.847458,0.822368
terra,run1,full_name_only,teastore,1.000000,0.740741,0.851064,0.781250
terra,run1,full_name_only,teammates,0.937500,0.789474,0.857143,0.815217
terra,run1,full_name_only,bigbluebutton,0.952381,0.645161,0.769231,0.689655
terra,run1,full_name_only,jabref,0.947368,1.000000,0.972973,0.989011
terra,run1,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
terra,run1,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
terra,run1,partial_name_only,teammates,0.000000,0.000000,0.000000,0.000000
terra,run1,partial_name_only,bigbluebutton,0.666667,0.290323,0.404494,0.327273
terra,run1,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
terra,run1,coref_only,mediastore,1.000000,0.096774,0.176471,0.118110
terra,run1,coref_only,teastore,1.000000,0.259259,0.411765,0.304348
terra,run1,coref_only,teammates,0.700000,0.122807,0.208955,0.147059
terra,run1,coref_only,bigbluebutton,1.000000,0.096774,0.176471,0.118110
terra,run1,coref_only,jabref,1.000000,0.055556,0.105263,0.068493
terra,run1,full,mediastore,0.903226,0.903226,0.903226,0.903226
terra,run1,full,teastore,1.000000,1.000000,1.000000,1.000000
terra,run1,full,teammates,0.680556,0.859649,0.759690,0.816667
terra,run1,full,bigbluebutton,0.845070,0.967742,0.902256,0.940439
terra,run1,full,jabref,0.947368,1.000000,0.972973,0.989011
terra,run2,full_name_only,mediastore,0.892857,0.806452,0.847458,0.822368
terra,run2,full_name_only,teastore,1.000000,0.740741,0.851064,0.781250
terra,run2,full_name_only,teammates,0.851852,0.807018,0.828829,0.815603
terra,run2,full_name_only,bigbluebutton,0.952381,0.645161,0.769231,0.689655
terra,run2,full_name_only,jabref,0.947368,1.000000,0.972973,0.989011
terra,run2,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
terra,run2,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
terra,run2,partial_name_only,teammates,1.000000,0.052632,0.100000,0.064935
terra,run2,partial_name_only,bigbluebutton,0.578947,0.177419,0.271605,0.205993
terra,run2,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
terra,run2,coref_only,mediastore,1.000000,0.096774,0.176471,0.118110
terra,run2,coref_only,teastore,1.000000,0.259259,0.411765,0.304348
terra,run2,coref_only,teammates,0.727273,0.140351,0.235294,0.167364
terra,run2,coref_only,bigbluebutton,0.833333,0.080645,0.147059,0.098425
terra,run2,coref_only,jabref,1.000000,0.166667,0.285714,0.200000
terra,run2,full,mediastore,0.903226,0.903226,0.903226,0.903226
terra,run2,full,teastore,1.000000,1.000000,1.000000,1.000000
terra,run2,full,teammates,0.828125,0.929825,0.876033,0.907534
terra,run2,full,bigbluebutton,0.830769,0.870968,0.850394,0.862620
terra,run2,full,jabref,0.947368,1.000000,0.972973,0.989011
terra,run3,full_name_only,mediastore,0.892857,0.806452,0.847458,0.822368
terra,run3,full_name_only,teastore,1.000000,0.777778,0.875000,0.813953
terra,run3,full_name_only,teammates,0.937500,0.789474,0.857143,0.815217
terra,run3,full_name_only,bigbluebutton,0.902439,0.596774,0.718447,0.640138
terra,run3,full_name_only,jabref,0.947368,1.000000,0.972973,0.989011
terra,run3,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
terra,run3,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
terra,run3,partial_name_only,teammates,0.000000,0.000000,0.000000,0.000000
terra,run3,partial_name_only,bigbluebutton,0.680000,0.274194,0.390805,0.311355
terra,run3,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
terra,run3,coref_only,mediastore,1.000000,0.096774,0.176471,0.118110
terra,run3,coref_only,teastore,1.000000,0.370370,0.540541,0.423729
terra,run3,coref_only,teammates,0.944444,0.298246,0.453333,0.345528
terra,run3,coref_only,bigbluebutton,1.000000,0.064516,0.121212,0.079365
terra,run3,coref_only,jabref,1.000000,0.166667,0.285714,0.200000
terra,run3,full,mediastore,0.903226,0.903226,0.903226,0.903226
terra,run3,full,teastore,1.000000,1.000000,1.000000,1.000000
terra,run3,full,teammates,0.753623,0.912281,0.825397,0.875421
terra,run3,full,bigbluebutton,0.823529,0.903226,0.861538,0.886076
