backend,run,linker_set,macro_f1,macro_f2
terra,run1,full_name_only,0.779012,0.710046
terra,run1,partial_name_only,0.073913,0.061151
terra,run1,coref_only,0.301055,0.220811
terra,run1,full,0.867407,0.843788
terra,run2,full_name_only,0.783932,0.716210
terra,run2,partial_name_only,0.081633,0.070423
terra,run2,coref_only,0.276867,0.203120
terra,run2,full,0.847488,0.844264
terra,run3,full_name_only,0.775053,0.703991
terra,run3,partial_name_only,0.076596,0.064286
terra,run3,coref_only,0.287285,0.209210
terra,run3,full,0.839274,0.818423
terra,average,full_name_only,0.779332,0.710082
terra,average,partial_name_only,0.077380,0.065286
terra,average,coref_only,0.288403,0.211047
terra,average,full,0.851390,0.835492
