run,project,tp,fp,fn,f1,f2,canonical
run1,mediastore,20,0,11,0.784314,0.694444,
run1,teastore,21,1,6,0.857143,0.807692,
run1,teammates,50,4,7,0.900901,0.886525,
run1,bigbluebutton,53,14,9,0.821705,0.841270,
run1,jabref,18,1,0,0.972973,0.989011,
run1,MACRO,,,,0.867407,0.843788,
run2,mediastore,20,0,11,0.784314,0.694444,yes
run2,teastore,21,0,6,0.875000,0.813953,yes
run2,teammates,51,25,6,0.766917,0.838816,yes
run2,bigbluebutton,57,17,5,0.838235,0.885093,yes
run2,jabref,18,1,0,0.972973,0.989011,yes
run2,MACRO,,,,0.847488,0.844264,yes
run3,mediastore,20,0,11,0.784314,0.694444,
run3,teastore,19,0,8,0.826087,0.748031,
run3,teammates,46,15,11,0.779661,0.795848,
run3,bigbluebutton,55,15,7,0.833333,0.864780,
run3,jabref,18,1,0,0.972973,0.989011,
run3,MACRO,,,,0.839274,0.818423,
