backend,run,linker_set,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2
luna,run1,full_name_only,mediastore,1.000000,0.548387,0.708333,0.602837
luna,run1,full_name_only,teastore,1.000000,0.555556,0.714286,0.609756
luna,run1,full_name_only,teammates,0.742424,0.859649,0.796748,0.833333
luna,run1,full_name_only,bigbluebutton,0.971429,0.548387,0.701031,0.600707
luna,run1,full_name_only,jabref,0.900000,1.000000,0.947368,0.978261
luna,run1,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
luna,run1,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
luna,run1,partial_name_only,teammates,0.200000,0.052632,0.083333,0.061728
luna,run1,partial_name_only,bigbluebutton,0.526316,0.322581,0.400000,0.349650
luna,run1,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,run1,coref_only,mediastore,1.000000,0.322581,0.487805,0.373134
luna,run1,coref_only,teastore,0.818182,0.333333,0.473684,0.378151
luna,run1,coref_only,teammates,0.833333,0.263158,0.400000,0.304878
luna,run1,coref_only,bigbluebutton,0.933333,0.225806,0.363636,0.266160
luna,run1,coref_only,jabref,1.000000,0.111111,0.200000,0.135135
luna,run1,full,mediastore,1.000000,0.612903,0.760000,0.664336
luna,run1,full,teastore,0.916667,0.814815,0.862745,0.833333
luna,run1,full,teammates,0.655172,1.000000,0.791667,0.904762
luna,run1,full,bigbluebutton,0.740260,0.919355,0.820144,0.876923
luna,run1,full,jabref,0.900000,1.000000,0.947368,0.978261
luna,run2,full_name_only,mediastore,1.000000,0.548387,0.708333,0.602837
luna,run2,full_name_only,teastore,1.000000,0.555556,0.714286,0.609756
luna,run2,full_name_only,teammates,0.765625,0.859649,0.809917,0.839041
luna,run2,full_name_only,bigbluebutton,0.971429,0.548387,0.701031,0.600707
luna,run2,full_name_only,jabref,0.900000,1.000000,0.947368,0.978261
luna,run2,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
luna,run2,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
luna,run2,partial_name_only,teammates,0.200000,0.052632,0.083333,0.061728
luna,run2,partial_name_only,bigbluebutton,0.550000,0.354839,0.431373,0.381944
luna,run2,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,run2,coref_only,mediastore,1.000000,0.451613,0.622222,0.507246
luna,run2,coref_only,teastore,0.750000,0.444444,0.558140,0.483871
luna,run2,coref_only,teammates,0.863636,0.333333,0.481013,0.380000
luna,run2,coref_only,bigbluebutton,0.826087,0.306452,0.447059,0.350554
luna,run2,coref_only,jabref,1.000000,0.055556,0.105263,0.068493
luna,run2,full,mediastore,1.000000,0.645161,0.784314,0.694444
luna,run2,full,teastore,0.851852,0.851852,0.851852,0.851852
luna,run2,full,teammates,0.662791,1.000000,0.797203,0.907643
luna,run2,full,bigbluebutton,0.722892,0.967742,0.827586,0.906344
luna,run2,full,jabref,0.900000,1.000000,0.947368,0.978261
luna,run3,full_name_only,mediastore,1.000000,0.548387,0.708333,0.602837
luna,run3,full_name_only,teastore,1.000000,0.555556,0.714286,0.609756
luna,run3,full_name_only,teammates,0.770492,0.824561,0.796610,0.813149
luna,run3,full_name_only,bigbluebutton,0.971429,0.548387,0.701031,0.600707
luna,run3,full_name_only,jabref,0.900000,1.000000,0.947368,0.978261
luna,run3,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
luna,run3,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
luna,run3,partial_name_only,teammates,0.200000,0.052632,0.083333,0.061728
luna,run3,partial_name_only,bigbluebutton,0.552632,0.338710,0.420000,0.367133
luna,run3,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,run3,coref_only,mediastore,1.000000,0.483871,0.652174,0.539568
luna,run3,coref_only,teastore,0.916667,0.407407,0.564103,0.458333
luna,run3,coref_only,teammates,0.789474,0.263158,0.394737,0.303644
luna,run3,coref_only,bigbluebutton,0.760000,0.306452,0.436782,0.347985
luna,run3,coref_only,jabref,1.000000,0.111111,0.200000,0.135135
luna,run3,full,mediastore,1.000000,0.741935,0.851852,0.782313
luna,run3,full,teastore,0.956522,0.814815,0.880000,0.839695
luna,run3,full,teammates,0.662651,0.964912,0.785714,0.884244
luna,run3,full,bigbluebutton,0.710843,0.951613,0.813793,0.891239
luna,run3,full,jabref,0.900000,1.000000,0.947368,0.978261
luna,average,full_name_only,mediastore,1.000000,0.548387,0.708333,0.602837
luna,average,full_name_only,teastore,1.000000,0.555556,0.714286,0.609756
luna,average,full_name_only,teammates,0.759514,0.847953,0.801092,0.828508
luna,average,full_name_only,bigbluebutton,0.971429,0.548387,0.701031,0.600707
luna,average,full_name_only,jabref,0.900000,1.000000,0.947368,0.978261
luna,average,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
luna,average,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
luna,average,partial_name_only,teammates,0.200000,0.052632,0.083333,0.061728
luna,average,partial_name_only,bigbluebutton,0.542982,0.338710,0.417124,0.366243
luna,average,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,average,coref_only,mediastore,1.000000,0.419355,0.587400,0.473316
luna,average,coref_only,teastore,0.828283,0.395062,0.531975,0.440119
luna,average,coref_only,teammates,0.828814,0.286550,0.425250,0.329507
luna,average,coref_only,bigbluebutton,0.839807,0.279570,0.415826,0.321566
luna,average,coref_only,jabref,1.000000,0.092593,0.168421,0.112921
luna,average,full,mediastore,1.000000,0.666667,0.798722,0.713698
luna,average,full,teastore,0.908347,0.827160,0.864866,0.841627
luna,average,full,teammates,0.660205,0.988304,0.791528,0.898883
luna,average,full,bigbluebutton,0.724665,0.946237,0.820508,0.891502
luna,average,full,jabref,0.900000,1.000000,0.947368,0.978261
