system,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2,doc_to_model_component_miss_rate,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
approach (GPT-5.6-terra),mediastore,0.9032,0.9032,0.9032,0.9032,9.6774,0.8525,0.8814,0.8667,0.8754,0.9492,0.9790,0.7241,0.7394,0.9594,0.9623
approach (GPT-5.6-terra),teastore,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
approach (GPT-5.6-terra),teammates,0.7541,0.9006,0.8204,0.8665,0.0000,0.8983,0.7691,0.8278,0.7913,0.6076,0.5179,0.5387,0.6117,0.7631,0.7666
approach (GPT-5.6-terra),bigbluebutton,0.8331,0.9140,0.8714,0.8964,0.0000,0.7905,0.9233,0.8517,0.8932,0.9065,0.9390,0.5714,0.4545,0.8088,0.8394
approach (GPT-5.6-terra),jabref,0.9474,1.0000,0.9730,0.9890,0.0000,0.9973,1.0000,0.9987,0.9995,0.9778,0.9910,0.8000,0.9091,0.9600,0.9836
approach (GPT-5.6-terra),Average,0.8876,0.9436,0.9136,0.9310,1.9355,0.9077,0.9147,0.9090,0.9119,0.8882,0.8854,0.7268,0.7430,0.8983,0.9104
approach (GPT-5.6-luna),mediastore,0.9109,0.9892,0.9484,0.9725,0.0000,0.8516,0.8757,0.8635,0.8708,0.9431,0.9696,0.7241,0.7394,0.9538,0.9534
approach (GPT-5.6-luna),teastore,0.9413,0.9877,0.9639,0.9780,0.0000,0.9952,0.9859,0.9904,0.9877,0.9639,0.9780,0.9697,0.9540,0.9945,0.9913
approach (GPT-5.6-luna),teammates,0.6118,0.9825,0.7513,0.8736,0.0000,0.7408,0.8814,0.8035,0.8480,0.7123,0.6468,0.6939,0.6920,0.7960,0.8469
approach (GPT-5.6-luna),bigbluebutton,0.6714,0.9247,0.7769,0.8589,0.0000,0.6846,0.9326,0.7893,0.8694,0.8164,0.8820,0.4905,0.6535,0.7530,0.8470
approach (GPT-5.6-luna),jabref,0.9158,1.0000,0.9559,0.9818,0.0000,0.9276,1.0000,0.9618,0.9842,0.9636,0.9851,0.8000,0.9091,0.9475,0.9783
approach (GPT-5.6-luna),Average,0.8102,0.9768,0.8793,0.9330,0.0000,0.8400,0.9351,0.8817,0.9120,0.8799,0.8923,0.7357,0.7896,0.8890,0.9234
Artemis (GPT-5.6-terra),mediastore,0.9024,0.9677,0.9333,0.9535,0.0000,0.9236,0.9322,0.9274,0.9302,0.9476,0.9575,0.7521,0.8497,0.9564,0.9713
Artemis (GPT-5.6-terra),teastore,0.5725,0.9753,0.7214,0.8549,0.0000,0.5753,0.9821,0.7255,0.8604,0.7214,0.8549,0.4286,0.6522,0.6663,0.8240
Artemis (GPT-5.6-terra),teammates,0.9205,0.6433,0.7554,0.6836,11.6959,0.9260,0.6097,0.7309,0.6524,0.5069,0.3957,0.4057,0.3285,0.4953,0.4375
Artemis (GPT-5.6-terra),bigbluebutton,0.8031,0.6989,0.7474,0.7175,1.0753,0.7020,0.8483,0.7641,0.8112,0.8261,0.8034,0.2222,0.1852,0.4451,0.4457
Artemis (GPT-5.6-terra),jabref,0.8275,0.9630,0.8892,0.9317,3.7037,0.8494,0.9985,0.9158,0.9631,0.8959,0.9385,0.5333,0.6061,0.6103,0.6427
Artemis (GPT-5.6-terra),Average,0.8052,0.8496,0.8093,0.8282,3.2950,0.7953,0.8742,0.8127,0.8435,0.7796,0.7900,0.4684,0.5243,0.6347,0.6642
