system,run,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2,doc_to_model_sentence_coverage,doc_to_model_noise_rate,doc_to_model_silent_failure_mass,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
approach (GPT-5.6-terra),run1,0.8752,0.9461,0.9076,0.9299,0.9546,0.1169,1.9355,0.9141,0.9143,0.9114,0.9125,0.8842,0.7057,0.8642,0.8802,0.1210
approach (GPT-5.6-terra),run2,0.9019,0.9408,0.9205,0.9325,0.9594,0.0850,1.9355,0.8891,0.9141,0.9002,0.9082,0.8921,0.7057,0.8780,0.8801,0.1033
approach (GPT-5.6-terra),run3,0.8855,0.9437,0.9126,0.9307,0.9555,0.1095,1.9355,0.9200,0.9158,0.9153,0.9150,0.8884,0.7057,0.8697,0.8823,0.1045
approach (GPT-5.6-terra),average,0.8876,0.9436,0.9136,0.9310,0.9565,0.1038,1.9355,0.9077,0.9147,0.9090,0.9119,0.8882,0.7057,0.8706,0.8809,0.1096
approach (GPT-5.6-luna),run1,0.7937,0.9826,0.8682,0.9298,0.9827,0.2064,0.0000,0.8433,0.9396,0.8837,0.9149,0.8822,0.6865,0.8746,0.9173,0.1761
approach (GPT-5.6-luna),run2,0.7930,0.9672,0.8652,0.9213,0.9828,0.2036,0.0000,0.8296,0.9420,0.8796,0.9152,0.8812,0.7390,0.8854,0.9172,0.1806
approach (GPT-5.6-luna),run3,0.8440,0.9806,0.9045,0.9478,0.9843,0.1498,0.0000,0.8471,0.9237,0.8817,0.9058,0.8762,0.6914,0.8616,0.8875,0.1514
approach (GPT-5.6-luna),average,0.8102,0.9768,0.8793,0.9330,0.9832,0.1866,0.0000,0.8400,0.9351,0.8817,0.9120,0.8799,0.7056,0.8739,0.9073,0.1694
Artemis (GPT-5.4),single,0.9297,0.7631,0.8355,0.7900,0.7882,0.0718,4.6218,0.9412,0.7779,0.8488,0.8043,0.8090,0.3455,0.4656,0.7091,0.0598
TransArC,single,0.8695,0.7717,0.7990,0.7783,0.7890,0.1374,7.0968,0.8855,0.7753,0.8026,0.7823,0.8189,0.5445,0.6734,0.7511,0.1303
