project,task,approach_p,approach_r,approach_f1,approach_f2,approach_p_sd,approach_r_sd,Artemis_p,Artemis_r,Artemis_f1,Artemis_f2,Artemis_p_sd,Artemis_r_sd,pipeline_p,pipeline_r,pipeline_f1,pipeline_f2,pipeline_p_sd,pipeline_r_sd
mediastore,DM,0.9118,1.0000,0.9538,0.9810,0.000000,0.000000,0.9024,0.9677,0.9333,0.9535,0.057964,0.000000,0.9444,0.5484,0.6939,0.5986,,
mediastore,DC,0.8525,0.8814,0.8667,0.8754,0.000000,0.000000,0.9236,0.9322,0.9274,0.9302,0.051196,0.000000,0.9615,0.4237,0.5882,0.4771,,
teastore,DM,1.0000,1.0000,1.0000,1.0000,0.000000,0.000000,0.5725,0.9753,0.7214,0.8549,0.006510,0.021383,1.0000,0.7407,0.8511,0.7812,,
teastore,DC,1.0000,1.0000,1.0000,1.0000,0.000000,0.000000,0.5753,0.9821,0.7255,0.8604,0.004717,0.015516,1.0000,0.7086,0.8295,0.7525,,
teammates,DM,0.8051,0.9415,0.8679,0.9106,0.012166,0.010129,0.9205,0.6433,0.7554,0.6836,0.069760,0.061612,0.6049,0.8596,0.7101,0.7929,,
teammates,DC,0.7984,0.7440,0.7702,0.7543,0.002600,0.002351,0.9260,0.6097,0.7309,0.6524,0.090346,0.061032,0.7531,0.9024,0.8211,0.8680,,
bigbluebutton,DM,0.8743,0.8978,0.8859,0.8930,0.001146,0.009312,0.8031,0.6989,0.7474,0.7175,0.075319,0.056643,0.8980,0.7097,0.7928,0.7407,,
bigbluebutton,DC,0.6798,0.9252,0.7837,0.8629,0.002239,0.008307,0.7020,0.8483,0.7641,0.8112,0.115762,0.017341,0.8203,0.8417,0.8309,0.8373,,
jabref,DM,0.9491,1.0000,0.9734,0.9891,0.050023,0.000000,0.8275,0.9630,0.8892,0.9317,0.063355,0.064150,0.9000,1.0000,0.9474,0.9783,,
jabref,DC,0.9469,1.0000,0.9719,0.9883,0.067425,0.000000,0.8494,0.9985,0.9158,0.9631,0.102853,0.002514,0.8927,1.0000,0.9433,0.9765,,
Average,DM,0.9081,0.9679,0.9362,0.9548,0.008547,0.003888,0.8052,0.8496,0.8093,0.8282,0.015760,0.024826,0.8695,0.7717,0.7990,0.7783,,
Average,DC,0.8555,0.9101,0.8785,0.8962,0.013499,0.002070,0.7953,0.8742,0.8127,0.8435,0.008236,0.007458,0.8855,0.7753,0.8026,0.7823,,
