backend,run,judge,rej_fp,rej_tp,keep_tp,keep_fp,dm_p,dm_r,dm_f1,dm_f2,cmr,dc_p,dc_r,dc_f1,dc_f2,dc_worst_f1,dc_worst_f2,dc_harm_f1,dc_harm_f2
terra,run1,full_on,143,9,186,26,0.905650,0.970119,0.935942,0.955924,0.000000,0.860073,0.911565,0.881766,0.898427,0.761530,0.774896,0.913086,0.916898
terra,run1,name,99,9,171,23,0.744186,1.000000,0.838367,0.921240,0.000000,0.761921,0.955804,0.840582,0.903468,0.563600,0.697287,0.818738,0.898554
terra,run1,coref,53,1,36,3,0.756038,0.973628,0.849064,0.918873,0.000000,0.759971,0.919108,0.827682,0.878778,0.632871,0.746702,0.841110,0.889440
terra,run1,no_judge,0,0,195,164,0.665759,1.000000,0.784927,0.893433,0.000000,0.706362,0.959987,0.803601,0.886496,0.498772,0.674400,0.767666,0.873990
terra,run2,full_on,147,9,186,25,0.900989,0.970119,0.933630,0.955015,0.000000,0.840303,0.911046,0.870584,0.893356,0.754692,0.771824,0.908648,0.914803
terra,run2,name,99,9,171,23,0.744186,1.000000,0.838367,0.921240,0.000000,0.761921,0.955804,0.840582,0.903468,0.563600,0.697287,0.818738,0.898554
terra,run2,coref,55,1,31,2,0.766294,0.973628,0.853768,0.920468,0.000000,0.764284,0.919108,0.828974,0.878909,0.676778,0.770477,0.865812,0.900614
terra,run2,no_judge,0,0,195,169,0.672655,1.000000,0.786600,0.892877,0.000000,0.716073,0.959987,0.806881,0.886804,0.552105,0.697287,0.788472,0.882765
terra,run3,full_on,143,11,184,24,0.917562,0.963384,0.939127,0.953324,0.000000,0.866111,0.907749,0.883151,0.896786,0.776915,0.781348,0.909767,0.908819
terra,run3,name,99,11,169,23,0.752758,1.000000,0.843225,0.923344,0.000000,0.766614,0.955804,0.843235,0.904615,0.563600,0.697287,0.821167,0.899606
terra,run3,coref,51,2,36,1,0.769931,0.970402,0.856189,0.920369,0.000000,0.782604,0.916230,0.838522,0.881577,0.681904,0.760558,0.857673,0.894105
terra,run3,no_judge,0,0,195,165,0.671119,1.000000,0.787403,0.894266,0.000000,0.713098,0.959987,0.805835,0.886656,0.552105,0.697287,0.784763,0.881184
terra,average,full_on,144.33,9.67,185.33,25,0.908067,0.967874,0.936233,0.954754,0.000000,0.855496,0.910120,0.878500,0.896190,0.764379,0.776023,0.910500,0.913507
terra,average,name,99,9.67,170.33,23,0.747043,1.000000,0.839986,0.921941,0.000000,0.763485,0.955804,0.841466,0.903850,0.563600,0.697287,0.819548,0.898905
terra,average,coref,53,1.33,34.33,2,0.764088,0.972552,0.853007,0.919904,0.000000,0.768953,0.918149,0.831726,0.879755,0.663851,0.759246,0.854865,0.894720
terra,average,no_judge,0,0,195,166,0.669844,1.000000,0.786310,0.893525,0.000000,0.711844,0.959987,0.805439,0.886652,0.534327,0.689658,0.780300,0.879313
luna,run1,full_on,192,17,177,52,0.839306,0.930453,0.877812,0.907076,0.000000,0.852601,0.883797,0.866504,0.876422,0.632727,0.688589,0.858831,0.882068
luna,run1,name,73,16,163,49,0.738520,0.989084,0.830952,0.912280,0.000000,0.760215,0.946329,0.835249,0.895660,0.554776,0.692245,0.812606,0.888626
luna,run1,coref,135,5,55,5,0.624361,0.951047,0.739281,0.844997,0.000000,0.633495,0.908137,0.735611,0.825850,0.544109,0.688652,0.750207,0.843695
luna,run1,no_judge,0,0,194,233,0.587569,0.996491,0.721192,0.852910,0.000000,0.600015,0.955961,0.724694,0.841862,0.495897,0.675037,0.714875,0.839509
luna,run2,full_on,198,19,176,29,0.900430,0.926662,0.910841,0.919587,0.000000,0.880933,0.893511,0.885939,0.890141,0.746061,0.735370,0.903604,0.901425
luna,run2,name,95,18,162,27,0.746306,0.992593,0.836328,0.916149,0.000000,0.765292,0.950405,0.839592,0.899781,0.563600,0.693230,0.818720,0.895390
luna,run2,coref,119,10,45,2,0.672404,0.967459,0.781158,0.876810,0.000000,0.656204,0.919727,0.758717,0.844953,0.572427,0.703274,0.775935,0.856533
luna,run2,no_judge,0,0,195,222,0.606137,1.000000,0.736483,0.863229,0.000000,0.604965,0.960061,0.729117,0.845907,0.496977,0.676605,0.719641,0.845214
luna,run3,full_on,196,12,183,45,0.849854,0.956650,0.897249,0.931044,0.000000,0.834646,0.908586,0.868024,0.891326,0.664413,0.770069,0.884796,0.910624
luna,run3,name,81,12,165,42,0.742200,1.000000,0.837018,0.920588,0.000000,0.761897,0.955804,0.840597,0.903482,0.554776,0.692245,0.818706,0.898548
luna,run3,coref,129,2,50,4,0.647178,0.963667,0.760700,0.863011,0.000000,0.634606,0.920328,0.741491,0.835296,0.562329,0.693430,0.765746,0.858706
luna,run3,no_judge,0,0,195,231,0.606722,1.000000,0.734744,0.860751,0.000000,0.608901,0.960012,0.729817,0.845122,0.495897,0.675037,0.725244,0.848073
luna,average,full_on,195.33,16,178.67,42,0.863197,0.937922,0.895301,0.919236,0.000000,0.856060,0.895298,0.873489,0.885963,0.681067,0.731343,0.882410,0.898039
luna,average,name,83,15.33,163.33,39.33,0.742342,0.993892,0.834766,0.916339,0.000000,0.762468,0.950846,0.838479,0.899641,0.557717,0.692573,0.816677,0.894188
luna,average,coref,127.67,5.67,50,3.67,0.647981,0.960724,0.760380,0.861606,0.000000,0.641435,0.916064,0.745273,0.835366,0.559622,0.695119,0.763963,0.852978
luna,average,no_judge,0,0,194.67,228.67,0.600143,0.998830,0.730806,0.858963,0.000000,0.604627,0.958678,0.727876,0.844297,0.496257,0.675560,0.719920,0.844265
