backend,variant,doc_to_model_macro_f1,doc_to_model_macro_f2,dc_file_precision,dc_file_recall,dc_file_f1,dc_file_f2,dc_worst_component_f1,dc_worst_component_f2,dc_harmonic_component_f1,dc_harmonic_component_f2
terra,Full,0.907629,0.929868,0.914081,0.914307,0.911398,0.912496,0.699113,0.742964,0.888703,0.906024
terra,FullName,0.859574,0.819500,0.931871,0.804248,0.859271,0.824623,0.650990,0.606504,0.853938,0.809988
terra,PartialName,0.080899,0.065455,0.111475,0.026684,0.043061,0.031472,0.000000,0.000000,0.000000,0.000000
terra,Coref,0.215785,0.151224,0.948645,0.132808,0.225107,0.158666,0.000000,0.000000,0.000000,0.000000
terra,No knowledge,0.867407,0.843788,0.952308,0.745841,0.818816,0.770530,0.449865,0.469433,0.653949,0.638445
luna,Full,0.868201,0.929805,0.843270,0.939633,0.883737,0.914902,0.699979,0.769976,0.879938,0.922253
luna,FullName,0.837572,0.836207,0.867123,0.841744,0.847438,0.842548,0.655342,0.664052,0.852072,0.843276
luna,PartialName,0.071287,0.062718,0.100176,0.037148,0.054198,0.042496,0.000000,0.000000,0.000000,0.000000
luna,Coref,0.425818,0.329905,0.849590,0.298004,0.424558,0.337476,0.000000,0.000000,0.000000,0.000000
luna,No knowledge,0.836385,0.851523,0.891606,0.776840,0.805250,0.783775,0.514123,0.548081,0.679769,0.691529
