backend,variant,doc_to_model_macro_f1,doc_to_model_macro_f2,dc_file_precision,dc_file_recall,dc_file_f1,dc_file_f2,dc_worst_component_f1,dc_worst_component_f2,dc_harmonic_component_f1,dc_harmonic_component_f2
terra,Full,0.954533,0.972361,0.951044,0.915009,0.927660,0.918811,0.817657,0.780863,0.945214,0.937471
terra,FullName,0.877653,0.849268,0.969407,0.809552,0.878166,0.834876,0.717264,0.634422,0.873449,0.822134
terra,PartialName,0.096784,0.077094,0.306667,0.034952,0.053012,0.040458,0.000000,0.000000,0.000000,0.000000
terra,Coref,0.311958,0.226681,0.960913,0.182542,0.291837,0.214295,0.000000,0.000000,0.000000,0.000000
terra,No knowledge,0.885470,0.857577,0.932495,0.740283,0.799142,0.758610,0.464410,0.450554,0.546357,0.540614
luna,Full,0.889547,0.942312,0.858300,0.944905,0.896276,0.923881,0.716040,0.767002,0.885477,0.926447
luna,FullName,0.848319,0.846433,0.874295,0.843735,0.853950,0.846793,0.747576,0.700304,0.874707,0.853683
luna,PartialName,0.084938,0.069186,0.108122,0.031290,0.047952,0.036336,0.000000,0.000000,0.000000,0.000000
luna,Coref,0.292280,0.210842,0.936171,0.161829,0.271390,0.192848,0.000000,0.000000,0.000000,0.000000
luna,No knowledge,0.861998,0.846632,0.912925,0.753737,0.807898,0.771426,0.523405,0.497348,0.694183,0.691760
