backend,variant,doc_to_model_macro_f1,doc_to_model_macro_f2,dc_file_precision,dc_file_recall,dc_file_f1,dc_file_f2,dc_worst_component_f1,dc_worst_component_f2,dc_harmonic_component_f1,dc_harmonic_component_f2
terra,Full,0.951648,0.965407,0.930293,0.913177,0.918256,0.914358,0.821108,0.776318,0.940865,0.933864
terra,FullName,0.880666,0.849649,0.946658,0.810598,0.869391,0.832380,0.733197,0.650112,0.872709,0.824878
terra,PartialName,0.085383,0.066662,0.242188,0.029842,0.046862,0.034902,0.000000,0.000000,0.000000,0.000000
terra,Coref,0.311027,0.226103,0.964690,0.191763,0.310776,0.226212,0.000000,0.000000,0.000000,0.000000
terra,No knowledge,0.890224,0.859876,0.948266,0.739296,0.804511,0.759905,0.473389,0.454115,0.549694,0.541767
luna,Full,0.900347,0.942100,0.877898,0.938938,0.904609,0.924105,0.726916,0.765991,0.902092,0.931396
luna,FullName,0.855472,0.844877,0.897319,0.839363,0.863604,0.848124,0.718043,0.675381,0.876187,0.850847
luna,PartialName,0.081332,0.064931,0.121396,0.029895,0.046441,0.034857,0.000000,0.000000,0.000000,0.000000
luna,Coref,0.323104,0.238719,0.858511,0.195595,0.309358,0.229045,0.000000,0.000000,0.000000,0.000000
luna,No knowledge,0.861074,0.848933,0.915759,0.743852,0.795930,0.759663,0.452089,0.460091,0.576882,0.587684
