backend,run,judge,rej_fp,rej_tp,keep_tp,keep_fp,d_f1,d_f2
terra,run1,full_name,40,3,147,21,-5.487500000000001,-2.0517000000000007
terra,run1,partial_name,50,5,21,5,-4.905099999999996,-1.5209999999999946
terra,run1,coref,56,4,42,1,-7.5699999999999985,-2.491999999999994
terra,run1,all_combined,138,9,186,27,-14.676899999999993,-5.7654999999999905
terra,run2,full_name,52,4,152,16,-6.772200000000006,-2.4965999999999933
terra,run2,partial_name,49,4,17,6,-5.106699999999997,-1.7328999999999928
terra,run2,coref,50,6,35,2,-6.6728000000000005,-1.6468999999999956
terra,run2,all_combined,148,9,186,24,-15.6447,-6.280699999999994
terra,run3,full_name,52,3,150,15,-6.653900000000002,-2.6825999999999905
terra,run3,partial_name,45,4,21,10,-4.641700000000004,-1.5571000000000002
terra,run3,coref,52,4,40,2,-8.071399999999995,-2.668399999999993
terra,run3,all_combined,145,8,187,27,-15.623900000000003,-6.497599999999992
terra,average,full_name,48,3.33,149.67,17.33,-6.304500000000002,-2.4104000000000014
terra,average,partial_name,48,4.33,19.67,7,-4.884500000000003,-1.6036999999999968
terra,average,coref,52.67,4.67,39,1.67,-7.438000000000001,-2.2692000000000045
terra,average,all_combined,143.67,8.67,186.33,26,-15.315199999999995,-6.1813
luna,run1,full_name,21,2,167,40,-2.4361999999999995,-0.9245000000000059
luna,run1,partial_name,53,4,6,16,-4.410400000000003,-1.7371000000000025
luna,run1,coref,102,3,28,5,-12.1938,-5.778899999999998
luna,run1,all_combined,173,6,189,60,-16.6872,-8.327800000000007
luna,run2,full_name,15,0,159,38,-2.315200000000006,-1.1284000000000072
luna,run2,partial_name,53,2,16,15,-4.914600000000002,-2.2944000000000075
luna,run2,coref,106,1,47,3,-12.454799999999999,-5.878900000000009
luna,run2,all_combined,165,3,192,53,-16.402000000000005,-8.182300000000009
luna,run3,full_name,12,0,161,46,-1.879900000000001,-0.9497000000000089
luna,run3,partial_name,55,7,11,13,-4.178899999999997,-1.052900000000001
luna,run3,coref,91,5,47,4,-12.80969999999999,-5.676500000000006
luna,run3,all_combined,154,7,188,61,-17.240599999999993,-8.195800000000009
luna,average,full_name,16,0.67,162.33,41.33,-2.2104000000000013,-1.0009000000000046
luna,average,partial_name,53.67,4.33,11,14.67,-4.501299999999997,-1.6947999999999963
luna,average,coref,99.67,3,40.67,4,-12.485999999999997,-5.778099999999997
luna,average,all_combined,164,5.33,189.67,58,-16.7766,-8.2353
