project,detector,text_source,run_name,issue_accuracy,issue_precision,issue_recall,issue_f1,chunk_accuracy,chunk_precision,chunk_recall,chunk_f1,num_issues,num_chunks,run_dir,error
inkscape,acdc,description,inkscape_acdc_description,0.10236220472440945,0.10236220472440945,1.0,0.18571428571428572,0.10606060606060606,0.10606060606060606,1.0,0.1917808219178082,508,726,Output/hf_roberta_batch/20251128_171445/inkscape_acdc_description,
inkscape,acdc,combined,inkscape_acdc_combined,0.1141732283464567,0.10358565737051793,1.0,0.18772563176895307,0.1662921348314607,0.10137875101378752,0.9615384615384616,0.18341892883345562,508,1335,Output/hf_roberta_batch/20251128_171445/inkscape_acdc_combined,
inkscape,acdc,combined_unfiltered,inkscape_acdc_combined_unfiltered,0.2106299212598425,0.10961968680089486,0.9423076923076923,0.1963927855711423,0.33220108695652173,0.11297852474323063,0.7857142857142857,0.19755102040816327,508,1472,Output/hf_roberta_batch/20251128_171445/inkscape_acdc_combined_unfiltered,
stackgres,acdc,description,stackgres_acdc_description,0.6088328075709779,0.2896551724137931,0.6666666666666666,0.40384615384615385,0.5930851063829787,0.31016042780748665,0.7073170731707317,0.4312267657992565,317,376,Output/hf_roberta_batch/20251128_171445/stackgres_acdc_description,
stackgres,acdc,combined,stackgres_acdc_combined,0.5962145110410094,0.30303030303030304,0.7936507936507936,0.43859649122807015,0.57,0.3488372093023256,0.8467741935483871,0.49411764705882355,317,500,Output/hf_roberta_batch/20251128_171445/stackgres_acdc_combined,
stackgres,acdc,combined_unfiltered,stackgres_acdc_combined_unfiltered,0.5583596214511041,0.2849162011173184,0.8095238095238095,0.4214876033057851,0.5280898876404494,0.33433734939759036,0.7816901408450704,0.46835443037974683,317,534,Output/hf_roberta_batch/20251128_171445/stackgres_acdc_combined_unfiltered,
stackgres,arcan,description,stackgres_arcan_description,0.7381703470031545,0.6370370370370371,0.7166666666666667,0.6745098039215687,0.7352941176470589,0.6630434782608695,0.7672955974842768,0.7113702623906706,317,374,Output/hf_roberta_batch/20251128_171445/stackgres_arcan_description,
stackgres,arcan,combined,stackgres_arcan_combined,0.7539432176656151,0.71875,0.575,0.6388888888888888,0.7641325536062378,0.7797356828193832,0.7137096774193549,0.7452631578947368,317,513,Output/hf_roberta_batch/20251128_171445/stackgres_arcan_combined,
stackgres,arcan,combined_unfiltered,stackgres_arcan_combined_unfiltered,0.7697160883280757,0.7640449438202247,0.5666666666666667,0.6507177033492823,0.7699805068226121,0.7954545454545454,0.7056451612903226,0.7478632478632479,317,513,Output/hf_roberta_batch/20251128_171445/stackgres_arcan_combined_unfiltered,
shepard,acdc,description,shepard_acdc_description,0.3,0.1724137931034483,0.9090909090909091,0.2898550724637681,0.29213483146067415,0.18666666666666668,0.875,0.3076923076923077,70,89,Output/hf_roberta_batch/20251128_171445/shepard_acdc_description,
shepard,acdc,combined,shepard_acdc_combined,0.15714285714285714,0.15714285714285714,1.0,0.2716049382716049,0.16842105263157894,0.16842105263157894,1.0,0.2882882882882883,70,95,Output/hf_roberta_batch/20251128_171445/shepard_acdc_combined,
shepard,acdc,combined_unfiltered,shepard_acdc_combined_unfiltered,0.15714285714285714,0.15714285714285714,1.0,0.2716049382716049,0.16842105263157894,0.16842105263157894,1.0,0.2882882882882883,70,95,Output/hf_roberta_batch/20251128_171445/shepard_acdc_combined_unfiltered,
shepard,arcan,description,shepard_arcan_description,0.6571428571428571,0.7142857142857143,0.3333333333333333,0.45454545454545453,0.65,0.75,0.39473684210526316,0.5172413793103449,70,80,Output/hf_roberta_batch/20251128_171445/shepard_arcan_description,
shepard,arcan,combined,shepard_arcan_combined,0.6428571428571429,0.5531914893617021,0.8666666666666667,0.6753246753246753,0.6296296296296297,0.5849056603773585,0.7948717948717948,0.6739130434782609,70,81,Output/hf_roberta_batch/20251128_171445/shepard_arcan_combined,
shepard,arcan,combined_unfiltered,shepard_arcan_combined_unfiltered,0.6428571428571429,0.5531914893617021,0.8666666666666667,0.6753246753246753,0.6296296296296297,0.5849056603773585,0.7948717948717948,0.6739130434782609,70,81,Output/hf_roberta_batch/20251128_171445/shepard_arcan_combined_unfiltered,
