model,strategy,encoding,cv_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,positive_smell_recall_mean,positive_smell_recall_std,top_1_positive_count_mean,top_1_positive_count_std,top_5_positive_count_mean,top_5_positive_count_std,top_10_positive_count_mean,top_10_positive_count_std,recall
logistic_regression,none,openai,7,0.8515006002400959,0.03134517919878526,0.32142857142857145,0.3462628469583092,0.16666666666666669,0.16618979396776332,0.21258503401360543,0.2136744572226809,0.16666666666666669,0.16618979396776332,0.8571428571428571,0.8329931278350429,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.16666666666666669
logistic_regression,class_weight,openai,7,0.8141656662665065,0.02991147629221529,0.36938775510204075,0.10106677970950516,0.3333333333333333,0.08728715609439697,0.34718614718614715,0.0873434362387013,0.3333333333333333,0.08728715609439697,1.7142857142857142,0.45175395145262565,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.3333333333333333
logistic_regression,random_undersample,openai,7,0.5953181272509004,0.05539640528385235,0.21124949979991994,0.06917671514800386,0.6428571428571429,0.2381904571504724,0.3174689971682453,0.10687989703826706,0.6428571428571429,0.2381904571504724,3.2857142857142856,1.1605769149479945,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.6428571428571429
random_forest,none,openai,7,0.8512605042016805,0.009464779517131792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.0
random_forest,class_weight,openai,7,0.8512605042016805,0.009464779517131792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.0
random_forest,random_undersample,openai,7,0.5991596638655462,0.04701378396873737,0.21446275479888924,0.030635181222218234,0.6428571428571429,0.1498298354528788,0.3197316413563553,0.05055697787309149,0.6428571428571429,0.1498298354528788,3.2857142857142856,0.6998542122237652,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.6428571428571429
knn,none,openai,7,0.8262905162064825,0.041919970729848544,0.2619047619047619,0.3547539148988414,0.08095238095238096,0.09404008408634047,0.1173469387755102,0.1359480876987166,0.08095238095238096,0.09404008408634047,0.42857142857142855,0.49487165930539345,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.08095238095238096
knn,class_weight,openai,7,0.8262905162064825,0.041919970729848544,0.2619047619047619,0.3547539148988414,0.08095238095238096,0.09404008408634047,0.1173469387755102,0.1359480876987166,0.08095238095238096,0.09404008408634047,0.42857142857142855,0.49487165930539345,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.08095238095238096
knn,random_undersample,openai,7,0.4794717887154862,0.07094726214479621,0.19723633854068637,0.052932738824793546,0.8047619047619047,0.18553104513122054,0.3154629601299123,0.079082327599756,0.8047619047619047,0.18553104513122054,4.142857142857143,0.9897433186107868,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.8047619047619047
naive_bayes,none,openai,7,0.773109243697479,0.055106356099023014,0.282312925170068,0.11180598580880001,0.2761904761904762,0.09035079029052513,0.26947655519084085,0.08564912300990764,0.2761904761904762,0.09035079029052513,1.4285714285714286,0.4948716593053935,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.2761904761904762
