sentence,component_id,component_name,confidence,source
4,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,seed
5,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,seed
6,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,seed
6,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,partial
8,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,seed
9,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,seed
9,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,partial
10,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,entity
10,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,entity
11,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,entity
12,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,entity
12,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,entity
13,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,entity
13,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,entity
14,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,seed
15,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,seed
19,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,seed
19,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,entity
20,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,seed
21,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,seed
26,_XuNf4FkJEeyewPSmlgszyA,Apps,1.00,seed
30,_4yx-8FkHEeyewPSmlgszyA,BBB web,1.00,seed
36,_4yx-8FkHEeyewPSmlgszyA,BBB web,1.00,seed
37,_4yx-8FkHEeyewPSmlgszyA,BBB web,1.00,seed
38,_4yx-8FkHEeyewPSmlgszyA,BBB web,1.00,coreference
39,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,partial
46,_6sergFkHEeyewPSmlgszyA,Redis PubSub,1.00,seed
47,_6sergFkHEeyewPSmlgszyA,Redis PubSub,1.00,seed
48,_RDHFIFwPEeyiuNx_RO7j-Q,Redis DB,1.00,seed
49,_RDHFIFwPEeyiuNx_RO7j-Q,Redis DB,1.00,seed
50,_kvWs4FkHEeyewPSmlgszyA,Recording Service,1.00,seed
51,_XuNf4FkJEeyewPSmlgszyA,Apps,1.00,seed
52,_XuNf4FkJEeyewPSmlgszyA,Apps,1.00,seed
53,_XuNf4FkJEeyewPSmlgszyA,Apps,1.00,coreference
54,_XuNf4FkJEeyewPSmlgszyA,Apps,1.00,seed
57,_9wZIcFkHEeyewPSmlgszyA,FSESL,1.00,seed
58,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,1.00,seed
59,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,1.00,seed
60,_9wZIcFkHEeyewPSmlgszyA,FSESL,1.00,seed
60,_6sergFkHEeyewPSmlgszyA,Redis PubSub,1.00,entity
61,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,1.00,seed
62,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,1.00,seed
63,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,1.00,seed
66,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,1.00,seed
67,_oN4CMFkHEeyewPSmlgszyA,kurento,1.00,seed
67,_s0aIcFkHEeyewPSmlgszyA,WebRTC-SFU,1.00,seed
68,_oN4CMFkHEeyewPSmlgszyA,kurento,1.00,seed
69,_oN4CMFkHEeyewPSmlgszyA,kurento,1.00,seed
70,_s0aIcFkHEeyewPSmlgszyA,WebRTC-SFU,1.00,seed
72,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,1.00,seed
72,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,entity
73,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,entity
73,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,entity
76,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,entity
78,_4yx-8FkHEeyewPSmlgszyA,BBB web,1.00,seed
79,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,entity
79,_6sergFkHEeyewPSmlgszyA,Redis PubSub,1.00,entity
80,_2BgxMFkHEeyewPSmlgszyA,Presentation Conversion,1.00,seed
81,_2BgxMFkHEeyewPSmlgszyA,Presentation Conversion,1.00,entity
