sentence,component_id,component_name,confidence,source
4,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,multi_framing
5,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,multi_framing
6,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,multi_framing
8,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,multi_framing
9,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,multi_framing
9,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,multi_framing
11,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,coreference
14,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,multi_framing
15,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,multi_framing
17,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,coreference
19,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,multi_framing
20,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,multi_framing
21,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,1.00,multi_framing
26,_XuNf4FkJEeyewPSmlgszyA,Apps,1.00,multi_framing
30,_4yx-8FkHEeyewPSmlgszyA,BBB web,1.00,multi_framing
36,_4yx-8FkHEeyewPSmlgszyA,BBB web,1.00,multi_framing
37,_4yx-8FkHEeyewPSmlgszyA,BBB web,1.00,multi_framing
38,_4yx-8FkHEeyewPSmlgszyA,BBB web,1.00,coreference
46,_6sergFkHEeyewPSmlgszyA,Redis PubSub,1.00,multi_framing
47,_6sergFkHEeyewPSmlgszyA,Redis PubSub,1.00,multi_framing
48,_RDHFIFwPEeyiuNx_RO7j-Q,Redis DB,1.00,multi_framing
49,_RDHFIFwPEeyiuNx_RO7j-Q,Redis DB,1.00,multi_framing
50,_kvWs4FkHEeyewPSmlgszyA,Recording Service,1.00,multi_framing
51,_XuNf4FkJEeyewPSmlgszyA,Apps,1.00,multi_framing
52,_XuNf4FkJEeyewPSmlgszyA,Apps,1.00,multi_framing
53,_XuNf4FkJEeyewPSmlgszyA,Apps,1.00,coreference
54,_XuNf4FkJEeyewPSmlgszyA,Apps,1.00,multi_framing
57,_9wZIcFkHEeyewPSmlgszyA,FSESL,1.00,multi_framing
58,_9wZIcFkHEeyewPSmlgszyA,FSESL,1.00,multi_framing
58,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,1.00,multi_framing
59,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,1.00,multi_framing
60,_6sergFkHEeyewPSmlgszyA,Redis PubSub,1.00,multi_framing
60,_9wZIcFkHEeyewPSmlgszyA,FSESL,1.00,multi_framing
60,_XuNf4FkJEeyewPSmlgszyA,Apps,1.00,multi_framing
61,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,1.00,multi_framing
62,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,1.00,multi_framing
63,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,1.00,multi_framing
66,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,1.00,multi_framing
67,_oN4CMFkHEeyewPSmlgszyA,kurento,1.00,multi_framing
67,_s0aIcFkHEeyewPSmlgszyA,WebRTC-SFU,1.00,multi_framing
68,_oN4CMFkHEeyewPSmlgszyA,kurento,1.00,multi_framing
69,_oN4CMFkHEeyewPSmlgszyA,kurento,1.00,multi_framing
70,_s0aIcFkHEeyewPSmlgszyA,WebRTC-SFU,1.00,multi_framing
72,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,multi_framing
72,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,1.00,multi_framing
73,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,multi_framing
78,_4yx-8FkHEeyewPSmlgszyA,BBB web,1.00,multi_framing
79,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,1.00,coreference
79,_6sergFkHEeyewPSmlgszyA,Redis PubSub,1.00,multi_framing
80,_2BgxMFkHEeyewPSmlgszyA,Presentation Conversion,1.00,multi_framing
81,_2BgxMFkHEeyewPSmlgszyA,Presentation Conversion,1.00,multi_framing
