2026-03-26 16:36:20,776 | INFO | Session started | target=checkpoint -> openai (gpt-5.2)
2026-03-26 16:36:20,779 | INFO | REQ#1 | 0ms | tokens=N/A | OK
2026-03-26 16:36:20,779 | INFO | REQ#2 | 0ms | tokens=N/A | OK
2026-03-26 16:36:20,780 | INFO | REQ#3 | 0ms | tokens=N/A | OK
2026-03-26 16:36:20,781 | INFO | REQ#4 | 0ms | tokens=N/A | OK
2026-03-26 16:36:20,782 | INFO | REQ#5 | 0ms | tokens=N/A | OK
2026-03-26 16:36:24,099 | INFO | REQ#6 | 0ms | tokens=N/A | OK
2026-03-26 16:36:24,100 | INFO | REQ#7 | 0ms | tokens=N/A | OK
2026-03-26 16:36:28,000 | INFO | REQ#8 | 0ms | tokens=N/A | OK
2026-03-26 16:36:28,001 | INFO | REQ#9 | 0ms | tokens=N/A | OK
2026-03-26 16:36:28,004 | INFO | REQ#10 | 0ms | tokens=N/A | OK
2026-03-26 16:36:28,004 | INFO | REQ#11 | 0ms | tokens=N/A | OK
2026-03-26 16:36:28,005 | INFO | REQ#12 | 0ms | tokens=N/A | OK
2026-03-26 16:36:28,006 | INFO | REQ#13 | 0ms | tokens=N/A | OK
2026-03-26 16:36:28,006 | INFO | REQ#14 | 0ms | tokens=N/A | OK
2026-03-26 16:36:31,340 | INFO | REQ#15 | 3331ms | tokens=N/A | ERROR: OpenAI error after 3 retries: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************cXa>. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}
2026-03-26 16:36:31,643 | INFO | REQ#16 | 303ms | tokens=N/A | ERROR: OpenAI error after 3 retries: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************cXa>. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}
2026-03-26 16:36:41,372 | INFO | REQ#17 | 13364ms | tokens=N/A | ERROR: OpenAI error after 3 retries: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************cXa>. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}
