2026-06-27 18:41:29,511 | INFO | Session started | target=openai (gpt-5-mini)
2026-06-27 18:41:30,881 | INFO | REQ#1 | 1369ms | tokens=N/A | ERROR: OpenAI error after 3 retries: Error code: 400 - {'error': {'message': "Unsupported value: 'temperature' does not support 0.1 with this model. Only the default (1) value is supported.", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}
2026-06-27 18:41:31,857 | INFO | REQ#2 | 975ms | tokens=N/A | ERROR: OpenAI error after 3 retries: Error code: 400 - {'error': {'message': "Unsupported value: 'temperature' does not support 0.1 with this model. Only the default (1) value is supported.", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}
2026-06-27 18:41:32,291 | INFO | REQ#3 | 2779ms | tokens=N/A | ERROR: OpenAI error after 3 retries: Error code: 400 - {'error': {'message': "Unsupported value: 'temperature' does not support 0.1 with this model. Only the default (1) value is supported.", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}
2026-06-27 18:41:32,911 | INFO | REQ#4 | 619ms | tokens=N/A | ERROR: OpenAI error after 3 retries: Error code: 400 - {'error': {'message': "Unsupported value: 'temperature' does not support 0.1 with this model. Only the default (1) value is supported.", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}
2026-06-27 18:41:36,380 | INFO | REQ#5 | 3464ms | tokens=N/A | ERROR: OpenAI error after 3 retries: Error code: 400 - {'error': {'message': "Unsupported value: 'temperature' does not support 0.1 with this model. Only the default (1) value is supported.", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}
2026-06-27 18:41:37,218 | INFO | REQ#6 | 4301ms | tokens=N/A | ERROR: OpenAI error after 3 retries: Error code: 400 - {'error': {'message': "Unsupported value: 'temperature' does not support 0.1 with this model. Only the default (1) value is supported.", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}
2026-06-27 18:41:39,759 | INFO | REQ#7 | 2540ms | tokens=N/A | ERROR: OpenAI error after 3 retries: Error code: 400 - {'error': {'message': "Unsupported value: 'temperature' does not support 0.1 with this model. Only the default (1) value is supported.", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}
2026-06-27 18:41:40,934 | INFO | REQ#8 | 4553ms | tokens=N/A | ERROR: OpenAI error after 3 retries: Error code: 400 - {'error': {'message': "Unsupported value: 'temperature' does not support 0.1 with this model. Only the default (1) value is supported.", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}
2026-06-27 18:41:43,247 | INFO | REQ#9 | 2311ms | tokens=N/A | ERROR: OpenAI error after 3 retries: Error code: 400 - {'error': {'message': "Unsupported value: 'temperature' does not support 0.1 with this model. Only the default (1) value is supported.", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}
2026-06-27 18:41:44,247 | INFO | REQ#10 | 1000ms | tokens=N/A | ERROR: OpenAI error after 3 retries: Error code: 400 - {'error': {'message': "Unsupported value: 'temperature' does not support 0.1 with this model. Only the default (1) value is supported.", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}
2026-06-27 18:41:44,965 | INFO | REQ#11 | 717ms | tokens=N/A | ERROR: OpenAI error after 3 retries: Error code: 400 - {'error': {'message': "Unsupported value: 'temperature' does not support 0.1 with this model. Only the default (1) value is supported.", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}
2026-06-27 18:41:45,488 | INFO | REQ#12 | 522ms | tokens=N/A | ERROR: OpenAI error after 3 retries: Error code: 400 - {'error': {'message': "Unsupported value: 'temperature' does not support 0.1 with this model. Only the default (1) value is supported.", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}
