sentence,component_id,component_name,confidence,source
1,_dhM6oDVXEeqPG_FgW3bi6Q,Registry,1.00,one_call
2,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,1.00,one_call
2,_yA04AKTKEeqKjI323B3R3w,ImageProvider,1.00,one_call
3,_AiuxcDVdEeqPG_FgW3bi6Q,Auth,1.00,one_call
4,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,1.00,one_call
4,_m3fxEDVWEeqPG_FgW3bi6Q,Recommender,1.00,one_call
5,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,1.00,one_call
6,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,1.00,one_call
7,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,1.00,one_call
7,_yA04AKTKEeqKjI323B3R3w,ImageProvider,1.00,one_call
8,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,1.00,one_call
9,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,1.00,one_call
9,_dhM6oDVXEeqPG_FgW3bi6Q,Registry,1.00,one_call
10,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,1.00,one_call
10,_yA04AKTKEeqKjI323B3R3w,ImageProvider,1.00,one_call
11,_yA04AKTKEeqKjI323B3R3w,ImageProvider,1.00,one_call
12,_yA04AKTKEeqKjI323B3R3w,ImageProvider,1.00,one_call
13,_yA04AKTKEeqKjI323B3R3w,ImageProvider,1.00,one_call
14,_yA04AKTKEeqKjI323B3R3w,ImageProvider,1.00,one_call
15,_yA04AKTKEeqKjI323B3R3w,ImageProvider,1.00,one_call
16,_yA04AKTKEeqKjI323B3R3w,ImageProvider,1.00,one_call
17,_yA04AKTKEeqKjI323B3R3w,ImageProvider,1.00,one_call
18,_AiuxcDVdEeqPG_FgW3bi6Q,Auth,1.00,one_call
19,_AiuxcDVdEeqPG_FgW3bi6Q,Auth,1.00,one_call
20,_AiuxcDVdEeqPG_FgW3bi6Q,Auth,1.00,one_call
21,_AiuxcDVdEeqPG_FgW3bi6Q,Auth,1.00,one_call
22,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,1.00,one_call
23,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,1.00,one_call
24,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,1.00,one_call
25,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,1.00,one_call
26,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,1.00,one_call
27,_m3fxEDVWEeqPG_FgW3bi6Q,Recommender,1.00,one_call
28,_m3fxEDVWEeqPG_FgW3bi6Q,Recommender,1.00,one_call
29,_m3fxEDVWEeqPG_FgW3bi6Q,Recommender,1.00,one_call
30,_m3fxEDVWEeqPG_FgW3bi6Q,Recommender,1.00,one_call
31,_m3fxEDVWEeqPG_FgW3bi6Q,Recommender,1.00,one_call
32,_YkXeIDVgEeqPG_FgW3bi6Q,SlopeOneRecommender,1.00,one_call
32,_m3fxEDVWEeqPG_FgW3bi6Q,Recommender,1.00,one_call
33,_YkXeIDVgEeqPG_FgW3bi6Q,SlopeOneRecommender,1.00,one_call
33,_m3fxEDVWEeqPG_FgW3bi6Q,Recommender,1.00,one_call
34,_YkXeIDVgEeqPG_FgW3bi6Q,SlopeOneRecommender,1.00,one_call
34,_m3fxEDVWEeqPG_FgW3bi6Q,Recommender,1.00,one_call
35,_kgbngDVgEeqPG_FgW3bi6Q,OrderBasedRecommender,1.00,one_call
35,_m3fxEDVWEeqPG_FgW3bi6Q,Recommender,1.00,one_call
36,_kgbngDVgEeqPG_FgW3bi6Q,OrderBasedRecommender,1.00,one_call
37,_dhM6oDVXEeqPG_FgW3bi6Q,Registry,1.00,one_call
38,_dhM6oDVXEeqPG_FgW3bi6Q,Registry,1.00,one_call
39,_dhM6oDVXEeqPG_FgW3bi6Q,Registry,1.00,one_call
40,_dhM6oDVXEeqPG_FgW3bi6Q,Registry,1.00,one_call
41,_dhM6oDVXEeqPG_FgW3bi6Q,Registry,1.00,one_call
43,_dhM6oDVXEeqPG_FgW3bi6Q,Registry,1.00,one_call
