sentence,component_id,component_name,confidence,source
1,gitlab-agent-for-kubernetes,GitLab agent for Kubernetes,1.00,partial_name
1,gitlab-duo-workflow-service,GitLab Duo Workflow Service,1.00,partial_name
1,gitlab-exporter,GitLab Exporter,1.00,partial_name
1,gitlab-geo,GitLab Geo,1.00,partial_name
1,gitlab-pages,GitLab Pages,1.00,partial_name
1,gitlab-runner,GitLab Runner,1.00,partial_name
1,gitlab-shell,GitLab Shell,1.00,partial_name
1,gitlab-workhorse,GitLab Workhorse,1.00,partial_name
5,gitlab-agent-for-kubernetes,GitLab agent for Kubernetes,1.00,partial_name
5,gitlab-duo-workflow-service,GitLab Duo Workflow Service,1.00,partial_name
5,gitlab-exporter,GitLab Exporter,1.00,partial_name
5,gitlab-geo,GitLab Geo,1.00,partial_name
5,gitlab-pages,GitLab Pages,1.00,partial_name
5,gitlab-runner,GitLab Runner,1.00,partial_name
5,gitlab-shell,GitLab Shell,1.00,partial_name
5,gitlab-workhorse,GitLab Workhorse,1.00,partial_name
6,gitlab-agent-for-kubernetes,GitLab agent for Kubernetes,1.00,partial_name
6,gitlab-duo-workflow-service,GitLab Duo Workflow Service,1.00,partial_name
6,gitlab-exporter,GitLab Exporter,1.00,partial_name
6,gitlab-geo,GitLab Geo,1.00,partial_name
6,gitlab-pages,GitLab Pages,1.00,partial_name
6,gitlab-runner,GitLab Runner,1.00,partial_name
6,gitlab-shell,GitLab Shell,1.00,partial_name
6,gitlab-workhorse,GitLab Workhorse,1.00,partial_name
7,gitlab-duo-workflow-service,GitLab Duo Workflow Service,1.00,partial_name
7,gitlab-exporter,GitLab Exporter,1.00,partial_name
7,gitlab-geo,GitLab Geo,1.00,partial_name
7,gitlab-pages,GitLab Pages,1.00,partial_name
7,gitlab-runner,GitLab Runner,1.00,partial_name
7,gitlab-shell,GitLab Shell,1.00,partial_name
7,gitlab-workhorse,GitLab Workhorse,1.00,partial_name
12,gitlab-agent-for-kubernetes,GitLab agent for Kubernetes,1.00,partial_name
12,gitlab-duo-workflow-service,GitLab Duo Workflow Service,1.00,partial_name
12,gitlab-exporter,GitLab Exporter,1.00,partial_name
12,gitlab-geo,GitLab Geo,1.00,partial_name
12,gitlab-pages,GitLab Pages,1.00,partial_name
12,gitlab-runner,GitLab Runner,1.00,partial_name
12,gitlab-shell,GitLab Shell,1.00,partial_name
12,gitlab-workhorse,GitLab Workhorse,1.00,partial_name
13,gitlab-agent-for-kubernetes,GitLab agent for Kubernetes,1.00,partial_name
13,gitlab-duo-workflow-service,GitLab Duo Workflow Service,1.00,partial_name
13,gitlab-exporter,GitLab Exporter,1.00,partial_name
13,gitlab-geo,GitLab Geo,1.00,partial_name
13,gitlab-pages,GitLab Pages,1.00,partial_name
13,gitlab-runner,GitLab Runner,1.00,partial_name
13,gitlab-shell,GitLab Shell,1.00,partial_name
13,gitlab-workhorse,GitLab Workhorse,1.00,partial_name
14,gitlab-agent-for-kubernetes,GitLab agent for Kubernetes,1.00,partial_name
14,gitlab-duo-workflow-service,GitLab Duo Workflow Service,1.00,partial_name
14,gitlab-exporter,GitLab Exporter,1.00,partial_name
14,gitlab-geo,GitLab Geo,1.00,partial_name
14,gitlab-pages,GitLab Pages,1.00,partial_name
14,gitlab-runner,GitLab Runner,1.00,partial_name
14,gitlab-shell,GitLab Shell,1.00,partial_name
14,gitlab-workhorse,GitLab Workhorse,1.00,partial_name
15,gitlab-workhorse,GitLab Workhorse,1.00,full_name
15,nginx,NGINX,1.00,full_name
15,puma,Puma,1.00,full_name
16,gitlab-agent-for-kubernetes,GitLab agent for Kubernetes,1.00,partial_name
16,gitlab-duo-workflow-service,GitLab Duo Workflow Service,1.00,partial_name
16,gitlab-exporter,GitLab Exporter,1.00,partial_name
16,gitlab-geo,GitLab Geo,1.00,partial_name
16,gitlab-pages,GitLab Pages,1.00,partial_name
16,gitlab-runner,GitLab Runner,1.00,partial_name
16,gitlab-shell,GitLab Shell,1.00,partial_name
16,gitlab-workhorse,GitLab Workhorse,1.00,partial_name
16,puma,Puma,1.00,full_name
17,redis,Redis,1.00,full_name
17,sidekiq,Sidekiq,1.00,full_name
18,gitlab-workhorse,GitLab Workhorse,1.00,full_name
18,puma,Puma,1.00,full_name
19,gitlab-workhorse,GitLab Workhorse,1.00,full_name
19,puma,Puma,1.00,full_name
20,gitlab-duo-workflow-service,GitLab Duo Workflow Service,1.00,partial_name
20,gitlab-exporter,GitLab Exporter,1.00,partial_name
20,gitlab-geo,GitLab Geo,1.00,partial_name
20,gitlab-pages,GitLab Pages,1.00,partial_name
20,gitlab-runner,GitLab Runner,1.00,partial_name
20,gitlab-shell,GitLab Shell,1.00,partial_name
20,gitlab-workhorse,GitLab Workhorse,1.00,partial_name
20,postgresql,PostgreSQL,1.00,full_name
21,gitlab-agent-for-kubernetes,GitLab agent for Kubernetes,1.00,partial_name
21,gitlab-duo-workflow-service,GitLab Duo Workflow Service,1.00,partial_name
21,gitlab-exporter,GitLab Exporter,1.00,partial_name
21,gitlab-geo,GitLab Geo,1.00,partial_name
21,gitlab-pages,GitLab Pages,1.00,partial_name
21,gitlab-runner,GitLab Runner,1.00,partial_name
21,gitlab-shell,GitLab Shell,1.00,partial_name
21,gitlab-workhorse,GitLab Workhorse,1.00,partial_name
23,gitlab-agent-for-kubernetes,GitLab agent for Kubernetes,1.00,partial_name
23,gitlab-duo-workflow-service,GitLab Duo Workflow Service,1.00,partial_name
23,gitlab-exporter,GitLab Exporter,1.00,partial_name
23,gitlab-geo,GitLab Geo,1.00,partial_name
23,gitlab-pages,GitLab Pages,1.00,partial_name
23,gitlab-runner,GitLab Runner,1.00,partial_name
23,gitlab-shell,GitLab Shell,1.00,partial_name
23,gitlab-workhorse,GitLab Workhorse,1.00,partial_name
24,gitlab-shell,GitLab Shell,1.00,full_name
25,gitlab-shell,GitLab Shell,1.00,full_name
27,gitaly,Gitaly,1.00,full_name
27,gitlab-agent-for-kubernetes,GitLab agent for Kubernetes,1.00,partial_name
27,gitlab-duo-workflow-service,GitLab Duo Workflow Service,1.00,partial_name
27,gitlab-exporter,GitLab Exporter,1.00,partial_name
27,gitlab-geo,GitLab Geo,1.00,partial_name
27,gitlab-pages,GitLab Pages,1.00,partial_name
27,gitlab-runner,GitLab Runner,1.00,partial_name
27,gitlab-shell,GitLab Shell,1.00,full_name
27,gitlab-workhorse,GitLab Workhorse,1.00,partial_name
27,redis,Redis,1.00,full_name
27,sidekiq,Sidekiq,1.00,full_name
28,gitlab-duo-workflow-service,GitLab Duo Workflow Service,1.00,partial_name
28,gitlab-geo,GitLab Geo,1.00,partial_name
28,gitlab-shell,GitLab Shell,1.00,full_name
29,gitaly,Gitaly,1.00,full_name
29,gitlab-shell,GitLab Shell,1.00,full_name
33,gitlab-duo-workflow-service,GitLab Duo Workflow Service,1.00,partial_name
