sentence,component_id,component_name,confidence,source
5,kube-apiserver,kube-apiserver,1.00,one_call
6,etcd,etcd,1.00,one_call
7,kube-scheduler,kube-scheduler,1.00,one_call
8,kube-controller-manager,kube-controller-manager,1.00,one_call
9,cloud-controller-manager,cloud-controller-manager,1.00,one_call
11,kubelet,kubelet,1.00,one_call
12,kube-proxy,kube-proxy,1.00,one_call
13,container-runtime,Container runtime,1.00,one_call
14,container-runtime,Container runtime,1.00,one_call
18,dns,DNS,1.00,one_call
19,web-ui-dashboard,Web UI (Dashboard),1.00,one_call
20,container-resource-monitoring,Container Resource Monitoring,1.00,one_call
21,cluster-level-logging,Cluster-level Logging,1.00,one_call
33,kube-proxy,kube-proxy,1.00,one_call
34,kube-proxy,kube-proxy,1.00,one_call
36,kube-proxy,kube-proxy,1.00,one_call
48,cloud-controller-manager,cloud-controller-manager,1.00,one_call
49,cloud-controller-manager,cloud-controller-manager,1.00,one_call
50,cloud-controller-manager,cloud-controller-manager,1.00,one_call
50,kube-controller-manager,kube-controller-manager,1.00,one_call
56,container-runtime,Container runtime,1.00,one_call
56,kube-proxy,kube-proxy,1.00,one_call
56,kubelet,kubelet,1.00,one_call
57,kube-proxy,kube-proxy,1.00,one_call
61,dns,DNS,1.00,one_call
62,dns,DNS,1.00,one_call
63,dns,DNS,1.00,one_call
64,web-ui-dashboard,Web UI (Dashboard),1.00,one_call
65,web-ui-dashboard,Web UI (Dashboard),1.00,one_call
66,container-resource-monitoring,Container Resource Monitoring,1.00,one_call
67,cluster-level-logging,Cluster-level Logging,1.00,one_call
74,kubelet,kubelet,1.00,one_call
84,kube-scheduler,kube-scheduler,1.00,one_call
85,kube-apiserver,kube-apiserver,1.00,one_call
86,cloud-controller-manager,cloud-controller-manager,1.00,one_call
91,kube-scheduler,kube-scheduler,1.00,one_call
92,etcd,etcd,1.00,one_call
93,container-runtime,Container runtime,1.00,one_call
94,cloud-controller-manager,cloud-controller-manager,1.00,one_call
99,container-runtime,Container runtime,1.00,one_call
99,kube-proxy,kube-proxy,1.00,one_call
99,kubelet,kubelet,1.00,one_call
100,kube-apiserver,kube-apiserver,1.00,one_call
101,kubelet,kubelet,1.00,one_call
103,kubelet,kubelet,1.00,one_call
106,kube-apiserver,kube-apiserver,1.00,one_call
106,kubelet,kubelet,1.00,one_call
117,kube-apiserver,kube-apiserver,1.00,one_call
118,kube-apiserver,kube-apiserver,1.00,one_call
118,kubelet,kubelet,1.00,one_call
120,kubelet,kubelet,1.00,one_call
121,kube-apiserver,kube-apiserver,1.00,one_call
123,kube-apiserver,kube-apiserver,1.00,one_call
130,kubelet,kubelet,1.00,one_call
132,kubelet,kubelet,1.00,one_call
133,kubelet,kubelet,1.00,one_call
134,kube-apiserver,kube-apiserver,1.00,one_call
135,kube-apiserver,kube-apiserver,1.00,one_call
135,kubelet,kubelet,1.00,one_call
136,kubelet,kubelet,1.00,one_call
140,kubelet,kubelet,1.00,one_call
147,kube-scheduler,kube-scheduler,1.00,one_call
162,kube-controller-manager,kube-controller-manager,1.00,one_call
163,kube-controller-manager,kube-controller-manager,1.00,one_call
164,kube-controller-manager,kube-controller-manager,1.00,one_call
165,kube-controller-manager,kube-controller-manager,1.00,one_call
166,kube-controller-manager,kube-controller-manager,1.00,one_call
167,kube-controller-manager,kube-controller-manager,1.00,one_call
168,kube-controller-manager,kube-controller-manager,1.00,one_call
169,kube-controller-manager,kube-controller-manager,1.00,one_call
170,kube-controller-manager,kube-controller-manager,1.00,one_call
171,kube-controller-manager,kube-controller-manager,1.00,one_call
172,kube-controller-manager,kube-controller-manager,1.00,one_call
173,kube-controller-manager,kube-controller-manager,1.00,one_call
174,kube-controller-manager,kube-controller-manager,1.00,one_call
175,kube-controller-manager,kube-controller-manager,1.00,one_call
176,kube-controller-manager,kube-controller-manager,1.00,one_call
177,kube-controller-manager,kube-controller-manager,1.00,one_call
178,kube-controller-manager,kube-controller-manager,1.00,one_call
185,kube-controller-manager,kube-controller-manager,1.00,one_call
187,kube-controller-manager,kube-controller-manager,1.00,one_call
188,kube-controller-manager,kube-controller-manager,1.00,one_call
189,kube-controller-manager,kube-controller-manager,1.00,one_call
190,kube-controller-manager,kube-controller-manager,1.00,one_call
195,kube-scheduler,kube-scheduler,1.00,one_call
196,kube-scheduler,kube-scheduler,1.00,one_call
197,container-runtime,Container runtime,1.00,one_call
197,kubelet,kubelet,1.00,one_call
199,kubelet,kubelet,1.00,one_call
210,kube-apiserver,kube-apiserver,1.00,one_call
213,kube-apiserver,kube-apiserver,1.00,one_call
215,kube-apiserver,kube-apiserver,1.00,one_call
217,kube-apiserver,kube-apiserver,1.00,one_call
218,kube-apiserver,kube-apiserver,1.00,one_call
