sentence,component_id,component_name,confidence,source
2,rustc,rustc,1.00,full_name
2,rustc_query_impl,rustc_query_impl,1.00,partial_name
4,rustc,rustc,1.00,coreference
5,rustc,rustc,1.00,coreference
6,rustc,rustc,1.00,full_name
7,rustc,rustc,1.00,coreference
9,rustc,rustc,1.00,full_name
10,rustc_attr_parsing,rustc_attr_parsing,1.00,partial_name
10,rustc_driver,rustc_driver,1.00,full_name
10,rustc_parse,rustc_parse,1.00,partial_name
10,rustc_parse_format,rustc_parse_format,1.00,partial_name
11,rustc_driver,rustc_driver,1.00,coreference
11,rustc_interface,rustc_interface,1.00,full_name
12,rustc_lexer,rustc_lexer,1.00,full_name
14,rustc_lexer,rustc_lexer,1.00,full_name
15,rustc_ast_passes,rustc_ast_passes,1.00,partial_name
15,rustc_parse,rustc_parse,1.00,full_name
15,rustc_passes,rustc_passes,1.00,partial_name
18,rustc,rustc,1.00,full_name
18,rustc_errors,rustc_errors,1.00,full_name
18,rustc_lexer,rustc_lexer,1.00,full_name
19,rustc_baked_icu_data,rustc_baked_icu_data,1.00,partial_name
19,rustc_parse,rustc_parse,1.00,full_name
20,rustc_builtin_macros,rustc_builtin_macros,1.00,partial_name
20,rustc_index_macros,rustc_index_macros,1.00,partial_name
20,rustc_lexer,rustc_lexer,1.00,full_name
20,rustc_macros,rustc_macros,1.00,partial_name
20,rustc_proc_macro,rustc_proc_macro,1.00,full_name
20,rustc_type_ir_macros,rustc_type_ir_macros,1.00,partial_name
21,rustc_ast,rustc_ast,1.00,full_name
21,rustc_ast_ir,rustc_ast_ir,1.00,partial_name
21,rustc_ast_lowering,rustc_ast_lowering,1.00,partial_name
21,rustc_ast_passes,rustc_ast_passes,1.00,partial_name
21,rustc_ast_pretty,rustc_ast_pretty,1.00,partial_name
21,rustc_lexer,rustc_lexer,1.00,full_name
21,rustc_parse,rustc_parse,1.00,full_name
23,rustc_parse,rustc_parse,1.00,full_name
24,rustc_expand,rustc_expand,1.00,full_name
25,rustc_builtin_macros,rustc_builtin_macros,1.00,partial_name
25,rustc_index_macros,rustc_index_macros,1.00,partial_name
25,rustc_macros,rustc_macros,1.00,partial_name
25,rustc_parse,rustc_parse,1.00,full_name
25,rustc_proc_macro,rustc_proc_macro,1.00,partial_name
25,rustc_type_ir_macros,rustc_type_ir_macros,1.00,partial_name
26,rustc_parse,rustc_parse,1.00,full_name
27,rustc_attr_parsing,rustc_attr_parsing,1.00,partial_name
27,rustc_parse,rustc_parse,1.00,partial_name
27,rustc_parse_format,rustc_parse_format,1.00,partial_name
28,rustc_parse,rustc_parse,1.00,full_name
30,rustc_parse,rustc_parse,1.00,full_name
30,rustc_ty_utils,rustc_ty_utils,1.00,partial_name
30,rustc_ty_walk,rustc_ty_walk,1.00,partial_name
31,rustc_ast_lowering,rustc_ast_lowering,1.00,partial_name
31,rustc_attr_parsing,rustc_attr_parsing,1.00,partial_name
31,rustc_middle,rustc_middle,1.00,full_name
31,rustc_mir_build,rustc_mir_build,1.00,full_name
31,rustc_parse,rustc_parse,1.00,partial_name
31,rustc_parse_format,rustc_parse_format,1.00,partial_name
32,rustc_ast,rustc_ast,1.00,full_name
32,rustc_attr_parsing,rustc_attr_parsing,1.00,partial_name
32,rustc_builtin_macros,rustc_builtin_macros,1.00,partial_name
32,rustc_index_macros,rustc_index_macros,1.00,partial_name
32,rustc_macros,rustc_macros,1.00,partial_name
32,rustc_parse,rustc_parse,1.00,partial_name
33,rustc_ast,rustc_ast,1.00,full_name
33,rustc_ast_ir,rustc_ast_ir,1.00,partial_name
33,rustc_ast_pretty,rustc_ast_pretty,1.00,partial_name
33,rustc_parse,rustc_parse,1.00,full_name
35,rustc_ast,rustc_ast,1.00,full_name
35,rustc_ast_ir,rustc_ast_ir,1.00,partial_name
35,rustc_ast_lowering,rustc_ast_lowering,1.00,partial_name
35,rustc_ast_passes,rustc_ast_passes,1.00,partial_name
35,rustc_ast_pretty,rustc_ast_pretty,1.00,partial_name
35,rustc_hir,rustc_hir,1.00,full_name
35,rustc_hir_analysis,rustc_hir_analysis,1.00,partial_name
35,rustc_hir_id,rustc_hir_id,1.00,partial_name
35,rustc_hir_pretty,rustc_hir_pretty,1.00,partial_name
37,rustc_driver_impl,rustc_driver_impl,1.00,partial_name
37,rustc_hir,rustc_hir,1.00,full_name
37,rustc_hir_analysis,rustc_hir_analysis,1.00,partial_name
37,rustc_hir_id,rustc_hir_id,1.00,partial_name
37,rustc_hir_pretty,rustc_hir_pretty,1.00,partial_name
37,rustc_hir_typeck,rustc_hir_typeck,1.00,partial_name
37,rustc_next_trait_solver,rustc_next_trait_solver,1.00,partial_name
37,rustc_query_impl,rustc_query_impl,1.00,partial_name
37,rustc_trait_selection,rustc_trait_selection,1.00,partial_name
37,rustc_traits,rustc_traits,1.00,partial_name
38,rustc_hir,rustc_hir,1.00,full_name
38,rustc_middle,rustc_middle,1.00,full_name
40,rustc_hir,rustc_hir,1.00,full_name
40,rustc_hir_analysis,rustc_hir_analysis,1.00,partial_name
40,rustc_hir_id,rustc_hir_id,1.00,partial_name
40,rustc_hir_pretty,rustc_hir_pretty,1.00,partial_name
40,rustc_hir_typeck,rustc_hir_typeck,1.00,partial_name
40,rustc_middle,rustc_middle,1.00,full_name
40,rustc_mir_build,rustc_mir_build,1.00,full_name
40,rustc_mir_dataflow,rustc_mir_dataflow,1.00,partial_name
40,rustc_mir_transform,rustc_mir_transform,1.00,partial_name
41,rustc_middle,rustc_middle,1.00,full_name
41,rustc_mir_build,rustc_mir_build,1.00,partial_name
41,rustc_mir_dataflow,rustc_mir_dataflow,1.00,partial_name
41,rustc_mir_transform,rustc_mir_transform,1.00,partial_name
42,rustc_middle,rustc_middle,1.00,full_name
42,rustc_mir_build,rustc_mir_build,1.00,partial_name
42,rustc_mir_dataflow,rustc_mir_dataflow,1.00,partial_name
42,rustc_mir_transform,rustc_mir_transform,1.00,partial_name
43,rustc_codegen_llvm,rustc_codegen_llvm,1.00,partial_name
43,rustc_llvm,rustc_llvm,1.00,partial_name
43,rustc_middle,rustc_middle,1.00,full_name
43,rustc_mir_transform,rustc_mir_transform,1.00,partial_name
44,rustc_error_codes,rustc_error_codes,1.00,partial_name
44,rustc_type_ir_macros,rustc_type_ir_macros,1.00,partial_name
45,rustc_error_codes,rustc_error_codes,1.00,partial_name
45,rustc_type_ir,rustc_type_ir,1.00,partial_name
45,rustc_type_ir_macros,rustc_type_ir_macros,1.00,partial_name
46,rustc_middle,rustc_middle,1.00,full_name
46,rustc_mir_build,rustc_mir_build,1.00,partial_name
46,rustc_mir_dataflow,rustc_mir_dataflow,1.00,partial_name
46,rustc_mir_transform,rustc_mir_transform,1.00,partial_name
47,rustc_codegen_cranelift,rustc_codegen_cranelift,1.00,partial_name
47,rustc_codegen_gcc,rustc_codegen_gcc,1.00,partial_name
47,rustc_codegen_llvm,rustc_codegen_llvm,1.00,partial_name
47,rustc_codegen_ssa,rustc_codegen_ssa,1.00,partial_name
48,rustc_error_codes,rustc_error_codes,1.00,partial_name
49,rustc,rustc,1.00,full_name
49,rustc_codegen_llvm,rustc_codegen_llvm,1.00,partial_name
49,rustc_llvm,rustc_llvm,1.00,partial_name
49,rustc_middle,rustc_middle,1.00,full_name
49,rustc_mir_build,rustc_mir_build,1.00,partial_name
49,rustc_mir_dataflow,rustc_mir_dataflow,1.00,partial_name
49,rustc_mir_transform,rustc_mir_transform,1.00,partial_name
50,rustc_middle,rustc_middle,1.00,full_name
50,rustc_mir_build,rustc_mir_build,1.00,partial_name
50,rustc_mir_dataflow,rustc_mir_dataflow,1.00,partial_name
50,rustc_mir_transform,rustc_mir_transform,1.00,partial_name
51,rustc_codegen_llvm,rustc_codegen_llvm,1.00,partial_name
51,rustc_error_codes,rustc_error_codes,1.00,partial_name
51,rustc_llvm,rustc_llvm,1.00,partial_name
51,rustc_type_ir,rustc_type_ir,1.00,partial_name
51,rustc_type_ir_macros,rustc_type_ir_macros,1.00,partial_name
56,rustc_hir_analysis,rustc_hir_analysis,1.00,partial_name
56,rustc_pattern_analysis,rustc_pattern_analysis,1.00,partial_name
60,rustc_hir_analysis,rustc_hir_analysis,1.00,partial_name
60,rustc_pattern_analysis,rustc_pattern_analysis,1.00,partial_name
71,rustc,rustc,1.00,full_name
71,rustc_codegen_llvm,rustc_codegen_llvm,1.00,partial_name
71,rustc_llvm,rustc_llvm,1.00,partial_name
74,rustc,rustc,1.00,full_name
77,rustc,rustc,1.00,full_name
77,rustc_ast_ir,rustc_ast_ir,1.00,partial_name
77,rustc_attr_ir,rustc_attr_ir,1.00,partial_name
77,rustc_type_ir,rustc_type_ir,1.00,partial_name
77,rustc_type_ir_macros,rustc_type_ir_macros,1.00,partial_name
78,rustc,rustc,1.00,full_name
78,rustc_lexer,rustc_lexer,1.00,full_name
79,rustc_parse,rustc_parse,1.00,full_name
80,rustc_ast,rustc_ast,1.00,full_name
80,rustc_ast_ir,rustc_ast_ir,1.00,partial_name
80,rustc_ast_lowering,rustc_ast_lowering,1.00,partial_name
80,rustc_ast_passes,rustc_ast_passes,1.00,partial_name
80,rustc_ast_pretty,rustc_ast_pretty,1.00,partial_name
80,rustc_lexer,rustc_lexer,1.00,full_name
83,rustc_ast,rustc_ast,1.00,full_name
83,rustc_attr_ir,rustc_attr_ir,1.00,partial_name
83,rustc_hir,rustc_hir,1.00,full_name
83,rustc_hir_analysis,rustc_hir_analysis,1.00,partial_name
83,rustc_hir_id,rustc_hir_id,1.00,partial_name
