project,sentence,component,class,runs_found,runs,sources
mediastore,28,MediaAccess,sim adds,6,6,coreference
mediastore,9,MediaManagement,no scan reaches,6,6,coreference
mediastore,24,DB,no scan reaches,6,6,coreference
teastore,11,ImageProvider,sim adds,6,6,coreference
teastore,24,Persistence,sim adds,6,6,coreference
teastore,6,WebUI,no scan reaches,6,6,coreference
teastore,23,Persistence,no scan reaches,6,6,coreference
teastore,26,Persistence,no scan reaches,2,6,coreference
teastore,28,Recommender,no scan reaches,6,6,coreference
teammates,19,Client,no scan reaches,6,6,coreference
teammates,78,Logic,no scan reaches,6,6,coreference
teammates,119,Storage,no scan reaches,6,6,coreference
teammates,120,Storage,no scan reaches,6,6,coreference
bigbluebutton,38,BBB web,no scan reaches,6,6,coreference
bigbluebutton,53,Apps,no scan reaches,6,6,coreference
