sentence,component_id,component_name,confidence,source
1,_dhM6oDVXEeqPG_FgW3bi6Q,Registry,1.00,full_name
2,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,1.00,full_name
2,_yA04AKTKEeqKjI323B3R3w,ImageProvider,1.00,full_name
3,_AiuxcDVdEeqPG_FgW3bi6Q,Auth,1.00,full_name
4,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,1.00,full_name
4,_m3fxEDVWEeqPG_FgW3bi6Q,Recommender,1.00,full_name
5,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,1.00,full_name
6,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,1.00,coreference
7,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,1.00,full_name
7,_yA04AKTKEeqKjI323B3R3w,ImageProvider,1.00,full_name
8,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,1.00,full_name
10,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,1.00,full_name
10,_yA04AKTKEeqKjI323B3R3w,ImageProvider,1.00,full_name
11,_yA04AKTKEeqKjI323B3R3w,ImageProvider,1.00,coreference
12,_yA04AKTKEeqKjI323B3R3w,ImageProvider,1.00,full_name
18,_AiuxcDVdEeqPG_FgW3bi6Q,Auth,1.00,full_name
22,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,1.00,full_name
23,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,1.00,coreference
24,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,1.00,coreference
25,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,1.00,full_name
26,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,1.00,coreference
27,_m3fxEDVWEeqPG_FgW3bi6Q,Recommender,1.00,full_name
28,_m3fxEDVWEeqPG_FgW3bi6Q,Recommender,1.00,coreference
37,_dhM6oDVXEeqPG_FgW3bi6Q,Registry,1.00,full_name
38,_dhM6oDVXEeqPG_FgW3bi6Q,Registry,1.00,coreference
